ID_KAIROS	Productos_Clave	Productos_Descripcion	Presentaciones_Descripcion	ClavePresentacion	Concentracion	UnidadConcentracion	Especificacion	ViaAdministracion	Medio	CantidadEnvase	Dosis	CantidadUnidad	Laboratorios_Clave	Abreviatura	Laboratorios_Descripcion
38	51	ACTAN	20mg Caps. x 60	3	20	mg			Caps.	60	0	0	77	SAVAL	Laboratorio Saval S.A.
39	52	ACTEBRAL	Caps. x 20	1	0				Caps.	20	0	0	64	RECALCINE	Laboratorios Recalcine S.A.
40	52	ACTEBRAL	Caps. x 28	2	0				Caps.	28	0	0	64	RECALCINE	Laboratorios Recalcine S.A.
41	53	ACTIFEDRIN	Comp. x 15	3	0				Comp.	15	0	0	25	GLAXOSMITHKLINE	GlaxoSmithKline
42	53	ACTIFEDRIN	Jbe. x 100ml	2	0				Jbe.	0	0	100	25	GLAXOSMITHKLINE	GlaxoSmithKline
43	54	ACTIFEDRIN ANTITUSIVO	Jbe. x 100ml	1	0				Jbe.	0	0	100	25	GLAXOSMITHKLINE	GlaxoSmithKline
44	58	ACUODE	Oral Sol. x 1ml	1	0			Oral	Sol.	0	0	1	40	LAFI	Ver RECALCINE
45	60	ADALAT CAPSULAS	10mg Caps. x 30	1	10	mg			Caps.	30	0	0	8	BAYER	Bayer S.A.
46	61	ADALAT OROS	20mg Comp. x 10	12	20	mg			Comp.	10	0	0	8	BAYER	Bayer S.A.
47	61	ADALAT OROS	20mg Comp. x 30	11	20	mg			Comp.	30	0	0	8	BAYER	Bayer S.A.
48	61	ADALAT OROS	30mg Comp. x 10	7	30	mg			Comp.	10	0	0	8	BAYER	Bayer S.A.
49	61	ADALAT OROS	30mg Comp. x 30	8	30	mg			Comp.	30	0	0	8	BAYER	Bayer S.A.
50	61	ADALAT OROS	60mg Comp. x 20	9	60	mg			Comp.	20	0	0	8	BAYER	Bayer S.A.
51	62	ADALAT RETARD	10mg Comp. x 20	5	10	mg			Comp.	20	0	0	8	BAYER	Bayer S.A.
52	62	ADALAT RETARD	10mg Comp. x 50	6	10	mg			Comp.	50	0	0	8	BAYER	Bayer S.A.
53	62	ADALAT RETARD	20mg Comp. x 50	8	20	mg			Comp.	50	0	0	8	BAYER	Bayer S.A.
54	64	ADAX	0.25mg Comp. x 30	1	0,25	mg			Comp.	30	0	0	77	SAVAL	Laboratorio Saval S.A.
55	64	ADAX	0.50mg Comp. x 30	2	0,5	mg			Comp.	30	0	0	77	SAVAL	Laboratorio Saval S.A.
56	64	ADAX	1mg Comp. x 30	3	1	mg			Comp.	30	0	0	77	SAVAL	Laboratorio Saval S.A.
57	64	ADAX	LP Rtd. 1mg Comp. x 30	4	1	mg	Rtd.		Comp.	30	0	0	77	SAVAL	Laboratorio Saval S.A.
58	64	ADAX	Rtd. 0.5mg Comp. x 30	5	0,5	mg	Rtd.		Comp.	30	0	0	77	SAVAL	Laboratorio Saval S.A.
59	74	AERO ITAN	Caps. x 20	1	0				Caps.	20	0	0	77	SAVAL	Laboratorio Saval S.A.
60	75	AEROCAMARA	Lact. Cámara Inhalatoria	2	0		Lact.			0	0	0	30	GRÜNENTHAL	Grünenthal Chilena Ltda.
61	77	AEROCHAMBER	Ped. con Máscara	1	0		Ped.			0	0	0	14	BOEHRINGER I.	Boehringer Ingelheim
62	79	AEROGASTROL	Caps. x 20	1	0				Caps.	20	0	0	49	MEDIPHARM	Productos Farmacéuticos Medipharm Ltda.
63	80	AEROLIN	0.5mg Amp. x 5 x 1ml	13	0,5	mg			Amp.	5	0	1	25	GLAXOSMITHKLINE	GlaxoSmithKline
64	80	AEROLIN	100mcg Inh. x 200 Dosis LF	14	100	mcg				0	200	0	25	GLAXOSMITHKLINE	GlaxoSmithKline
65	80	AEROLIN	Sol. x 20ml	3	0				Sol.	0	0	20	25	GLAXOSMITHKLINE	GlaxoSmithKline
66	82	AFLOGOL	50mg Comp. x 100	1	50	mg			Comp.	100	0	0	76	SANITAS	Instituto Sanitas S.A.
67	89	AGUA BIDESTILADA	Amp. x 100 x 10ml	3	0				Amp.	100	0	10	74	SANDERSON	Laboratorio Sanderson S.A.
68	89	AGUA BIDESTILADA	Amp. x 100 x 2ml	1	0				Amp.	100	0	2	74	SANDERSON	Laboratorio Sanderson S.A.
69	89	AGUA BIDESTILADA	Amp. x 100 x 5ml	2	0				Amp.	100	0	5	74	SANDERSON	Laboratorio Sanderson S.A.
70	89	AGUA BIDESTILADA	Amp. x 50 x 20ml	4	0				Amp.	50	0	20	74	SANDERSON	Laboratorio Sanderson S.A.
71	91	AGUA DEL CARMEN	Oral Fco. Sol. x 100ml	2	0			Oral	Sol.	0	0	100	56	PASTEUR	Laboratorios Pasteur Ltda.
72	91	AGUA DEL CARMEN	Oral Fco. Sol. x 40ml	1	0			Oral	Sol.	0	0	40	56	PASTEUR	Laboratorios Pasteur Ltda.
73	92	AGUA DE MELISA CARMINATIVA	Liq. x 30ml	1	0				Liq.	0	0	30	76	SANITAS	Instituto Sanitas S.A.
74	93	AGUA OXIGENADA	10 Vol. Env. x 110ml	2	0				Env.	0	0	110	65	RECCIUS	Laboratorios Reccius Ltda.
75	93	AGUA OXIGENADA	10 Vol. Env. x 500ml	3	0				Env.	0	0	500	65	RECCIUS	Laboratorios Reccius Ltda.
76	93	AGUA OXIGENADA	10 Vol. Env. x 55ml	1	0				Env.	0	0	55	65	RECCIUS	Laboratorios Reccius Ltda.
77	93	AGUA OXIGENADA	20 Vol. Crema x 55ml	10	0				Crema	0	0	55	65	RECCIUS	Laboratorios Reccius Ltda.
78	93	AGUA OXIGENADA	20 Vol. Env. x 110ml	5	0				Env.	0	0	110	65	RECCIUS	Laboratorios Reccius Ltda.
79	93	AGUA OXIGENADA	20 Vol. Env. x 500ml	6	0				Env.	0	0	500	65	RECCIUS	Laboratorios Reccius Ltda.
80	93	AGUA OXIGENADA	20 Vol. Env. x 55ml	4	0				Env.	0	0	55	65	RECCIUS	Laboratorios Reccius Ltda.
81	93	AGUA OXIGENADA	30 Vol. Crema x 55ml	11	0				Crema	0	0	55	65	RECCIUS	Laboratorios Reccius Ltda.
82	93	AGUA OXIGENADA	30 Vol. Env. x 110ml	8	0				Env.	0	0	110	65	RECCIUS	Laboratorios Reccius Ltda.
83	93	AGUA OXIGENADA	30 Vol. Env. x 500ml	9	0				Env.	0	0	500	65	RECCIUS	Laboratorios Reccius Ltda.
84	93	AGUA OXIGENADA	30 Vol. Env. x 55ml	7	0				Env.	0	0	55	65	RECCIUS	Laboratorios Reccius Ltda.
85	102	AKINETON	2mg Comp. x 20	1	2	mg			Comp.	20	0	0	62	BAGO	Laboratorios Bagó S.A.
86	107	ALCOHOL ALCANFORADO 10%	Fco. x 120ml	1	0				Fco.	0	0	120	91	VOLTA	Laboratorio Volta Ltda.
87	107	ALCOHOL ALCANFORADO 10%	Fco. x 250ml	2	0				Fco.	0	0	250	91	VOLTA	Laboratorio Volta Ltda.
88	109	ALCOHOL ALCANFORADO 10%	Sol. x 110ml	1	0				Sol.	0	0	110	90	VALMA	Laboratorio Valma Ltda.
89	110	ALCOHOL YODADO 0,65%	0.65% Fco. x 100ml	1	0,65	%			Fco.	0	0	100	91	VOLTA	Laboratorio Volta Ltda.
90	116	ALERGAN	1mg /ml Fco. x 60ml	2	1	mg			Fco.	0	0	60	83	CHEMOPHARMA	Ver SANITAS
91	118	ALEXAN	100mg F.Amp. x 1 x 5ml	1	100	mg			F.Amp.	1	0	5	208	BIOMEDICAL S.	Biomedical Sciences - Ver RECALCINE
92	118	ALEXAN	500mg F.Amp. x 1 x 10ml	2	500	mg			F.Amp.	1	0	10	208	BIOMEDICAL S.	Biomedical Sciences - Ver RECALCINE
93	120	ALGEX	500mg Comp. x 10	3	500	mg			Comp.	10	0	0	27	FARMO QUIMICA	Farmo Química del Pacífico S.A.
94	123	ALGIFEMIN	500mg Comp. x 10	1	500	mg			Comp.	10	0	0	76	SANITAS	Instituto Sanitas S.A.
95	128	ALKERAN	2mg Comp. x 25	1	2	mg			Comp.	25	0	0	25	GLAXOSMITHKLINE	GlaxoSmithKline
96	128	ALKERAN	50mg Iny. Amp. x 1	2	50	mg		Iny.	Amp.	1	0	0	25	GLAXOSMITHKLINE	GlaxoSmithKline
97	129	ALLEDRYL	10mg Comp. x 10	1	10	mg			Comp.	10	0	0	60	PRATER	Laboratorio Prater S.A.
98	129	ALLEDRYL	10mg Comp. x 20	2	10	mg			Comp.	20	0	0	60	PRATER	Laboratorio Prater S.A.
99	129	ALLEDRYL	1mg Jbe. x 60ml	4	1	mg			Jbe.	0	0	60	60	PRATER	Laboratorio Prater S.A.
100	135	ALPAZ	7.5mg Comp. x 30	1	7,5	mg			Comp.	30	0	0	158	ROYAL PHARMA	Royal Pharma (Línea de Alpes Chemie S.A.)
101	136	ALPRAZOLAM	0.5mg Comp. x 30	2	0,5	mg			Comp.	30	0	0	62	BAGO	Laboratorios Bagó S.A.
102	137	ALPRAZOLAM	0.25mg Comp. x 30	1	0,25	mg			Comp.	30	0	0	4	ANDROMACO	Laboratorios Andrómaco S.A.
103	137	ALPRAZOLAM	0.5mg Comp. x 30	2	0,5	mg			Comp.	30	0	0	4	ANDROMACO	Laboratorios Andrómaco S.A.
104	140	ALSYLAX	Grag. x 20	1	0				Grag.	20	0	0	14	BOEHRINGER I.	Boehringer Ingelheim
105	142	ALTICORT	0.05% Loc. x 20ml	3	0,05	%			Loc.	0	0	20	82	SILESIA	Laboratorios Silesia S.A.
106	146	ALUMINIO HIDROXIDO L.CH.	500mg Comp. x 20	1	500	mg			Comp.	20	0	0	18	CHILE LAB.	Laboratorios Chile S.A.
107	146	ALUMINIO HIDROXIDO L.CH.	6% Fco. x 180ml	2	6	%			Fco.	0	0	180	18	CHILE LAB.	Laboratorios Chile S.A.
108	156	AMBROXOL	Ad. 30mg Jbe. x 100ml	1	30	mg	Ad.		Jbe.	0	0	100	4	ANDROMACO	Laboratorios Andrómaco S.A.
109	156	AMBROXOL	Inf. 15mg Jbe. x 100ml	2	15	mg	Inf.		Jbe.	0	0	100	4	ANDROMACO	Laboratorios Andrómaco S.A.
110	157	AMBROXOL	15mg /5ml Jbe. x 100ml	2	15	mg			Jbe.	0	0	100	83	CHEMOPHARMA	Ver SANITAS
111	157	AMBROXOL	30mg /5ml Jbe. x 100ml	3	30	mg			Jbe.	0	0	100	83	CHEMOPHARMA	Ver SANITAS
112	163	AMIKACINA L.CH.	500mg F.Amp. x 1	2	500	mg			F.Amp.	1	0	0	18	CHILE LAB.	Laboratorios Chile S.A.
113	165	AMINOFILINA	250mg Amp. x 100 x 10ml	2	250	mg			Amp.	100	0	10	74	SANDERSON	Laboratorio Sanderson S.A.
114	166	AMINOFILINA L.CH.	200mg Comp. x 20	2	200	mg			Comp.	20	0	0	18	CHILE LAB.	Laboratorios Chile S.A.
115	167	AMIODARONA CLORHIDRATO	200mg Comp. x 50	2	200	mg			Comp.	50	0	0	67	RIDER	Laboratorios Rider S.A.
116	168	AMIODARONA L.CH.	200mg Comp. x 20	1	200	mg			Comp.	20	0	0	18	CHILE LAB.	Laboratorios Chile S.A.
117	169	AMITRIPTILINA	25mg Comp. x 100	1	25	mg			Comp.	100	0	0	4	ANDROMACO	Laboratorios Andrómaco S.A.
118	169	AMITRIPTILINA	25mg Comp. x 24	2	25	mg			Comp.	24	0	0	4	ANDROMACO	Laboratorios Andrómaco S.A.
119	171	AMITRIPTILINA L.CH.	25mg Comp. x 100	2	25	mg			Comp.	100	0	0	18	CHILE LAB.	Laboratorios Chile S.A.
120	171	AMITRIPTILINA L.CH.	25mg Comp. x 24	1	25	mg			Comp.	24	0	0	18	CHILE LAB.	Laboratorios Chile S.A.
121	173	AMLOC	10mg Comp. x 30	3	10	mg			Comp.	30	0	0	62	BAGO	Laboratorios Bagó S.A.
122	176	AMOVAL	1g Comp. Dispers. x 14	5	1	g			Comp.	14	0	0	77	SAVAL	Laboratorio Saval S.A.
123	176	AMOVAL	1g Comp. Dispers. x 20	10	1	g			Comp.	20	0	0	77	SAVAL	Laboratorio Saval S.A.
124	176	AMOVAL	250mg Oral Susp. x 100ml	8	250	mg		Oral	Susp.	0	0	100	77	SAVAL	Laboratorio Saval S.A.
125	176	AMOVAL	500mg /5ml Oral Susp. x 100ml	4	500	mg		Oral	Susp.	0	0	100	77	SAVAL	Laboratorio Saval S.A.
126	176	AMOVAL	500mg Comp. x 21	6	500	mg			Comp.	21	0	0	77	SAVAL	Laboratorio Saval S.A.
127	176	AMOVAL	750mg Comp. x 21	7	750	mg			Comp.	21	0	0	77	SAVAL	Laboratorio Saval S.A.
128	177	AMOXICILINA	500mg Caps. x 21	10	500	mg			Caps.	21	0	0	4	ANDROMACO	Laboratorios Andrómaco S.A.
129	177	AMOXICILINA	500mg Comp. x 6	2	500	mg			Comp.	6	0	0	4	ANDROMACO	Laboratorios Andrómaco S.A.
130	177	AMOXICILINA	750mg Comp. x 10	4	750	mg			Comp.	10	0	0	4	ANDROMACO	Laboratorios Andrómaco S.A.
131	177	AMOXICILINA	Ext. 250mg /5ml Oral Susp. x 60ml	8	250	mg	Ext.	Oral	Susp.	0	0	60	4	ANDROMACO	Laboratorios Andrómaco S.A.
132	177	AMOXICILINA	Ext. 500mg /5ml Oral Susp. x 60ml	9	500	mg	Ext.	Oral	Susp.	0	0	60	4	ANDROMACO	Laboratorios Andrómaco S.A.
133	179	AMOXICILINA L.CH.	250mg Oral Polvo p/ Susp.	7	250	mg		Oral	Susp.	0	0	0	18	CHILE LAB.	Laboratorios Chile S.A.
134	179	AMOXICILINA L.CH.	500mg /5ml Jbe. x 60ml	6	500	mg			Jbe.	0	0	60	18	CHILE LAB.	Laboratorios Chile S.A.
135	179	AMOXICILINA L.CH.	500mg Comp. Rec. x 6	2	500	mg			Comp.	6	0	0	18	CHILE LAB.	Laboratorios Chile S.A.
136	179	AMOXICILINA L.CH.	750mg Comp. Rec. x 10	3	750	mg			Comp.	10	0	0	18	CHILE LAB.	Laboratorios Chile S.A.
137	184	AMPARAX SUBLINGUAL	1mg Subli. Tab. x 25	1	1	mg		Subli.	Tab.	25	0	0	95	WYETH	Laboratorios Wyeth Inc.
138	184	AMPARAX SUBLINGUAL	2mg Subli. Tab. x 25	2	2	mg		Subli.	Tab.	25	0	0	95	WYETH	Laboratorios Wyeth Inc.
139	185	AMPARAX ORAL	1mg Tab. x 30	3	1	mg			Tab.	30	0	0	95	WYETH	Laboratorios Wyeth Inc.
140	185	AMPARAX ORAL	2mg Tab. x 30	4	2	mg			Tab.	30	0	0	95	WYETH	Laboratorios Wyeth Inc.
141	187	AMPICILINA	250mg Jbe. x 60ml	4	250	mg			Jbe.	0	0	60	4	ANDROMACO	Laboratorios Andrómaco S.A.
142	187	AMPICILINA	500mg Comp. x 10	2	500	mg			Comp.	10	0	0	4	ANDROMACO	Laboratorios Andrómaco S.A.
143	192	ANACIN	Comp. Sobres x 100 x 2 c/u	3	0				Comp.	100	0	2	133	PFIZER CONSUMER	Pfizer División Consumer
144	192	ANACIN	Comp. x 30	1	0				Comp.	30	0	0	133	PFIZER CONSUMER	Pfizer División Consumer
145	192	ANACIN	Comp. x 50	2	0				Comp.	50	0	0	133	PFIZER CONSUMER	Pfizer División Consumer
146	193	ANAFRANIL	10mg Grag. x 20	9	10	mg			Grag.	20	0	0	131	NOVARTIS	Lab. Novartis Chile S.A.
147	193	ANAFRANIL	25mg Amp. x 3	1	25	mg			Amp.	3	0	0	131	NOVARTIS	Lab. Novartis Chile S.A.
148	193	ANAFRANIL	25mg Grag. x 20	2	25	mg			Grag.	20	0	0	131	NOVARTIS	Lab. Novartis Chile S.A.
149	193	ANAFRANIL	75mg Grag. x 20	6	75	mg			Grag.	20	0	0	131	NOVARTIS	Lab. Novartis Chile S.A.
150	194	ANALGESICO DENTAL	Blst. Fco. x 1 x 3.7ml Analg.pinz.alg.	1	0				Fco.	1	0	3,7	154	DROG. HOFMANN	Droguería Hofmann S.A.C.
151	196	ANANASE FORTE	40mg Grag. x 20	1	40	mg			Grag.	20	0	0	157	SANOFI AVENTIS	Sanofi Aventis
152	197	ANAPROLINA	50mg Amp. x 1	2	50	mg			Amp.	1	0	0	4	ANDROMACO	Laboratorios Andrómaco S.A.
153	205	ANESTALCON	Oft. Sol. x 15ml	1	0			Oft.	Sol.	0	0	15	2	ALCON	Laboratorios Alcon Chile Ltda.
154	206	ANFETAMINA L.CH.	10mg Comp. x 25	1	10	mg			Comp.	25	0	0	18	CHILE LAB.	Laboratorios Chile S.A.
155	212	ANOVULATORIOS L.CH.	Comp. x 22	1	0				Comp.	22	0	0	18	CHILE LAB.	Laboratorios Chile S.A.
156	213	ANOVULATORIOS MICRODOSIS L.CH.	Comp. x 21	1	0				Comp.	21	0	0	18	CHILE LAB.	Laboratorios Chile S.A.
157	215	ANSAID	100mg Comp. Rec. x 10	1	100	mg			Comp.	10	0	0	57	PFIZER	Laboratorio Pfizer de Chile S.A.
158	215	ANSAID	100mg Comp. Rec. x 20	2	100	mg			Comp.	20	0	0	57	PFIZER	Laboratorio Pfizer de Chile S.A.
159	216	ANSIETIL	30mg Comp. x 30	2	30	mg			Comp.	30	0	0	88	TECNOFARMA	Tecnofarma S.A.
160	218	ANTABUS	500mg Tab. x 24	1	500	mg			Tab.	24	0	0	27	FARMO QUIMICA	Farmo Química del Pacífico S.A.
161	219	ANTALIN	Comp. x 30	1	0				Comp.	30	0	0	77	SAVAL	Laboratorio Saval S.A.
162	220	ANTALIN FORTE	Comp. x 30	1	0				Comp.	30	0	0	77	SAVAL	Laboratorio Saval S.A.
163	226	ANTIAX	Comp. x 24	1	0				Comp.	24	0	0	77	SAVAL	Laboratorio Saval S.A.
164	226	ANTIAX	Comp. x 8	5	0				Comp.	8	0	0	77	SAVAL	Laboratorio Saval S.A.
165	226	ANTIAX	Comp. x 80	2	0				Comp.	80	0	0	77	SAVAL	Laboratorio Saval S.A.
166	226	ANTIAX	Oral Susp. x 180ml	3	0			Oral	Susp.	0	0	180	77	SAVAL	Laboratorio Saval S.A.
167	226	ANTIAX	Oral Susp. x 360ml	4	0			Oral	Susp.	0	0	360	77	SAVAL	Laboratorio Saval S.A.
168	227	BIOLACTUS	250mg Caps. x 12	1	250	mg			Caps.	12	0	0	67	RIDER	Laboratorios Rider S.A.
169	227	BIOLACTUS	Est. Sobres x 6	3	0				Est.	6	0	0	67	RIDER	Laboratorios Rider S.A.
170	238	ANTISEPTIN	1% Jabón x 90g	1	1	%			Jabón	0	0	90	76	SANITAS	Instituto Sanitas S.A.
171	246	APETROL	Jbe. x 120ml	1	0				Jbe.	0	0	120	49	MEDIPHARM	Productos Farmacéuticos Medipharm Ltda.
172	253	ARACYTIN	100mg F.Amp. x 1	1	100	mg			F.Amp.	1	0	0	57	PFIZER	Laboratorio Pfizer de Chile S.A.
173	253	ARACYTIN	500mg F.Amp. x 1	2	500	mg			F.Amp.	1	0	0	57	PFIZER	Laboratorio Pfizer de Chile S.A.
174	254	ARADIX RETARD	10mg Comp. x 30	2	10	mg			Comp.	30	0	0	112	DRUGTECH	Ver RECALCINE
175	254	ARADIX RETARD	20mg Comp. x 30	3	20	mg			Comp.	30	0	0	112	DRUGTECH	Ver RECALCINE
176	257	ARMONYL	Caps. Blandas x 20	1	0				Caps.	20	0	0	47	MAVER	Laboratorios Maver S.A.
177	257	ARMONYL	Caps. Blandas x 60	2	0				Caps.	60	0	0	47	MAVER	Laboratorios Maver S.A.
178	257	ARMONYL	Caps. x 10	4	0				Caps.	10	0	0	47	MAVER	Laboratorios Maver S.A.
179	257	ARMONYL	Caps. x 20	7	0				Caps.	20	0	0	47	MAVER	Laboratorios Maver S.A.
180	257	ARMONYL	Caps. x 60	8	0				Caps.	60	0	0	47	MAVER	Laboratorios Maver S.A.
181	257	ARMONYL	Est. Caps. x 20 Manz. CB.	6	0				Caps.	20	0	0	47	MAVER	Laboratorios Maver S.A.
182	257	ARMONYL	Fco. Gotas x 30ml Manz. CB.	5	0				Gotas	0	0	30	47	MAVER	Laboratorios Maver S.A.
183	257	ARMONYL	Ped. Gotas x 30ml	3	0		Ped.		Gotas	0	0	30	47	MAVER	Laboratorios Maver S.A.
184	261	ARTREN	12.5mg Sup. x 5	3	12,5	mg			Sup.	5	0	0	50	MERCK	Merck S.A.
185	261	ARTREN	Caps. x 7	1	0				Caps.	7	0	0	50	MERCK	Merck S.A.
186	262	ARTROTIN	100mg Comp. Rec. x 3	3	100	mg			Comp.	3	0	0	40	LAFI	Ver RECALCINE
187	262	ARTROTIN	20mg Comp. Rec. x 30	2	20	mg			Comp.	30	0	0	40	LAFI	Ver RECALCINE
188	268	ASPIRINA	100mg Comp. x 42	12	100	mg			Comp.	42	0	0	8	BAYER	Bayer S.A.
189	268	ASPIRINA	100mg Comp. x 98	13	100	mg			Comp.	98	0	0	8	BAYER	Bayer S.A.
190	268	ASPIRINA	500mg Comp. x 20	11	500	mg			Comp.	20	0	0	8	BAYER	Bayer S.A.
191	268	ASPIRINA	Ad. 500mg Comp. x 100	7	500	mg	Ad.		Comp.	100	0	0	8	BAYER	Bayer S.A.
192	268	ASPIRINA	Ad. 500mg Comp. x 40	1	500	mg	Ad.		Comp.	40	0	0	8	BAYER	Bayer S.A.
193	274	ASTRIJESAN	Fco. Sol. x 110ml	2	0				Sol.	0	0	110	27	FARMO QUIMICA	Farmo Química del Pacífico S.A.
194	276	ATEMPERATOR	200mg Comp. x 30	1	200	mg			Comp.	30	0	0	112	DRUGTECH	Ver RECALCINE
195	276	ATEMPERATOR	200mg Comp. x 50	7	200	mg			Comp.	50	0	0	112	DRUGTECH	Ver RECALCINE
196	276	ATEMPERATOR	250mg Comp. x 20	4	250	mg			Comp.	20	0	0	112	DRUGTECH	Ver RECALCINE
197	276	ATEMPERATOR	250mg Comp. x 50	8	250	mg			Comp.	50	0	0	112	DRUGTECH	Ver RECALCINE
198	276	ATEMPERATOR	400mg Comp. x 20	2	400	mg			Comp.	20	0	0	112	DRUGTECH	Ver RECALCINE
199	276	ATEMPERATOR	400mg Comp. x 50	9	400	mg			Comp.	50	0	0	112	DRUGTECH	Ver RECALCINE
200	276	ATEMPERATOR	500mg Comp. x 20	5	500	mg			Comp.	20	0	0	112	DRUGTECH	Ver RECALCINE
201	276	ATEMPERATOR	500mg Comp. x 50	10	500	mg			Comp.	50	0	0	112	DRUGTECH	Ver RECALCINE
