DESCRIPTIONID_VTM;VTM;CuentaDeVMP;Acumulado;GRUPO VTM
8283211000999111;PREPARADO CON  FLUORURO DE SODIO;11;81;GRUPO 1
8280091000999119;PREPARADO CON  INDAPAMIDA;2;83;GRUPO 1
10430411000999114;PREPARADO CON  NAPROXENO Y TETRACICLINA;1;84;GRUPO 1
12628421000999111;PREPARADO CON 18F-COLINA;1;85;GRUPO 1
9586861000999112;PREPARADO CON 5-FLUOROURACILO;5;90;GRUPO 1
10321151000999116;PREPARADO CON ABACAVIR;1;91;GRUPO 1
10325251000999113;PREPARADO CON ABACAVIR Y LAMIVUDINA;1;92;GRUPO 1
10461991000999111;PREPARADO CON ABACAVIR, LAMIVUDINA Y ZIDOVUDINA;2;94;GRUPO 1
10574001000999118;PREPARADO CON ABATACEPT;1;95;GRUPO 1
6875871000999111;PREPARADO CON ABCIXIMAB;1;96;GRUPO 1
10418921000999115;PREPARADO CON ACAMPROSATO;1;97;GRUPO 1
10325951000999116;PREPARADO CON ACARBOSA;2;99;GRUPO 1
10276211000999113;PREPARADO CON ACECLOFENAC;1;100;GRUPO 1
10418781000999118;PREPARADO CON ACEITE DE PESCADO;1;101;GRUPO 2
11215181000999118;PREPARADO CON ACEITE DE PINO Y TREMENTINA;1;102;GRUPO 2
10573231000999119;PREPARADO CON ACEITE DE SILICONA;1;103;GRUPO 2
11069991000999114;PREPARADO CON ACEITE DE SOJA  Y ACEITE DE OLIVA;1;104;GRUPO 2
10364941000999114;PREPARADO CON ACEITE MINERAL;5;109;GRUPO 2
11123371000999113;PREPARADO CON ACEITE MINERAL EXTRA DENSO;3;112;GRUPO 2
11105661000999118;PREPARADO CON ACEITE MINERAL Y LANOLINA;1;113;GRUPO 2
10419311000999118;PREPARADO CON ACEMETACINA;2;115;GRUPO 2
8277101000999115;PREPARADO CON ACENOCUMAROL;5;120;GRUPO 2
11385891000999119;PREPARADO CON ACETATO DE ABIRATERONA;1;121;GRUPO 2
10449621000999112;PREPARADO CON ACETATO DE CALCIO;1;122;GRUPO 2
10664911000999119;PREPARADO CON ACETATO DE DESMOPRESINA;3;125;GRUPO 2
10716441000999114;PREPARADO CON ACETATO DE GLATIRAMER;1;126;GRUPO 2
10415201000999114;PREPARADO CON ACETATO DE MEDROXIPROGESTERONA;1;127;GRUPO 2
8634571000999112;PREPARADO CON ACETATO DE PLOMO;1;128;GRUPO 2
6917261000999112;PREPARADO CON ACETATO LEUPRORELINA;3;131;GRUPO 2
10311941000999111;PREPARADO CON ACETAZOLAMIDA;3;134;GRUPO 2
8280181000999116;PREPARADO CON ACETILCISTEINA;8;142;GRUPO 2
10776061000999111;PREPARADO CON ACETILCISTEÍNA, PARACETAMOL, SEUDOEFEDRINA Y CLORFENIRAMINA;1;143;GRUPO 2
10463951000999119;PREPARADO CON ACETILCISTEINA, TIROTRICINA Y LIDOCAINA;1;144;GRUPO 2
10333641000999110;PREPARADO CON ACETILSALICILATO DE LISINA;2;146;GRUPO 2
7267921000999110;PREPARADO CON ACETONA;1;147;GRUPO 2
10469391000999114;PREPARADO CON ACETONIDO DE FLUOCINOLONA;2;149;GRUPO 2
6926091000999119;PREPARADO CON ACICLOVIR;19;168;GRUPO 2
7179191000999113;PREPARADO CON ACIDO 4 AMINO 3 HIDROXIBUTIRICO;2;170;GRUPO 2
7179041000999116;PREPARADO CON ACIDO ACETICO;13;183;GRUPO 2
10857561000999115;PREPARADO CON ACIDO ACETICO Y ACIDO SALICILICO;1;184;GRUPO 2
7179071000999111;PREPARADO CON ACIDO ACETICO Y ALANINA;1;185;GRUPO 2
10454231000999111;PREPARADO CON ACIDO ACETIL SALICILICO PARACETAMOL Y CAFEINA;1;186;GRUPO 2
10279111000999111;PREPARADO CON ACIDO ACETIL SALICILICO Y CAFEINA;9;195;GRUPO 2
10450941000999115;PREPARADO CON ACIDO ACETIL SALICILICO Y CLORFENAMINA;1;196;GRUPO 2
10334061000999118;PREPARADO CON ACIDO ACETIL SALICILICO Y DIPIRIDAMOL;2;198;GRUPO 2
10425291000999112;PREPARADO CON ACIDO ACETIL SALICILICO Y MONONITRATO DE ISOSORBIDE;1;199;GRUPO 2
10452201000999110;PREPARADO CON ACIDO ACETIL SALICILICO Y PAPAINA;1;200;GRUPO 2
10424051000999114;PREPARADO CON ACIDO ACETIL SALICILICO Y VITAMINA C;6;206;GRUPO 3
10884981000999116;PREPARADO CON ACIDO ACETILSALICILICO, VITAMINA C, CLORFENIRAMINA Y CAFEÍNA;1;207;GRUPO 3
8315171000999116;PREPARADO CON ACIDO ACEXAMICO;2;209;GRUPO 3
10321751000999117;PREPARADO CON ACIDO ALENDRONICO;6;215;GRUPO 3
10467631000999110;PREPARADO CON ACIDO ALENDRONICO Y CARBONATO DE CALCIO;1;216;GRUPO 3
10447331000999110;PREPARADO CON ACIDO ALENDRONICO Y COLECALCIFEROL;2;218;GRUPO 3
10467701000999114;PREPARADO CON ACIDO ALENDRONICO, COLECALCIFEROL Y CARBONATO DE CALCIO;1;219;GRUPO 3
10473351000999114;PREPARADO CON ACIDO ALGINICO Y GOMA GUTTA;1;220;GRUPO 3
6926411000999116;PREPARADO CON ACIDO ASCORBICO;11;231;GRUPO 3
10452391000999114;PREPARADO CON ACIDO ASCORBICO PIRIDOXINA Y MAGNESIO;1;232;GRUPO 3
10441591000999114;PREPARADO CON ACIDO ASCORBICO Y CARBONATO DE MAGNESIO;1;233;GRUPO 3
6977691000999112;PREPARADO CON ACIDO ASCORBICO Y CLORURO POTASIO;1;234;GRUPO 3
10608081000999115;PREPARADO CON ACIDO ASCORBICO Y EDETATO DISODICO DE CALCIO;1;235;GRUPO 3
10455981000999115;PREPARADO CON ACIDO ASCORBICO Y GINSENG;1;236;GRUPO 3
7143891000999117;PREPARADO CON ACIDO ASCORBICO Y HESPERIDINA;2;238;GRUPO 3
10438371000999110;PREPARADO CON ACIDO ASCORBICO Y OXIDO DE MAGNESIO;1;239;GRUPO 3
7147221000999110;PREPARADO CON ACIDO ASCORBICO Y PERCARBONATO DE SODIO;1;240;GRUPO 3
10329151000999115;PREPARADO CON ACIDO ASCORBICO Y PIRIDOXINA;1;241;GRUPO 3
11036981000999114;PREPARADO CON ACIDO ASCORBICO Y RETINOL;1;242;GRUPO 3
10415741000999116;PREPARADO CON ACIDO ASCORBICO Y SULFATO DE MAGNESIO;1;243;GRUPO 3
10460541000999115;PREPARADO CON ACIDO ASCORBICO Y SULFATO FERROSO;1;244;GRUPO 3
10322981000999119;PREPARADO CON ACIDO ASCORBICO Y TIAMINA;2;246;GRUPO 3
10970581000999117;PREPARADO CON ACIDO AZELAICO;1;247;GRUPO 3
10703731000999118;PREPARADO CON ACIDO BORICO;5;252;GRUPO 3
10457371000999110;PREPARADO CON ACIDO BORICO Y OXIDO DE ZINC;3;255;GRUPO 3
10903571000999118;PREPARADO CON ACIDO BORICO Y RESORCINOL;1;256;GRUPO 3
11029331000999115;PREPARADO CON ACIDO CITRICO OXIDO DE MAGNESIO Y CARBONATO DE MAGNESIO;1;257;GRUPO 3
10492821000999110;PREPARADO CON ACIDO CITRICO Y CARBONATO DE MAGNESIO;2;259;GRUPO 3
6886671000999112;PREPARADO CON ACIDO CROMOGLICICO;3;262;GRUPO 3
8317151000999116;PREPARADO CON ACIDO CROMOGLICICO Y NAFAZOLINA;2;264;GRUPO 3
7147101000999110;PREPARADO CON ACIDO DEHIDROCOLICO Y ACIDO DESOXICOLICO;1;265;GRUPO 3
7145691000999117;PREPARADO CON ACIDO DEHIDROCOLICO Y ALCACHOFA;1;266;GRUPO 3
10429181000999117;PREPARADO CON ACIDO EICOSAPENTANOICO;1;267;GRUPO 3
7134511000999113;PREPARADO CON ACIDO ETIDRONICO;1;268;GRUPO 3
12748431000999115;PREPARADO CON ACIDO FENOFIBRICO;2;270;GRUPO 3
10318181000999113;PREPARADO CON ACIDO FOLICO Y ACIDO ASCORBICO;1;271;GRUPO 3
10424771000999115;PREPARADO CON ACIDO FOLICO Y CARBONATO DE CALCIO;4;275;GRUPO 3
10442941000999117;PREPARADO CON ACIDO FOLICO Y CIANOCOBALAMINA;2;277;GRUPO 3
10313371000999116;PREPARADO CON ACIDO FOLICO Y CINC;11;288;GRUPO 3
6994371000999116;PREPARADO CON ACIDO FOLICO Y COLECALCIFEROL;1;289;GRUPO 3
6994491000999112;PREPARADO CON ACIDO FOLICO Y FITOMENADIONA;2;291;GRUPO 3
10449451000999118;PREPARADO CON ACIDO FOLICO Y FLUORURO DE SODIO;1;292;GRUPO 3
7144301000999119;PREPARADO CON ACIDO FOLICO Y HIERRO FUMARATO;1;293;GRUPO 3
7144261000999110;PREPARADO CON ACIDO FOLICO Y HIERRO POLIMALTOSATO;3;296;GRUPO 3
6994581000999113;PREPARADO CON ACIDO FOLICO Y PIRIDOXINA;3;299;GRUPO 3
10318351000999115;PREPARADO CON ACIDO FOLICO Y RETINOL;4;303;GRUPO 3
10414171000999111;PREPARADO CON ACIDO FOLICO Y SULFATO FERROSO;2;305;GRUPO 4
10453211000999115;PREPARADO CON ACIDO FOLICO Y VITAMINA B6;1;306;GRUPO 4
10423511000999119;PREPARADO CON ACIDO FOLICO Y VITAMINA C;6;312;GRUPO 4
6994621000999113;PREPARADO CON ACIDO FOLICO Y VITAMINA E;9;321;GRUPO 4
10357501000999118;PREPARADO CON ACIDO FOLICO, HIERRO POLIMALTOSATO E HIDROXOCOBALAMINA;1;322;GRUPO 4
8289071000999111;PREPARADO CON ACIDO FUSIDICO;4;326;GRUPO 4
10896371000999110;PREPARADO CON ACIDO FUSIDICO E HIDROCORTISONA;1;327;GRUPO 4
10387281000999115;PREPARADO CON ACIDO FUSIDICO Y BETAMETASONA;2;329;GRUPO 4
11004331000999112;PREPARADO CON ACIDO GLICOLICO;8;337;GRUPO 4
11017591000999110;PREPARADO CON ACIDO GLICOLICO Y RETINOL;1;338;GRUPO 4
11097781000999119;PREPARADO CON ACIDO GLICOLICO, RETINOL Y ACIDO SALICILICO;1;339;GRUPO 4
7134521000999118;PREPARADO CON ACIDO GLUCONICO;1;340;GRUPO 4
6994681000999112;PREPARADO CON ACIDO HIALURONICO;9;349;GRUPO 4
8317231000999117;PREPARADO CON ACIDO HIALURONICO Y ACIDO ALGINICO;1;350;GRUPO 4
8288031000999116;PREPARADO CON ACIDO IBANDRONICO;4;354;GRUPO 4
10467371000999115;PREPARADO CON ACIDO IBANDRONICO Y COLECALCIFEROL;1;355;GRUPO 4
7296771000999114;PREPARADO CON ACIDO MEFENAMICO;1;356;GRUPO 4
7176351000999111;PREPARADO CON ACIDO METILENDIOXICINAMICO;1;357;GRUPO 4
10304371000999116;PREPARADO CON ACIDO MICOFENOLICO;2;359;GRUPO 4
10430191000999112;PREPARADO CON ACIDO NALIDIXICO;1;360;GRUPO 4
7177101000999111;PREPARADO CON ACIDO NICOTINICO;3;363;GRUPO 4
10939511000999117;PREPARADO CON ACIDO NIFLUMICO;1;364;GRUPO 4
10858171000999116;PREPARADO CON ACIDO PANTOTENICO Y ACEITE DE CADE;1;365;GRUPO 4
10545421000999118;PREPARADO CON ACIDO PERACETICO;1;366;GRUPO 4
7134531000999115;PREPARADO CON ACIDO PIPEMIDICO;2;368;GRUPO 4
12829941000999113;PREPARADO CON ACIDO POLIACRILICO;1;369;GRUPO 4
7134551000999114;PREPARADO CON ACIDO RISEDRONICO;2;371;GRUPO 4
6994741000999112;PREPARADO CON ACIDO SALICILICO;10;381;GRUPO 4
11174611000999112;PREPARADO CON ACIDO SALICILICO Y ACIDO BORICO;1;382;GRUPO 4
10558501000999119;PREPARADO CON ACIDO SALICILICO Y ACIDO LACTICO;4;386;GRUPO 4
11172081000999119;PREPARADO CON ACIDO SALICILICO Y ACIDO UNDECILENICO;1;387;GRUPO 4
10366951000999118;PREPARADO CON ACIDO SALICILICO Y COAL-TAR;6;393;GRUPO 4
11094711000999116;PREPARADO CON ACIDO SALICILICO Y HIDROCORTISONA;1;394;GRUPO 4
10386621000999119;PREPARADO CON ACIDO SALICILICO Y OXIDO DE ZINC;1;395;GRUPO 4
11259321000999113;PREPARADO CON ACIDO SALICILICO Y PIROCTONA;1;396;GRUPO 4
10905821000999117;PREPARADO CON ACIDO SALICILICO Y RESORCINOL;2;398;GRUPO 4
11259251000999110;PREPARADO CON ACIDO SALICILICO Y RUIBARBO;1;399;GRUPO 4
10857591000999110;PREPARADO CON ACIDO SALICILICO Y ZINC;1;400;GRUPO 4
11078411000999113;PREPARADO CON ACIDO SALICILICO, TRETINOINA Y DIMETILSULFOXIDO;1;401;GRUPO 5
7141831000999115;PREPARADO CON ACIDO TIOCTICO;6;407;GRUPO 5
7189471000999112;PREPARADO CON ACIDO TIOCTICO Y COCARBOXILASA;2;409;GRUPO 5
8283101000999116;PREPARADO CON ACIDO TOLFENAMICO;1;410;GRUPO 5
10442641000999113;PREPARADO CON ACIDO TRANEXAMICO;2;412;GRUPO 5
10596071000999111;PREPARADO CON ACIDO TRICLOROACETICO;21;433;GRUPO 5
8280031000999118;PREPARADO CON ACIDO UNDECILENICO;2;435;GRUPO 5
11217361000999116;PREPARADO CON ACIDO UNDECILENICO Y ACIDO BORICO;1;436;GRUPO 5
7177121000999119;PREPARADO CON ACIDO URSODESOXICOLICO;21;457;GRUPO 5
7266441000999112;PREPARADO CON ACIDO VALPROICO;3;460;GRUPO 5
7017131000999119;PREPARADO CON ACIDO ZOLEDRONICO;3;463;GRUPO 5
10416991000999117;PREPARADO CON ACIPIMOX;1;464;GRUPO 5
8285071000999114;PREPARADO CON ACITRETINA;2;466;GRUPO 5
7017151000999113;PREPARADO CON ADALIMUMAB;1;467;GRUPO 5
8398601000999110;PREPARADO CON ADAPALENE Y PEROXIDO BENZOILO;1;468;GRUPO 5
10971091000999118;PREPARADO CON ADAPALENO;4;472;GRUPO 5
10321181000999111;PREPARADO CON ADEFOVIR;1;473;GRUPO 5
10462671000999110;PREPARADO CON ADEFOVIR DIPIDOXIL;1;474;GRUPO 5
10472521000999117;PREPARADO CON ADEMETIONINA;2;476;GRUPO 5
11042891000999117;PREPARADO CON ADENOSINA;1;477;GRUPO 5
8986691000999112;PREPARADO CON AGOMELATINA;1;478;GRUPO 5
8677991000999110;PREPARADO CON AGUA BIDESTILADA;9;487;GRUPO 5
8314041000999111;PREPARADO CON AGUA DESTILADA;11;498;GRUPO 5
12981531000999112;PREPARADO CON AGUA MINERAL;4;502;GRUPO 5
10365091000999118;PREPARADO CON AGUA OXIGENADA;13;515;GRUPO 6
6907711000999119;PREPARADO CON AGUA PARA INYECCIONES;6;521;GRUPO 6
10428761000999117;PREPARADO CON AJO;4;525;GRUPO 6
7189581000999114;PREPARADO CON AJO Y GAYUBA;1;526;GRUPO 6
10462091000999119;PREPARADO CON AJO Y VITAMINA C;1;527;GRUPO 6
10966841000999118;PREPARADO CON ALANTOINA METIONINA Y CISTINA;1;528;GRUPO 6
10719101000999114;PREPARADO CON ALANTOINA Y EUCALIPTO;1;529;GRUPO 6
8289331000999111;PREPARADO CON ALBENDAZOL;3;532;GRUPO 6
10777201000999119;PREPARADO CON ALBUMINA 20 %;3;535;GRUPO 6
10777171000999118;PREPARADO CON ALBUMINA 5%;2;537;GRUPO 6
6919811000999117;PREPARADO CON ALBUTEROL Y BROMURO IPRATROPIO;3;540;GRUPO 6
7144651000999111;PREPARADO CON ALCACHOFA;6;546;GRUPO 6
11077821000999115;PREPARADO CON ALCACHOFA Y MENTOL;3;549;GRUPO 6
8310701000999115;PREPARADO CON ALCACHOFA Y SALES BILIARES;1;550;GRUPO 6
11213871000999112;PREPARADO CON ALCANFOR EUCALIPTO Y MENTOL;3;553;GRUPO 6
10970621000999117;PREPARADO CON ALCANFOR Y ACIDO SALICILICO;2;555;GRUPO 6
10966531000999112;PREPARADO CON ALCANFOR Y BORATO DE SODIO;1;556;GRUPO 6
10333871000999116;PREPARADO CON ALCANFOR Y MENTOL;3;559;GRUPO 6
11108931000999114;PREPARADO CON ALCANFOR Y RETINOL;1;560;GRUPO 6
11205121000999119;PREPARADO CON ALCANFOR Y SALICILATO DE METILO;1;561;GRUPO 6
11061981000999112;PREPARADO CON ALCANFOR Y TREMENTINA;1;562;GRUPO 6
10929731000999115;PREPARADO CON ALCOHOL 70% Y CLORHEXIDINA;2;564;GRUPO 6
10719281000999113;PREPARADO CON ALCOHOL BENCILICO Y ACIDO ASCORBICO;1;565;GRUPO 6
10719351000999111;PREPARADO CON ALCOHOL BENCILICO Y EUCALIPTO;1;566;GRUPO 6
10719411000999118;PREPARADO CON ALCOHOL BENCILICO Y LIMON;1;567;GRUPO 6
10857971000999119;PREPARADO CON ALCOHOL CETILICO;1;568;GRUPO 6
7027021000999110;PREPARADO CON ALCOHOL ETILICO;13;581;GRUPO 6
10687771000999116;PREPARADO CON ALCOHOL ETILICO Y CARBOPOL;3;584;GRUPO 6
11259141000999117;PREPARADO CON ALCOHOL POLIVINILICO;2;586;GRUPO 6
10557651000999115;PREPARADO CON ALDESLEUKINA;1;587;GRUPO 6
7210251000999114;PREPARADO CON ALENDRONATO, CITRATO CALCICO Y COLECALCIFEROL;1;588;GRUPO 6
10671231000999113;PREPARADO CON ALFA 1 ANTITRIPSINA;1;589;GRUPO 6
6897341000999110;PREPARADO CON ALFA FOLITROPINA;5;594;GRUPO 6
6967361000999116;PREPARADO CON ALFA FOLITROPINA Y LUTROPIN ALFA;3;597;GRUPO 6
8280591000999112;PREPARADO CON ALFUZOSIN;2;599;GRUPO 6
10477781000999114;PREPARADO CON ALGAS MARINAS Y GLUCOMANNAN;1;600;GRUPO 6
7296591000999115;PREPARADO CON ALISKIREN;2;602;GRUPO 7
10441891000999112;PREPARADO CON ALISKIREN Y HIDROCLOROTIAZIDA;3;605;GRUPO 7
11074471000999114;PREPARADO CON ALITRETINOINA;1;606;GRUPO 7
7176491000999110;PREPARADO CON ALIZAPRIDA;3;609;GRUPO 7
7145071000999113;PREPARADO CON ALOE VERA;7;616;GRUPO 7
10934761000999110;PREPARADO CON ALOE VERA Y UREA;3;619;GRUPO 7
11006401000999118;PREPARADO CON ALOE VERA Y VITAMINA E;1;620;GRUPO 7
8277361000999116;PREPARADO CON ALOPURINOL;7;627;GRUPO 7
10307271000999117;PREPARADO CON ALOPURINOL Y COLCHICINA;2;629;GRUPO 7
7145911000999116;PREPARADO CON ALPRAZOLAM;9;638;GRUPO 7
10325391000999113;PREPARADO CON ALPRAZOLAM  Y DOMPERIDONA;1;639;GRUPO 7
10329291000999117;PREPARADO CON ALPRAZOLAM  Y SULPIRIDA;1;640;GRUPO 7
7017191000999115;PREPARADO CON ALPROSTADILO;2;642;GRUPO 7
10521541000999113;PREPARADO CON ALUMBRE;1;643;GRUPO 7
7141551000999112;PREPARADO CON ALVERINA;1;644;GRUPO 7
10459971000999116;PREPARADO CON ALVERINA Y SIMETICONA;1;645;GRUPO 7
8284741000999117;PREPARADO CON AMANTADINA;2;647;GRUPO 7
7134901000999119;PREPARADO CON AMBROXOL;8;655;GRUPO 7
7135171000999113;PREPARADO CON AMBROXOL Y AMOXICILINA;8;663;GRUPO 7
7137991000999117;PREPARADO CON AMBROXOL Y BUTETAMATO;5;668;GRUPO 7
7137691000999113;PREPARADO CON AMBROXOL Y CEFADROXILO;2;670;GRUPO 7
7137761000999114;PREPARADO CON AMBROXOL Y CLENBUTEROL;3;673;GRUPO 7
7137871000999111;PREPARADO CON AMBROXOL Y CLOFEDANOL;1;674;GRUPO 7
11112001000999115;PREPARADO CON AMBROXOL Y CLORFENAMINA;1;675;GRUPO 7
7135281000999116;PREPARADO CON AMBROXOL Y PARACETAMOL;1;676;GRUPO 7
10281641000999113;PREPARADO CON AMBROXOL Y PSEUDOEFEDRINA;1;677;GRUPO 7
10884041000999113;PREPARADO CON AMERCHOL L 101;1;678;GRUPO 7
6901891000999110;PREPARADO CON AMIFOSTINA;1;679;GRUPO 7
6901941000999111;PREPARADO CON AMIKACINA;4;683;GRUPO 7
10970861000999111;PREPARADO CON AMIL SALICILATO GUAYACOL Y ALCANFOR;3;686;GRUPO 7
11184421000999113;PREPARADO CON AMILASA SIMETICONA Y DOMPERIDONA;1;687;GRUPO 7
10433931000999116;PREPARADO CON AMILASA Y LIPASA;7;694;GRUPO 7
10432891000999119;PREPARADO CON AMILASA Y SIMETICONA;1;695;GRUPO 7
10402821000999112;PREPARADO CON AMILORIDA;4;699;GRUPO 7
7141281000999115;PREPARADO CON AMINEPTINA;1;700;GRUPO 7
6902311000999118;PREPARADO CON AMINOACIDOS;3;703;GRUPO 8
10658491000999117;PREPARADO CON AMINOACIDOS Y GLUCOSA;1;704;GRUPO 8
6902471000999119;PREPARADO CON AMINOFILINA;7;711;GRUPO 8
10326151000999113;PREPARADO CON AMINOFILINA Y TEOFILINA;1;712;GRUPO 8
10452821000999117;PREPARADO CON AMINOGLUTETIMIDA;1;713;GRUPO 8
10537931000999117;PREPARADO CON AMINOPIRIDINA;2;715;GRUPO 8
6902621000999117;PREPARADO CON AMIODARONA;6;721;GRUPO 8
10440431000999115;PREPARADO CON AMISULPRIDA;4;725;GRUPO 8
7296801000999111;PREPARADO CON AMITRIPTILINA;5;730;GRUPO 8
10456331000999114;PREPARADO CON AMITRIPTILINA Y PERFENAZINA;1;731;GRUPO 8
7264491000999114;PREPARADO CON AMLODIPINA;5;736;GRUPO 8
10441751000999112;PREPARADO CON AMLODIPINA Y ATORVASTATINA;4;740;GRUPO 8
10321091000999113;PREPARADO CON AMLODIPINA Y BENAZEPRIL;3;743;GRUPO 8
10448941000999115;PREPARADO CON AMLODIPINA Y LOSARTAN;2;745;GRUPO 8
10442891000999118;PREPARADO CON AMLODIPINA Y VALSARTAN;5;750;GRUPO 8
10679931000999118;PREPARADO CON AMOROLFINA;2;752;GRUPO 8
6903081000999116;PREPARADO CON AMOXICILINA;26;778;GRUPO 8
11037111000999115;PREPARADO CON AMOXICILINA Y ACETILCISTEINA;1;779;GRUPO 8
6994901000999113;PREPARADO CON AMOXICILINA Y ACIDO CLAVULANICO;13;792;GRUPO 8
7141181000999110;PREPARADO CON AMOXICILINA Y BROVANEXINA;3;795;GRUPO 8
10421661000999116;PREPARADO CON AMOXICILINA Y DICLOFENAC;2;797;GRUPO 8
10433031000999115;PREPARADO CON AMOXICILINA Y PIROXICAM;1;798;GRUPO 8
6994961000999114;PREPARADO CON AMOXICILINA Y SULBACTAM;11;809;GRUPO 8
6903441000999116;PREPARADO CON AMPICILINA;13;822;GRUPO 9
10432191000999111;PREPARADO CON AMPICILINA Y DICLOFENAC;1;823;GRUPO 9
6995051000999112;PREPARADO CON AMPICILINA Y LIDOCAINA;1;824;GRUPO 9
10478801000999114;PREPARADO CON AMPICILINA Y METAMIZOL SODICO;2;826;GRUPO 9
6906561000999113;PREPARADO CON AMPICINA SULBACTAM;2;828;GRUPO 9
10414121000999110;PREPARADO CON AMPRENAVIR;2;830;GRUPO 9
10446601000999110;PREPARADO CON ANAGRELIDA;2;832;GRUPO 9
10321371000999110;PREPARADO CON ANASTROZOL;1;833;GRUPO 9
6906521000999115;PREPARADO CON ANFOTERICINA;5;838;GRUPO 9
8635691000999113;PREPARADO CON ANFOTERICINA B LIPOSOMAL;1;839;GRUPO 9
10586141000999116;PREPARADO CON ANFOTERICINA LIPIDICA;1;840;GRUPO 9
10951641000999117;PREPARADO CON ANIDULAFUNGINA;1;841;GRUPO 9
7191051000999112;PREPARADO CON ANIRACETAM;1;842;GRUPO 9
10548971000999119;PREPARADO CON ANTIGENO DE SUPERFICIE DE HEPATITIS B;3;845;GRUPO 9
11115541000999116;PREPARADO CON ANTIPIRINA Y CARBONATO DE SODIO;1;846;GRUPO 9
11168641000999112;PREPARADO CON ANTIPIRINA Y NAFAZOLINA;1;847;GRUPO 9
6906661000999114;PREPARADO CON ANTITROMBINA III;2;849;GRUPO 9
6906701000999119;PREPARADO CON APOMORFINA;3;852;GRUPO 9
8221121000999118;PREPARADO CON APREPITANT;2;854;GRUPO 9
8309541000999118;PREPARADO CON APROTININA;1;855;GRUPO 9
10623091000999115;PREPARADO CON APROTININA Y CONDROITIN SULFATO;1;856;GRUPO 9
10466411000999117;PREPARADO CON ARANDANO Y ACIDO ASCORBICO;4;860;GRUPO 9
13020761000999110;PREPARADO CON ARANDANOS LACTOBACILOS Y VITAMINA C;1;861;GRUPO 9
7145381000999114;PREPARADO CON ARGININA;5;866;GRUPO 9
10433821000999110;PREPARADO CON ARGININA Y CIPROHEPTADINA;1;867;GRUPO 9
7145561000999111;PREPARADO CON ARGININA Y GINSENG;1;868;GRUPO 9
10464561000999112;PREPARADO CON ARGININA Y VITAMINA E;1;869;GRUPO 9
7296951000999119;PREPARADO CON ARIPIPRAZOL;4;873;GRUPO 9
8309551000999116;PREPARADO CON ASPARAGINASA;1;874;GRUPO 9
7187051000999115;PREPARADO CON ASPARTAMO;1;875;GRUPO 9
10320671000999110;PREPARADO CON ATAZANAVIR;3;878;GRUPO 9
6906961000999115;PREPARADO CON ATENOLOL;5;883;GRUPO 9
10451471000999111;PREPARADO CON ATENOLOL E HIDROCLOROTIAZIDA;1;884;GRUPO 9
10320851000999117;PREPARADO CON ATENOLOL Y CLORTALIDONA;2;886;GRUPO 9
10451081000999116;PREPARADO CON ATENOLOL Y NIFEDIPINO;1;887;GRUPO 9
