COD_ACC_FARMACOLOGICA	ACCION_FARMACOLOGICA
104	ANTIULCEROSO
106	ANTIVIRAL
108	ANTIVIRAL PARA TRATAMIENTO  VIH
110	BRONCODILATADOR _  ANTIASMATICO
112	BRONCODILATADOR_  CORTICOSTEROIDE
114	CALCIOTERAPIA
116	CORTICOSTEROIDE
118	DESCONGESTIONANTE NASAL
120	ESTIMULANTE CENTRAL
122	ESTIMULANTE DEL APETITO
126	ESTROGENOTERAPIA
128	HIDRATACION ORAL
130	HIPOGLICEMIANTE
132	HIPOGLICEMIANTE ORAL
134	HIPOLIPEMIANTE _ HIPOCOLESTEROLEMIANTE
136	HORMONOTERAPIA
138	HORMONOTERAPIA TIROIDEA
140	INDUCTOR DEL SUEÑO
144	INMUNOMODULADOR ANTIPROLIFERATIVO
146	INMUNOSUPRESOR
148	LAXANTE
150	LUBRICANTE OCULAR
152	LUBRICANTE OFTALMICO
154	MUCOLITICO
156	MUCOLITICO _ EXPECTORANTE
158	NORMALIZADOR DE LA KALEMIA
162	PROCINETICO
164	PROGESTAGENOTERAPIA
166	PROTECTOR DERMICO
168	REACTIVADOR NEUROCEREBRAL
170	RECONSTITUYENTE DERMICO
172	REGULADOR FLORA INTESTINAL
174	RELAJANTE MUSCULAR
176	TRATAMIENTO DEL ALZHEIMER
178	TRATAMIENTO DEL TABAQUISMO
180	TRATAMIENTO HIPERPLASIA PROSTATICA BENIGNA
182	VASODILATADOR CENTRAL PERIFERICO
186	VITAMINOTERAPIA
384	BRONCODILATADOR
386	ANTIHIPERTENSIVO _ HIPOLIPEMIANTE 
388	ANTIINFLAMATORIO INTESTINAL
390	ANTIMICOTICO
392	ANTIPARKINSONIANO
394	ANTIRREUMATICO
396	ANTISEPTICO _ BUCOFARINGEO
398	ANTIVERTIGINOSO 
400	QUELANTE 
402	TRATAMIENTO VEJIGA HIPERACTIVA
650	HIPNOTICO
652	ANSIOLITICO_TRANQUILIZANTE
664	INCONTINENCIA URINARIA
722	PSICOESTIMULANTE
790	ANTINEOPLASICO
791	CITOSTATICO
793	FACTOR CREC HEMATOPOYETICO
795	INHIBIDOR AROMATASA
796	ANTIANDROGENICO
797	ANALOGO LHRH NAT
802	ANTIHISTAMINICO
841	ANTIEMETICO_GASTROCINETICO
843	ANALGESICO
846	ANALGESICO CENTRAL
849	ANTIHIPERTENSIVO_INHIBIDOR DE ECA
850	QUIMIOTERAPEUTICO_ANTIBACTERIANO
852	ANTIEMETICO_ANTIVERTIGINOSO
863	ANTIREFLUJO_ANTIFLATULENTO
864	ANTIBACTERIANO DE AMPLIO ESPECTRO
866	BLOQUEADOR NEUROMUSCULAR
868	TERAPIA CORONARIA_ANTAGONISTA DE CALCIO
876	ANTICONVULSIVANTE
878	VASODILATADOR CORONARIO
880	HIPOURICEMIANTE_ANTIANGINOSO
882	ANTIARRITMICO
884	ANTIDIABETICO
888	ANTICOAGULANTE ORAL
891	CICATRIZANTE_PROTECTOR DÉRMICO
893	ANTIBACTERIANO
896	INHIBIDOR DE LA BOMBA DE PROTONES
898	SUPLEMENTO NUTRICIONAL
901	HIPOLIPIDEMIANTE
906	HIPERTENSOR
910	ANTIMICROBIANO
911	ANTIPARASITARIO_ANTIBACTERIANO_ANTIHELMINTICO
913	ANALGESICO DEL TRACTO URINARIO
922	NEUROLOLEPTICO
942	VENOTONICO
944	SIMPATICOMIMETICO
951	ALCALINIZANTE URINARIO
958	ANTIEPILEPTICO_ANALGESICO NEUROLEPTICO
965	HEMOSTATICO
967	PROGESTAGENOTERAPIA
983	ANTIEPILEPTICO_ANALGESICO NEUROPATICO
1002	ELECTROLITOTERAPIA
1008	INH FACTOR NECROSIS TUMOR
1062	TERAPIA DE ELEMENTOS TRAZA
1064	HUMECTANTE LUBRICANTE OFTALMICO
1066	AGENTE IONOTROPICO
1069	ANTISEPTICO TOPICO
1070	ANTIAGREGANTE PLAQUETARIO
1073	INHIBIDOR DE COLESTEROL INTESTINAL_HIPOLIPIDEMIANTE
1092	INDUCTOR DIF CELULAR
1093	ANTAGONISTA ANTIESTROGENICO
1094	INMUNOSUPRESOR SELECTIVO
1095	ARTRITIS REUMATOIDEA
1096	INMUNOTERAPIA
1097	OSTEOPOROSIS
1110	CURARIZANTE
1115	COADYUVANTE EN TERAPIA CITOTOXICA
1119	ANTIACIDO_LAXANTE
1124	ANESTESICO TOPICO
1125	ANTIEMETICO_PROCINETICO
1148	DESCONGESTIONANTE OFTALMICO
1150	OXITOCICO
1153	TERAPIA REPOSICION DE POTASIO
1154	ANTISEPTICO BUCOFARINGEO
1162	HORMONA ANTIDIURETICA
1166	TRATAMIENTO DE REACCIONES ALERGICAS SEVERAS (ANAFILAXIS)
1173	ANTIINFLAMATORIO CORTICOSTEROIDE
1177	ANESTESICO GENERAL
1179	MEDIO DE CONTRASTE
1183	FORMULA ENTERAL_NUTRICIONAL E ISOTONICA
1186	REGULADOR DE LA FUNCION DIGESTIVA_ EVACUANTE INTESTINAL
1202	TRATAMIENTO DE LESIONES DE LA CAVIDAD BUCOFARINGEA
1204	HIPERGLICEMIANTE
1206	DISPOSITIVO VISCOCIRURGICO OFTALMICO
1241	ESTIMULANTE COLONIA GRANULOCITOS
1266	HIPOTENSOR
1269	ANTISEPTICO LOCAL
1270	HEPATOPROTECTOR_LITOLITICO
1281	INHIBIDOR DE LA RESORCION OSTEOCLASTICA
1282	VISCOELASTICO
1283	TRATAMIENTO ENFERMEDAD DE FABRY
1284	EXPANSOR PLASMATICO
1285	HIPOURICEMICO
1313	AGENTE ADSORVENTE
1314	NUTRICION PARENTERAL
1321	ANTIMICOTICO SISTEMICO
1322	MIDRIATICO
1323	ANTICOLINERGICO
1324	ANTIBIOTICO_DESCONGESTIONANTE NASAL
1381	ALCALINIZANTE
1402	INHIBIDOR DE PROLACTINA
1403	ESTIMULANTE CARDIACO
1427	UROPROTECTOR
1428	ANTIDOTO PARA INTOXICACION
1466	REACTIVADOR NEURONAL
1501	TERAPIA ANTIARTROSIS
1522	SEDANTE HIPNOTICO
1561	SOLUCION ELECTROLITICA
1621	ANTIHEMORRAGICO
1641	VASOPRESOR
1642	TOCOLITICO
1661	ANTAGONISTA DE BENZODIAZEPINAS
1684	SURFACTANTE PULMONAR
1711	DIURETICO
1741	AMINOACIDOS
1742	DIFUSOR TISULAR
1762	ELEMENTO DE CURACION DE HERIDAS
1769	ANALOGO DE PROSTAGLANDINA
1777	INMUNOGLOBULINA
1789	ANESTESICO INHALATORIO
1801	REGULADOR TRANSITO INTESTINAL
1802	ANTIANGIONOSO_ANTIARRITMICO
1821	ANTICONCEPTIVO DE EMERGENCIA
1841	ANTIDIARREICO
1861	SUPLEMENTO DE MAGNESIO
1862	ANTIMALARICO
1881	ANTAGONISTA OPIOIDE
1882	ANTIEMETICO_ANTINAUSEOSO_ANTIFLATULENTO
1935	MUCOLITICO_ANTIDOTO PARACETAMOL
1936	ANALGESICO _ ANTIINFLAMATORIO _ ANTIPIRETICO
1941	QUERATOLITICO
2061	ESCLEROTERAPIA
2062	RESINA INTERCAMBIO
2124	ANTIINFLAMATORIO_ANTIALERGICO
2141	MINERALES
2143	METABOLISMO OSEO
2162	ANTIACIDO_ANTIFLATULENTO
2168	SEDANTE NATURAL
2181	VITAMINAS_MINERALES
2209	ANALGESICO_ANTIINFLAMATORIO_RELAJANTE MUSCULAR
2223	PRVENTIVOS DE CARIES
2241	TRATAMIENTO DE DISFUNCIONES SEXUALES
2267	LIMPIEZA CUTANEA
2288	LIMPIEZA DE PARPADOS
2325	ANTIHISTAMINICO_CORTICOSTEROIDE
2370	ANTIDISPEPTICOS
2372	ANTIMICOTICO_CICATRIZANTE
2383	FORMULA PARA PACIENTES CON DIABETES MELLITUS Y/O INTOLERANCIA A LA GLUCOSA
2404	TRATAMIENTO DE TRASTORNOS GASTROINTESTINALES
2406	TRATAMIENTO INSUFICIENCIA VENOSA CRONICA
2407	ANESTESICO COADYUVANTE EN ANESTESIA
2410	QUERATOLITICO_CORTICOSTEROIDE
2441	ANALGESICO_ANTIPIRETICO
2442	ANTIINFLAMATORIO_ANALGESICO
2443	COLORANTE TINCION
2463	PROTECTOR DERMICO_HIDRATANTE
2467	TRICOMONICIDA
2481	HIGIENE Y LAVADO DE LAS FOSAS NASALES
2484	ANTIFLATULENTO
2524	NORMOGLICEMIANTE
2602	ANTIVARICOSO_FLEBOTONICO
2622	ANALGESICO_ANTIPIRETICO_DESCONGESTIONANTE NASAL
2648	TRATAMIENTO TOPICO DE LA PEDICULOSIS Y ESCABIOSIS
2724	INMUNOMODULADOR
2746	ANTIBIOTICO INTESTINAL
2757	ANTISEPTICO_ANTIINFLAMATORIO OTICO
2801	LIMPIEZA PIEL SENSIBLE
2822	DERMATITIS ATOPICA
2855	ANTIVIRAL
2856	CONSERVA ORGANO TRANSPLANTE
2863	CUADRO ALERGIA
2865	CUADRO DIGESTIVO
2866	6_12 MESES
2867	0_6 MESES
2868	MAS DE 12 MESES
2869	ANTIRETROVIRAL
2871	HEMODIALISIS
2872	DIALISIS
2873	HUMECTANTE DERMICO
2881	SUERO TERAPIA
2907	ANTAGONISTA HEPARINA
2908	SABORIZANTE LECHE
2909	PROTECTOR PEZON
2910	SUEROTERAPIA
2959	PURPURA TROMBOCITOPENICA
2962	DIALISIS PERITONEAL
2963	IRRIGADOR UROLOGICO
3011	DETECCION PARTO PREMATURO
3012	DETECCION ROTURA MEMBRANA
3013	FIBROSIS QUISTICA
3064	REGENERADOR PIEL
3072	ANTIANGINOSO_ANTIHIPERTENSIVO
3086	ANTIHIPERTENSIVO
3108	DESINFECTANTE
3109	DILUYE MEDICAMENTOS
3113	REVERSA BLOQUEO VECURONIO
3161	TEST EMBARAZO
3163	ANESTESICO LOCAL
3166	FORMULA ENTERAL
3170	TRATAMIENTO CANCER TIROIDES
3178	PREMATURO CUADRO PULMONAR
3179	ANTIINFECCIOSO OFTALMICO
3180	PREMATURO ALTO CONT PROTEINA
3182	PREMATUROS
3183	0_12 MESES BEBE DELICADO
3227	ANTICUERPO MONOCLONAL
3286	TERAPIA GASEOSA
3289	MIDE CREATININ_KINASA
3294	ADHESIVO TISULAR
3295	MIDE COAGULACION
3308	TEST SCREENING
3312	TRATAMIENTO ULCERAS POR PRESION
3324	TROMBOLITICO
3327	NUTRICION ALERGIA LECHE
3348	SUPLEMENTO NUTRICIONAL_EVITA REGURGITACION
3361	INTOLERANCIA LACTOSA
3381	TRATAMIENTO DIABETES
3401	ANESTESICO LOCAL_ANTIARRITMICO
3421	SUPLEMENTO ZINC
3461	TALCO
3471	AROMATIZANTE
3473	LUBRICANTE
3481	FORMULA PARA PACIENTES CON FALLA RENAL
3483	ANALGESICO NARCOTICO
3490	ANSIOLITICO
3491	PROFILAXIS
3493	CIRUGIA PLASTICA_HIPERHIDROSIS
3494	VACUNA
3528	VARICES ESOFAGICAS
3530	ANTIANEMICO
9985	VACUNA COLERA
10003	VACUNA PAPILOMA HUMANO
10005	VACUNA HEPATITIS B
10007	VACUNA HEPATITIS A
10009	VACUNA ANTIDIFTERICA_ANTITETANICA_ANTITOSFERINA ACELULAR_HEPATITIS B_ ANTIPOLIOMIELITICA_ANTI HAEMOPHILUS INFLUENZAE TIPO B
10011	VACUNA ROTAVIRUS
10013	VACUNA HEPATITIS A Y B
10015	VACUNA VARICELA
10018	VACUNA SALMONELLA TYPHI
10020	VACUNA NEUMOCOCICA
10022	VACUNA MENINGOCOCO C
10024	VACUNA ANTIRRABICA
10026	VACUNA INFLUENZA
10031	VACUNA ANTITETANICA
10033	VACUNA MENINGOCOCO A Y C
10034	VACUNA HAEMOPHILUS INFLUENZAE B_DIFTERIA_TETANOS_PERTUSSIS
10037	VACUNA POLIOMIELITIS
10038	VACUNA HAEMOPHILUS INFLUENZAE B
10041	VACUNA ANTITETANICA_DIFTERICA_PERTUSICA
10042	PROTECTOR LABIAL
10044	VACUNA FIEBRE AMARRILLA
10322	HEMATOMA DESCONGESTION
10561	TRATAMIENTO ESCLEROSIS MULTIPLE
10603	ANTIMUCOSITIS ORAL
10701	DIGESTIVO_ANTIDISPEPSIA
10724	SUPLEMCARBOHIDRATOS
