AccionesTerapeuticas_Clave	AccionesTerapeuticas_Descripcion
178	Antipruriginoso
179	Antitusivo
180	Antivertiginoso
181	Cardiotónico
182	Descongestivo nasal
183	Antiseborreico
184	Queratolítico
185	Cicatrizante
186	Pediculicida
189	Edulcorante
190	Hipertensor
191	Hipotensor
192	Miorrelajante
193	Antiséptico bucofaríngeo
194	Antibiótico aminoglucósido
195	Trombolítico
197	Anticitomegalovirus
198	Vasodilatador periférico
200	Reconstituyente de la flora intestinal
202	Antibiótico de amplio espectro
204	Vasodilatador coronario
205	Antimicótico de amplio espectro
207	Antiartrítico
208	Antialérgico ocular
209	Antifebril
213	Antiinflamatorio no esteroide
214	Regulador intestinal
215	Normolipemiante
216	Germicida
217	Reconstituyente general
218	Bactericida
220	Vasoconstrictor
223	Hipouricémico
224	Ansiolítico
227	Broncoespasmolítico
229	Antifúngico
230	Aminoglucósido
231	Antiosteoporótico
233	Antihipercalcemiante
235	Mucolítico
236	Antiandrogénico
237	Antimicótico sistémico
238	Anestésico tópico
239	Vasculoprotector
242	Antibiótico oftálmico
243	Anticaspa
244	Estimulante del apetito
245	Orexígeno
246	Antineurítico
247	Antineoplásico
248	Antimicrobiano
249	Astringente
251	Energizante psicofísico
252	Antidepresivo tricíclico
253	Hepatoprotector
254	Anovulatorio
256	Oncológico
257	Antibacteriano urinario
258	Hipoalergénico
260	Quimioterápico
261	Bactericida de amplio espectro
264	Uterotónico
267	Corticosteroide tópico
268	Antiglaucomatoso
270	Descongestivo oftálmico
272	Digestivo enzimático
274	Corticosteroide nasal
275	Antiproliferante
276	Hipocolesterolemiante
278	Recalcificante
279	Flebotónico
280	Evacuante intestinal
286	Cerebrotónico
287	Androgenoterapia
288	Antijaquecoso
290	Antitrombótico
291	Calciterápico
293	Fluidificante
295	Antioxidante
297	Antiestrogénico
298	Revitalizante
300	Antiespasmódico urinario
303	Polivitamínico
305	Estrogenoterapia
306	Progestágeno
307	Antimicótico vaginal
308	Antineurálgico
309	Antibiótico tópico
311	Antídoto de organofosforados
312	Antiinflamatorio tópico
313	Antiinflamatorio oftálmico
314	Antiinflamatorio cutáneo
315	Analgésico ótico
319	Terapia menopáusica
321	Protector de la red capilar
322	Oxidante
324	Somatotrófico
325	Antiinfeccioso respiratorio
327	Antiséptico vaginal
328	Anestésico
333	Oxitócico
334	Antiisquémico
335	Antiedematoso
336	Antiflogístico
338	Inhibidor de la secreción gástrica
341	Antiséptico tópico
345	Antiqueratósico
347	Ciclopléjico
348	Fungicida
351	Giardicida
352	Laxante de contacto
353	Ferroterapia
356	Antiséptico intestinal
359	Antiinflamatorio intestinal
362	Antichagásico
363	Inductor del sueño
364	Antiespástico
365	Antimaníaco
369	Antiaerofágico
370	Terapia inhaladora
372	Estimulante del SNC
373	Regenerador neuroquímico
375	Antimicótico oral
376	Antimicótico tópico
378	Antiséptico bucal
382	Antialopécico
383	Antiséptico oftálmico
385	Multivitamínico
386	Secretolítico
387	Broncopulmonar
389	Vasodilatador
390	Normalizador de la kalemia
392	Antidiurético
393	Analgésico tópico
394	Analgésico local
396	Corticosteroide oral
397	Progestagenoterapia
399	Antiobsesivo
400	Regulador de la función motora digestiva
401	Analgésico opiáceo
402	Litolítico
403	Antibacteriano tópico
404	Antisárnico
405	Gonadotrofinoterapia
406	Suplemento nutricional
407	Cosmético
408	Polivitamínico con minerales
409	Electrolítico
410	Alcalinizante
414	Activador del metabolismo cerebral
415	Protector dérmico
419	Hipoglucemiante oral
420	Coronarioterápico
425	Hidratante dérmico
428	Terapia hormonal
431	Antialérgico oftálmico
433	Adelgazante
436	Inhibidor gonadotrópico
437	Nutrición enteral
438	Limpiador
439	Abrasivo
440	Acondicionador capilar
442	Filtro solar
444	Terapia prostática
445	Antirreumático no esteroide
446	Humectante
447	Desodorante
449	Humectante oftálmico
451	Neuroprotector
453	Hipokalémico
454	Antirreflujo
455	Antipirético no esteroide
456	Enzimático
457	Descongestivo tópico
458	Mucorregulador
459	Espasmolítico
460	Nutriente
461	Protector cutáneo
465	Relajante musculoesquelético
466	Vitamínico
467	Espermicida
468	Reposición del potasio
469	Estrógeno
471	Antiamebiano
472	Suplemento dietético
474	Analgésico no esteroide
475	Inhibidor de la secreción de prolactina
476	Regenerador epitelial
479	Analgésico narcótico
480	Regenerador tisular
481	Factor recombinante humano
482	Antipalúdico
483	Terapia tiroidea
484	Procinético
485	Inductor de la ovulación
486	Psicoenergético
487	Energizante
488	Hormonoterapia tiroidea
489	Citoprotector
491	Anticonceptivo oral
492	Preventivo de caries
493	Suplemento alimenticio
494	Inotrópico
496	Inhibidor H2
497	Antiinflamatorio ótico
499	Antihistamínico no sedante
501	Vasodilatador central
502	Antidiabético oral
503	Bloqueante alfaadrenérgico
504	Bloqueante betaadrenérgico
506	Inmunorregulador
510	Antinicotínico
511	Inmunización antitífica
512	Hemorreológico
513	Quelante
514	Antialérgico nasal
516	Fotosensibilizante
517	Litolítico urinario
518	Uroprotector
521	Lipolítico
522	Complemento nutricional
523	Psicorrelajante
524	Neuroactivador
525	Antipsicótico
526	Regulador del metabolismo óseo
527	Inmunoterapia hepatitis B
528	Hematopoyético
529	Bactericida urinario
532	Fotoenvejecimiento
533	Inmunoterapia
534	Inmunización antineumocócica
535	Inmunización antitetánica
536	Inmunización antigripal
537	Antibacteriano oftálmico
540	Antibacteriano de amplio espectro
541	Vasopresor
542	Fluidificante bronquial
544	Antibiótico vaginal
546	Antimiasténico
547	Hidratante
548	Exfoliativo
549	Protector solar
550	Tranquilizante menor
552	Repelente de insectos
553	Analgésico urinario
554	Antagonista H1
556	Antidistímico
557	Suplemento mineral
558	Calmante de la dentición
559	Tratamiento de la obesidad
560	Terapia de reemplazo hormonal
562	Antiestrogénico no esteroide
563	Reactivador metabólico cerebral
564	Eritropoyético
565	Lubricante de catéteres
566	Medio de contraste radiológico
567	Inhibidor de la MAO
568	Humectante dérmico
569	Inhibidor de la conversión de testosterona
571	Dermatoprotector
572	Nutrición parenteral
573	Desensibilizante dental
574	Inhibidor de la bomba de protones
576	Análogo LH-RH
580	Hipnótico benzodiazepínico
582	Antihiperuricemiante
583	Neuroléptico de amplio espectro
585	Expansor plasmático
586	Estimulante de la función sexual
587	Reductor del colesterol sanguíneo
590	Regulador de la función digestiva
591	Bloqueador neuromuscular
593	Terapéutica coronaria
594	Mioespasmolítico
595	Hipercolesterolémico
596	Tromboprofilaxis
597	Inmunización activa
598	Aminoacidoterapia parenteral
599	Antiséptico ocular
600	Antibacteriano ocular
601	Lubricante ocular
602	Antiinflamatorio ocular
604	Anticoagulante oral
605	Reductor de grasas
606	Antirretroviral
609	Hipnótico no benzodiazepínico
610	Anticinetósico
611	Curarizante
612	Antidismenorreico
613	Antilitiásico
614	Antioxidante celular
616	Antibiótico cefalosporínico
617	Inhibidor de prolactina
619	Inmunización antirrábica
622	Contraceptivo hormonal
623	Tónico capilar
625	Antiviral ocular
626	Antidisqueratósico
629	Sustitutivo enzimopancreático
630	Antibiótico macrólido
631	Multivitamínico con minerales
632	Sustituto plasmático
633	Suplemento de magnesio
634	Terapia progestínica
635	Tonificante muscular
637	Antioxidante natural
638	Tranquilizante natural
639	Terapia anaerobicida
640	Anestésico ótico
642	Protector labial
644	Tratamiento de la artritis
645	Antitabáquico
648	Electrolitoterapia
650	Regulador del tejido conjuntivo
651	Laxante suave
652	Suplemento alimentario
653	Tratamiento de la osteoporosis
654	Suplemento de calcio
656	Antiprostático
657	Vasoprotector
659	Antioxidante biológico
662	Antibiótico respiratorio
663	Anticancerígeno vesical
664	Inhibidor de la aromatasa
666	Antiglaucomatoso selectivo
668	Antiurolitiásico
669	Alcalinizante urinario
670	Terapia de rehidratación oral
672	Inhibidor de la angiotensina II
674	Bloqueador de la angiotensina II
675	Inmunoterapia hepatitis A
677	Fibrinolítico tópico
678	Bronceador
680	Estrogenoterapia tópica
684	Anaerobicida
685	Reconstituyente
686	Desinfectante tópico
688	Terapéutica del Alzheimer
690	Antiinfeccioso tópico
691	Analgésico dental
692	Contraceptivo oral
694	Inhibidor de la resorción ósea
695	Dermatocosmético
696	Antibacteriano ótico
697	Refrescante del aliento
698	Hiperglucemiante
699	Antihemorroidal
700	Suplemento dietario
701	Preventivo de osteoporosis posmenopáusica
704	Bloqueador solar
705	Regulador gastrointestinal
706	Medicamento fitoterapéutico
707	Inmunización pasiva
709	Tratamiento de la disfunción eréctil
710	Despigmentante
711	Antiirritante
712	Antiviral contra el HIV
714	Antibiótico glicopéptido
715	Fotoprotector
716	Antiflogístico no esteroide
717	Antipsicótico atípico
719	Fórmula para lactantes
720	Inhibidor no esteroide de la aromatasa
721	Analgésico percutáneo
723	Bloqueador selectivo de la bomba de protones
725	Antihipertensivo ocular
726	Tratamiento de la hiperhidrosis severa
727	Tratamiento de la hiperhidrosis leve
728	Dieta elemental
730	Fórmula infantil
731	Tratamiento de la acromegalia
732	Test de diagnóstico
733	Antagonista benzodiazepínico
734	Antagonista de la heparina
735	Preventivo de trastornos cardiovasculares
736	Terapia de calcio y vitamina D
737	Antiviral específico para hepatitis C
738	Coadyuvante en trat. de afecc. respiratorias
741	Antiinflamatorio local
742	Hipnoinductor de rápida acción
743	Halitosis
746	Calcioterapia
747	Corticoterapia
750	Antiverrugoso
751	Estimulante del sistema nervioso central
753	Glucocorticoide tópico
754	Laxante osmótico
755	Preventivo del síndrome climatérico
756	Tratamiento de osteoporosis posmenopáusica
757	Antirrosácea
758	Vasodilatador cerebral y periférico
759	Trat. de estados carenciales de ácido fólico
760	Estrogenoterapia percutánea
761	Antagonista específico de la angiotensina II
763	Refrescante
768	Artritis reumatoidea
769	Tratamiento de la insuficiencia cardíaca
770	Procolinérgico
771	Anticonceptivo oral combinado
772	Deshabituante tabáquico
773	Estrogenoterapia secuencial combinada
774	Micronutriente
775	Coadyuvante de la supresión del tabaquismo
777	Estabilizador del ánimo
780	Inhibidor de la resorción osteoclástica
783	Relipidizante
785	Antihiperlipidémico
792	Corticoterapia inhalatoria
793	Prevención y tratamiento de la osteoporosis
798	Estimulante inmunológico
804	Betabloqueador B1 cardio-selectivo
806	Antipánico
807	Cardioprotector
808	Tranquilizante mayor
809	Agente antipánico
810	Antibiótico fluoroquinolónico
811	Inhibidor de la secreción ácida
812	Antihiperglucemiante
813	Estimulante de la eritropoyesis
814	Estimulante de colonias de granulocitos
815	Endoceptivo
816	Suplemento vitamínico
817	Inhibidor del factor de necrosis tumoral
818	Antiinfeccioso vaginal
819	Sustituto de la sal
820	Medio de contraste no iónico
821	Venotónico
822	Coadyuvante en el tratamiento del acné
823	Hipnoinductor
824	Antiinflamatorio tópico esteroidal
825	Glucocorticoide
827	Terapia del síndrome menstrual y premenstrual
829	Colelitolítico
830	Terapéutica de la incontinencia urinaria
832	Sustituto del jabón
833	Suplemento de calcio y vitamina D
834	Inhibidor selectivo de la COX-2
835	Coadyuvante en la reducción del colesterol
838	Inhibidor de la anhidrasa carbónica
839	Musculotrópico
840	Limpieza nasal
842	Antibiótico bactericida de amplio espectro
843	Inductor del sueño no benzodiazepínico
844	Antialérgico potenciado con corticoide
845	Corticoterapia sistémica
846	Tratamiento de la osteoartritis
848	Síndrome y dolor premenstrual
849	Preventivo hipertrofia prostática benigna
851	Antiglaucomatoso tópico
853	Regulador en trastornos del comportamiento
854	Diurético de asa
855	Diurético ahorrador de potasio
856	Lubricante vaginal
857	Inmunoestimulante respiratorio
858	Lágrima artificial
859	Antiinfeccioso de amplio espectro
860	Preventivo y trat. del sindrome climatérico
861	Profilaxis y trat. de hipocalcemias crónicas
862	Limpiador cutáneo
863	Suplemento nutricional para diabéticos
865	Fluorterapia tópica
868	Tratamiento de la dermatitis atópica
870	Síndrome intestino irritable
871	Corticoterapia tópica
872	Antineoplásico tópico
883	Terapia de oligoelementos
886	Antagonista GnRH
887	Tratamiento de la retinitis por CMV
888	Hipermotilidad intestinal
891	Leche para crecimiento
892	Alimento infantil
894	Alimento nutricional
895	Hidratante corporal
897	Antimicótico oral tópico
898	Analgésico transdérmico
899	Neuroléptico de depósito
902	Inhib. selec. de la recaptación de serotonina
903	Complemento energético
904	Nutrición enteral para diabéticos
906	Rehidratante oral
907	Nutrición enteral para pacientes en diálisis
908	Alimento para lactantes de bajo peso
909	Fórmula para prematuros
910	Nutrición enteral p/pacientes c/insufic.renal
911	Tratamiento en déficit atencional hiperactivo
912	Inmunización antimeningocócica
915	Trat. de la hipertrofia prostática benigna
916	Analgésico no narcótico
919	Anticonceptivo de emergencia
921	Protector mucosa gástrica en úlcera péptica
922	Cuidado integral de la boca, dientes y encías
924	Coadyuvante en dolores musculares, sabañones
925	Quimioprotector
926	Tratamiento para el lumbago y la ciática
928	Inhib.selectivo factor crec.epidérmico (EGFR)
930	Descongestivo sistémico
932	Anticonceptivo hormonal de uso transdérmico
933	Higiene íntima femenina
934	Bloqueador de carbohidratos
935	Antiflatulento natural
936	Antiespasmódico potenciado
938	Hormona de crecimiento
939	Sepsis severa
940	Agente para formación de hueso
941	Higiene de la piel
942	Higiene bucal
943	Tratamiento de la rosácea
945	Lubricante nasal
946	Antibiótico betalactámico de amplio espectro
948	Analgésico neuroléptico
955	Inmunosupresor selectivo
956	Corticoterapia oral
957	Corticoterapia dérmica
958	Enema infantil
959	Laxante salino
960	Purgante
964	Protector de la mucosa gástrica
965	Ansiolítico selectivo
966	Endulzante libre de calorías
967	Antidepresivo serotoninérgico selectivo
968	Ansiolítico benzodiazepínico
969	Suplemento de calcio y vitamina D3
970	Reductor del colesterol
971	Adaptógeno
973	Inductor del sueño reparador
975	Fórmula de continuación
979	Vitaminoterapia C
980	Endulzante
981	Multivitamínico con coenzima Q10
982	Multivitamínico infantil
983	Tricomonicida de amplio espectro
984	Terapia de reemplazo tiroideo
985	Progestinoterapia
986	Tratamiento de la hiperhidrosis
987	Antioxidante ocular
988	Cintas reactivas para control de glicemia
989	Lancetero para usar c/lancetas Microlet
990	Lancetas para obtención de sangre capilar
991	Autocontrol de glicemia
992	Lancetero profesional p/uso lanc. Fingerstix
993	Lancetas descartables p/obtener sangre capil
994	Multimineral
995	Anticonceptivo para ciclos trimestrales
996	Polivitamínico con minerales para embarazadas
997	Polivitamínico con minerales y ginseng
998	Antibiótico tópico oftálmico
1000	Agente de diagnóstico
1001	Suplemento biológico temporal
1003	Antimicrobiano potenciado
1004	Tratamiento de la artritis reumatoídea
1006	Anticolesterolémico
1007	Gastroprocinético
1009	Protector y regenerador
1010	Terapia diálisis
1011	Vitaminoterapia K
1012	Antiulceroso gastroduodenal
1013	Inmunización antisarampionosa
1014	Inmunización antirrubeólica
1015	Promotor de vigilia
1016	Antineoplásico para cáncer colo-rectal
1017	Tratamiento de las estrías
1019	Nutriterapia
1020	Trat. para salud y belleza del cabello y uñas
1021	Adhesivo para prótesis dentales
1023	Hipoglucemiante oral combinado p/diabetes II
1024	Alfa-bloqueador específico
1025	Vacuna oral
1026	Ultraprotección para pieles sensibles
1027	Regulador de la pigmentación de la piel
1029	Prevención de envejecimiento cutáneo hormonal
1030	Sequedad vaginal post menopausia, post parto
1031	Tratamiento de la incontinencia urinaria
1032	Higiene nasal
1033	Protector de pieles sometidas a trat.antiacné
1034	Higiene de pieles sometidas a trat. antiacné
1035	Modificador de la respuesta inmune
1036	Antiviral tópico
1037	Inhibidor de la multiquinasa
1039	Anticancerígeno
1040	Inhibidor selectivo factor crecim. epidermal
1041	Antirretroviral para infección por HIV-1
1043	Edulcorante no nutritivo
1044	Limpiador piel grasa
1047	Tratamiento antiarrugas
1048	Antihipertensivo arterial
1049	Hidratante natural de la piel
1050	Antihipomagnesemia
1051	Antiviral selectivo contra el virus influenza
1052	Anticonceptivo durante la lactancia
1053	Vasodilatador arterial pulmonar
1055	Polivitamínico con minerales y aminoácidos
1057	Psicoestimulante no anfetamínico
1058	Reparador cutáneo
1059	Antihipertensivo pulmonar
1060	Aminoacidoterapia
1064	Terapéutica de la alopecia
1067	Contraceptivo
1069	Hiperplásia prostática benigna
1070	Refrescante para pies
1071	Antibacteriano fluoroquinolónico
1072	Microexfoliante
1073	Seborregulador
1074	Antiinflamatorio esteroide
1075	Inmunoterapia de infecciones urinarias
1076	Antimicrobiano oftálmico
1077	Suplemento alimentario para caída del cabello
1079	Terapia fotodinámica
1080	Vacuna contra el virus del Papiloma humano
1081	Solución limpiadora no irritante
1083	Pasta dental antiplaca
1084	Antisarro
1085	Estimulante
1086	Emulsionante de serosidades del párpado
1087	Preventivo de gingivitis
1088	Limpiador dental
1089	Absorbente de húmedad
1090	Limpiador para prótesis dentales
1094	Antiinflamatorio glucocorticoide tópico
1095	Terapia del acné
1096	Angioprotector
1100	Antibioterapia tópica
1101	Analgésico neuropático
1102	Agente antipsicótico
1103	Tratamiento de la HPB
1104	Tratamiento capilar seboequilibrante
1105	Tratamiento capilar anticaspa
1107	Tratamiento de la diabetes mellitus
1108	Suplemento de potasio
1109	Higiene dermatológica del bebe
1110	Hidratante facial para piel clara y sensible
1111	Cuidado dermatológico perioral piel del bebe
1112	Cuidado dermatológico de la dermis glútea
1113	Tratamiento de la obesidad y el sobrepeso
1114	Antialérgico de emergencia
1115	Suplemento alimentario con carotenóides
1116	Dolor moderado a severo, agudo y crónico
1118	Triterapia para la erradicación del H. pylori
1119	Revitalizante capilar
1120	Sistema de monitoreo de glucosa en la sangre
1121	Hidro-humectación p/pieles secas y ultrasecas
1122	Vacuna contra HPV tipos 16 y 18
1123	Inhib. recaptación noradrenalina y serotonina
1124	Antidepresivo dual
1126	Fórmula láctea de inicio p/recién nacidos
1127	Fórmula completa a base de proteínas p/bebés
1128	Fórmula infantil completa de cont. p/bebés
1129	Fórmula p/bebés con intolerancia a la lactosa
1130	Fórmula infantil desde el nacimiento-6 meses
1131	Antirretroviral p/tratamiento del VIH-SIDA
1132	Tratamiento para el roncador social severo
1133	Inhibidor de la contractilidad uterina
1135	Alimento
1136	Corticosteroide para rinitis crónica
1137	Inhibidor de leukotrienios
1138	Terapia de sustitución androgénica
1139	Suplementación fase lútea
1140	Antianémico polivalente
1141	Calmante
1142	Analgésico doble acción
1145	Calmante para pieles intolerantes
1146	Limpieza para pieles intolerantes
1148	Aerocámara inhaladora
1149	Probiótico
1150	Relipidizante de rostro y cuello
1151	Reafirmante corporal
1152	Preventivo de estrías
1153	Cuidado de pezones agrietados
1154	Ultraprotección para la piel del bebe
1155	Tratamiento y prevención de las pieles secas
1156	Estimulante del sistema inmune
1157	Nutritiva
1158	Tratamiento p/pieles sensibles e intolerantes
1159	Jabón íntimo que conserva el ph fisiológico
1160	Antagonista opioide
1162	Inhibidor de la acetilcolinesterasa
1163	Betabloqueante cardioselectivo
1164	Agente estimulador de la eritropoyesis (AEE)
1168	Exfoliante de rostro y cuerpo
1169	Inhibidor de colinesterasa c/select. cerebral
1170	Limpieza ocular
1171	Progestagenoterapia tópica
1173	Broncosecretolítico
1174	Antiséptico para aparatos de ortodoncia
1175	Neurorregenerador
1176	Suplemento nutricional sistema cardiovascular
1177	Quimiopreventivo
1178	Tratamiento de lesiones de la cavidad bucofar
1179	Tratamiento de la esquizofrenia
1180	Suplemento de hierro
1181	Suero corrector antienvejecimiento
1182	Lifting tópico antienvejecimiento
1183	Tratamiento para cabellos sensibles
1184	Tabletas reveladoras de placa bacteriana
1185	Crema dental
1186	Tela adhesiva hipoalergénica
1188	Sal dietética
1189	Determinación cuantitativa de glicemia
1190	Sistema de punción
1192	Tratamiento de la fibrosis quística
1193	Generador natural de saliva
1197	Agonista cardioselectivo recept. B1 adrenérg.
1198	Estimulante de producción biliar
1199	Trat. fracturas óseas, lesiones de ligamentos
1200	Tratamiento para caída capilar
1201	Tratamiento de la urgencia miccional
1202	Pasta dental para cuidado diario
1203	Tratamiento y prevención de la gingivitis
1204	Blanqueador dental
1205	Higiene bucal p/portadores aparatos ortodonc.
1206	Progestoterapia
1207	Tratamiento intolerancia a la lactosa
1208	Control de glucosa
1209	Control de cetonas en orina
1210	Tratamiento de hipertemia maligna
1211	Cuidado dermatológico de la piel atópica
1212	Hidro-humectación potenciada, efecto anti-age
1213	Limpieza profunda
1214	Hipoalergénica y no comedogénica
1215	Antibioterapia asociada
1216	Calma, controla y acelera la desap. comedones
1217	Antagonista antiestrogénico
1220	Alivio natural al dolor de cabeza
1222	Coadyuvante de la inflamación gingival
1223	Profilaxis de la caries dental
1224	Antitumoral
1225	Pasta dental preventiva de caries
1226	Humectante vaginal
1227	Tripanocida
1229	Mascarilla respiratoria
1230	Bloqueador selectivo de la secreción ácida
1231	Antagonista dopaminérgico
1232	Antiestrías
1233	Preventivo y reductor de estrías y cicatrices
1234	Inhib. recaptación serotonina y norepinefrina
1235	Trat. de la insuficiencia vascular cerebral
1236	Fórmula 1 hipoalergénica
1237	Antirretroviral para uso sistémico
1238	Degeneración macular
1244	Antiarrugas
1245	Cuidado dermatológico de la piel del bebe
1246	Rubefaciente
1247	Calmante de aftas
1248	Antigripal secuencial
1249	Tratamiento del resfrío común
1255	Tratamiento de la osteoporosis posmenopásica
1256	Agonista de la dopamina
1257	Antihiperprolactinémico
1258	Agente inmunosupresor
1259	Inhibidor de interleucina
1261	Solución oral de limpieza intestinal
1262	Laxante intestinal
1263	Anticonceptivo hormonal sistémico
1264	Dispositivo intrauterino
1265	Reductor
1266	Fórmula láctea infantil
1267	Inhibidor de la ornitina decarboxilasa
1268	Anticonceptivo hormonal oral
1269	Terapia hormonal de reemplazo
1270	Estrógeno-progestagenoterapia
1271	Terapia de reemplazo hormonal secuencial
1272	Terapia de reemplazo hormonal continua
1273	Solución para transporte de órganos
1274	Modulador del glutamato
1275	Anticonceptivo hormonal monofásico
1276	Normalizador de la flora intestinal
1277	Higiene corporal
1278	Reestructurante
1279	Remineralizante
1280	Protector vascular p/pieles sensibles
1281	Suero activo p/trat. diario de pieles grasas
1282	Reanimador
1283	Tratamiento trastorno ansiedad generalizada
1284	Síndrome del colon irritable
1285	Limpieza p/pieles grasas, mixtas y c/imperfec
1286	Bloqueador de los canales de calcio
1287	Monoterapia
1288	Antidiabético oral combinado
1289	Higiene íntima
1290	Implante reabsorbible p/infecc. quirúrgicas
1293	Antagonista de la angiotensina II
1295	Estimulante de la regeneración capilar
1296	Crema para coceduras
1298	Lubricante íntimo
1299	Estimulante betaadrenérgico
1302	Tratamiento de la endometriosis
1303	Decolorante cosmético
1304	Hipomagnesemia
1305	Jabón cosmético de limpieza
1307	Espesante de alimentos
1310	Módulo de glutamina de grado farmacéutico
1311	Módulo de glutamina y Lactobacillus reuteri
1312	Fórmula semielemental completa
1314	Limpiador corporal
1315	Dermocosmético
1316	Betabloqueante
1317	Desmaquillante
1318	Hidratante para cabellos normales o secos
1319	Limpieza e hidratación capilar
1321	Dispositivo médico
1322	Tratamiento de insomnio temporal o crónico
1323	Ansiolítico no benzodiazepínico
1324	Factor de crecimiento hematopoyético
1325	Suplemento de hidratos de carbono
1326	Complejo revital. y nutritivo para el cabello
1327	Trat. preventivo para la caída del cabello
1328	Tratamiento del acné nódulo quístico grave
1329	Higiene y cuidado para el paciente psoriásico
1330	Inhibidor de proteína-cinasas
1331	Suplemento alimenticio para la memoria
1332	Aumento de la inmunidad
1333	Emulgente
1334	Suplemento alimenticio p/embarazo y lactancia
1335	Prevención de estrías del embarazo
1336	Tratamiento de hemorroides
1337	Púrpura trombocitopénica inmune
1338	Tratamiento del síndrome premenstrual
1339	Reconstituyente de la microbiota vaginal
1340	Descongestivo de vías respiratorias
1341	Anti-age
1342	Tónico matizante
1343	Protector óseo
1344	Vacuna pentavalente para rotavirus
1345	Tratamiento de la esclerosis múltiple
1346	Inhibidor del receptor de glutamato
1347	Higiene de párpados y pestañas
1348	Trat. de episodios depresión mayor en adultos
1349	Antiartrósico sintomático de acción lenta
1350	Tratamiento de la depresión
1351	Regenerador dérmico
1352	Tratamiento asma bronquial crónica
1353	Tratamiento de piojos y liendres
