COD_CLASIFICACION	CLASIFICACION	CODIGO	PRODUCTO	RECETA_RETENIDA	COD_PRINCIPIO_ACTIVO	PRINCIPIO_ACTIVO	COD_CONCENTRACION	CONCENTRACION	COD_ACC_FARMACOLOGICA	ACCION_FARMACOLOGICA	COD_UNIDAD	UNIDAD_MEDIDA
261	MEDICAMENTOS	508.758	TOBREX GOTAS OFTALM. 5ML		3181	TOBRAMICINA	10.555	3 MG_0.1 MG X ML	3.179	ANTIINFECCIOSO OFTALMICO	FR	FRASCO
261	MEDICAMENTOS	508.761	TOBRADEX SOL.OFTALMICA 5 ML.		3177	DEXAMETASONA_TOBRAMICINA	8.105	3 MG_ 1 MG X ML	3.179	ANTIINFECCIOSO OFTALMICO	FR	FRASCO
261	MEDICAMENTOS	508.762	TOBRADEX UNG.OFT. 3.5 GR.		3177	DEXAMETASONA_TOBRAMICINA	10.104	3 MG_1 MG X GR	3.179	ANTIINFECCIOSO OFTALMICO	TU	TUBO
261	MEDICAMENTOS	508.808	TOL12 5000 (3) X AMP		373	VITAMINA B1 _ B6 _ B12	10.108	5000 UI_20 MG_5 MG_10 MG_5 MCG_150 MG_500 UI_11,1 MG_	88	ANTINEURALGICO _ ANTINEURITICO.	AM	AMPOLLA
261	MEDICAMENTOS	508.809	TOL 12 X 10000 X AMP		373	VITAMINA B1 _ B6 _ B12	10.106	200 MG_100 MG_10000 MCG	186	VITAMINOTERAPIA	AM	AMPOLLA
261	MEDICAMENTOS	508.810	TOL_12  FORTE CAPSULAS X20		373	VITAMINA B1 _ B6 _ B12	10.107	200 MG_200 MG_1000 MCG	186	VITAMINOTERAPIA	CJ	CAJA
261	MEDICAMENTOS	508.818	TOL TOTAL X 24 COMPR.		543	VITAMINA A _ B1 _ B2 _ B6 _ B _ C _ D3 _ E _ H_ B5	10.108	5000 UI_20 MG_5 MG_10 MG_5 MCG_150 MG_500 UI_11,1 MG_	186	VITAMINOTERAPIA	CJ	CAJA
261	MEDICAMENTOS	508.866	TONARIL 2 MG.X 100 TABLETAS		533	TRIHEXIFENIDILO	8.119	2 MG X COMP	392	ANTIPARKINSONIANO	CJ	CAJA
261	MEDICAMENTOS	508.944	TORECAN X AMPOLLAS		1027	TIETILPERAZINA	10.544	6,5 MG X AMP	48	ANTIEMETICO _ ANTINAUSEOSO	AM	AMPOLLA
261	MEDICAMENTOS	508.974	TRACRIUM 25 MG X 2,5 ML(FRIO)		1106	BESILATO DE ATRANCURIO	7.551	10 MG X 1 ML	1.110	CURARIZANTE	AM	AMPOLLA
261	MEDICAMENTOS	508.985	TRAMAL GOTAS 100 MG X 10 ML		531	TRAMADOL CLORHIDRATO 	9.425	100 MG X AMP	3.483	ANALGESICO NARCOTICO	FR	FRASCO
261	MEDICAMENTOS	509.058	TRICEF 400 MG X 5 CAPSULAS		1429	CEFIXIMA	8.527	400 MG X CAPS	24	ANTIBIOTICO	CJ	CAJA
261	MEDICAMENTOS	509.070	TRICOR (ADENOSINA) (6)6 MG X AMP.		1246	ADENOSINA	10.114	6 MG X AMP.	882	ANTIARRITMICO	AM	AMPOLLA
261	MEDICAMENTOS	509.093	TRIO_VAL X 10 COMP.		311	PARACETAMOL _ CLORFENAMINA _ PSEUDOEFEDRINA	8.496	500MG_4MG_60MG X COMP	2.622	ANALGESICO_ANTIPIRETICO_DESCONGESTIONANTE NASAL	CJ	CAJA
261	MEDICAMENTOS	509.177	ULTRAPROCT X 6 SUPOSITORIOS		201	FLUOCORTOLONA _ CINOCAINA	10.552	0.61 MG_0.63MG X SUP	62	ANTIHEMORROIDAL	CJ	CAJA
261	MEDICAMENTOS	509.317	VANCOMICINA 500 MG		3209	VANCOMICINA	8.660	500 MG X AMP	24	ANTIBIOTICO	AM	AMPOLLA
261	MEDICAMENTOS	509.340	VASELINA SOLIDA		3443	VASELINA	8.198	100%	2.873	HUMECTANTE DERMICO	KG	KILO
261	MEDICAMENTOS	509.352	VASELINA  X AMPOLLA (5ML)		3443	VASELINA	8.656	5 ML X AMP	166	PROTECTOR DERMICO	AM	AMPOLLA
261	MEDICAMENTOS	509.365	VASELINA SOLIDA ESTERIL 15GR		3443	VASELINA	8.137	15 GR	3.473	LUBRICANTE	TU	TUBO
261	MEDICAMENTOS	509.367	VASELINA EMULSIONADA 120 ML.		3443	VASELINA	9.095	120 ML	148	LAXANTE	FR	FRASCO
261	MEDICAMENTOS	509.369	VASELINA MEDICINAL(56) 125ML FN		2649	VASELINA LIQUIDA	10.542	125 ML	148	LAXANTE	FR	FRASCO
261	MEDICAMENTOS	509.392	VATANAL UNGUENTO 20 G		1981	OXIPOLITOXIDODECANO_CLOROCARVACOL_ACEITE DE HIGADO DE BACALAO	8.011	0.22 GR_0.02 GR_0.7 MG X SUP	62	ANTIHEMORROIDAL	TU	TUBO
261	MEDICAMENTOS	509.458	VIADIL COMPTO.GOTAS 15 ML		1971	PARGEVERINA CLORHIDRATO_METAMIZOL MEGNESICO	8.160	5 MG_ 300 MG X ML	54	ANTIESPASMODICO _ ANTICOLINERGICO	FR	FRASCO
261	MEDICAMENTOS	509.468	VIADIL AMPOLLAS		313	PARGEVERINA CLORHIDRATO	9.465	5 MG X  AMP	52	ANTIESPASMODICO	AM	AMPOLLA
261	MEDICAMENTOS	509.489	VIBRAMICINA 100 MG. X 10 COMP.		179	DOXICICLINA HICLATO 	8.115	100  MG X COMP	26	ANTIBIOTICO _ ANTIINFECCIOSO	CJ	CAJA
261	MEDICAMENTOS	509.589	VITABE 100 MG X 20 COMP.		321	PIRIDOXINA CLORHIDRATO 	7.504	100 MG X COMP	186	VITAMINOTERAPIA	CJ	CAJA
261	MEDICAMENTOS	509.619	VOLTAREN SPRAY		3224	DICLOFENACO DIETILAMINA	10.144	1.16 GR X 100 GR	78	ANTIINFLAMATORIO NO ESTEROIDAL	FR	FRASCO
261	MEDICAMENTOS	509.624	LERTUS 12,5 MG(5) X 1 SUP.		169	DICLOFENACO SODICO	8.062	12,5 MG X SUP	78	ANTIINFLAMATORIO NO ESTEROIDAL	SU	SUPOSITORIO
261	MEDICAMENTOS	509.632	LERTUS 75 MG X AMP.		169	DICLOFENACO SODICO	10.146	75 MG X AMP.	78	ANTIINFLAMATORIO NO ESTEROIDAL	AM	AMPOLLA
261	MEDICAMENTOS	509.643	PANADOL  JBE 160MG/5ML PARACETAMOL(60 ML.)		481	PARACETAMOL	10.147	160MG X 5ML	2.441	ANALGESICO_ANTIPIRETICO	FR	FRASCO
261	MEDICAMENTOS	509.720	YONKA 780 MG X 40 COMPR.		323	POTASIO  GLUCONATO	10.148	780 MG X COMPR.	158	NORMALIZADOR DE LA KALEMIA	CJ	CAJA
261	MEDICAMENTOS	509.743	ZOVIRAX CREMA 5 GR.		902	ACICLOVIR	7.781	5%	106	ANTIVIRAL	TU	TUBO
261	MEDICAMENTOS	509.744	ZOVIRAX UNGTO.OFTALMICO 4.5G		902	ACICLOVIR	9.960	3%	2.855	ANTIVIRAL	TU	TUBO
261	MEDICAMENTOS	509.749	ZOLBEN X 8 TABLETAS(16)		481	PARACETAMOL	8.482	500 MG X  COMP	2.441	ANALGESICO_ANTIPIRETICO	SO	SOBRE
261	MEDICAMENTOS	509.797	XYLOCAINA 2% VISC.50 ML		1790	LIDOCAINA CLORHIDRATO	8.118	2 %	1.124	ANESTESICO TOPICO	FR	FRASCO
261	MEDICAMENTOS	509.980	ZOVIRAX 250 MG.X AMP I.V.		902	ACICLOVIR	10.223	250 MG X AMP	106	ANTIVIRAL	AM	AMPOLLA
261	MEDICAMENTOS	500.766	APROVEL 150 MG SOBRE X 14 COMP		2164	IBESARTAN	8.915	150 MG  X COMP	3.086	ANTIHIPERTENSIVO	SO	SOBRE
261	MEDICAMENTOS	504.175	GEMITIN UNGTO DERMICO 5% 10		125	CLORANFENICOL	10.545	5%	24	ANTIBIOTICO	TU	TUBO
261	MEDICAMENTOS	504.210	GENTAMICINA 80 MG X 2 ML		1120	GENTAMICINA	7.711	80 MG X 2 ML	24	ANTIBIOTICO	AM	AMPOLLA
261	MEDICAMENTOS	504.211	GENTAMICINA 20 MG X 1ML AMP		1120	GENTAMICINA	9.431	20 MG X  AMP	24	ANTIBIOTICO	AM	AMPOLLA
261	MEDICAMENTOS	504.340	GLICERINA SUPOSITORIO 1 GRAMO		209	GLICERINA	10.160	1 GR X SUP	148	LAXANTE	UN	UNIDAD
261	MEDICAMENTOS	504.376	GLUCONATO DE CALCIO 10% X 10		323	POTASIO  GLUCONATO	8.027	10 %	114	CALCIOTERAPIA	AM	AMPOLLA
261	MEDICAMENTOS	504.444	GUANETIDINA AMP 2 ML		3486	GUANETIDINA	9.782	2 ML X AMP	3.086	ANTIHIPERTENSIVO	AM	AMPOLLA
261	MEDICAMENTOS	504.476	HALDOL GTAS (2MG/ML) 15 ML		213	HALOPERIDOL	9.918	2 MG X ML	94	ANTIPSICOTICO _ NEUROLEPTICO	FR	FRASCO
261	MEDICAMENTOS	504.489	TEST UREASA X DETERM(50).(FRIO)		3309	TEST KIT	10.581	1 TEST	3.308	TEST SCREENING	UN	UNIDAD
261	MEDICAMENTOS	504.506	Z_HIALIN (OPHTALINE) HIALURONATO 1,5%		1678	HIALURONATO_CLORURO DE SODIO	10.184	1.5 %	1.282	VISCOELASTICO	AM	AMPOLLA
261	MEDICAMENTOS	504.528	HIDROCLOROTIAZIDA 50 MG X 20 COMP		1683	HIDROCLOROTIAZIDA	7.529	50 MG X COMP	46	ANTIDIURETICO	SO	SOBRE
261	MEDICAMENTOS	504.576	HIPOGLOS POMADA 35 GR		2561	ERGOCALCIFEROL_RETINOL_OXIDO DE ZINC	7.531	35 GR	170	RECONSTITUYENTE DERMICO	TU	TUBO
261	MEDICAMENTOS	504.588	HIPECOR 160 MG X 20 COMP.		3288	SOTALOL	7.532	160 MG X COMP	882	ANTIARRITMICO	CJ	CAJA
261	MEDICAMENTOS	504.690	IDON GOTAS 10MG/ML (20 ML)		177	DOMPERIDONA 	7.534	I10MG X ML	48	ANTIEMETICO _ ANTINAUSEOSO	FR	FRASCO
261	MEDICAMENTOS	504.691	IDON SUSP.5MG/5ML (100 ML)		177	DOMPERIDONA 	7.535	5MG X 5ML	48	ANTIEMETICO _ ANTINAUSEOSO	FR	FRASCO
261	MEDICAMENTOS	504.695	IDON 30 MG (5) PED X 1 SUPOS		177	DOMPERIDONA 	7.536	30 MG X SUPOS	48	ANTIEMETICO _ ANTINAUSEOSO	SU	SUPOSITORIO
261	MEDICAMENTOS	504.716	IMIGRAN 100MG X 2 COMP.		2583	SUMATRIPTAN	7.538	100MG X COMP	80	ANTIJAQUECOSO _ ANTIMIGRAÑOSO	CJ	CAJA
261	MEDICAMENTOS	504.722	IMIPRAMINA 25 MG.(40) X COMP DU		229	IMIPRAMINA	7.539	25 MG X COMP	42	ANTIDEPRESIVO	TB	TABLETA
261	MEDICAMENTOS	504.729	IMURAN 50 MG X 100 COMP.		1207	AZATIOPINA	7.540	50 MG X COMP.	146	INMUNOSUPRESOR	CJ	CAJA
261	MEDICAMENTOS	504.864	INSULINA ACTRAPID 100 UI(FRIO)		1211	INSULINA HUMANA ISOFANICA	7.542	100 UI	130	HIPOGLICEMIANTE	AM	AMPOLLA
261	MEDICAMENTOS	504.908	ISOMIL SIMILAC 400 GR.								TR	TARRO
261	MEDICAMENTOS	504.931	ISOPTINA 80 MG X 20 CAPS								CJ	CAJA
261	MEDICAMENTOS	505.176	KONAKION 10 MG  (IM/IV)MM X 1 ML		1121	FITOMENADIONA (VIT K)	7.551	10 MG X 1 ML	186	VITAMINOTERAPIA	AM	AMPOLLA
261	MEDICAMENTOS	505.186	LABOTENSIL 50 MG.X 20 COMP.								CJ	CAJA
261	MEDICAMENTOS	505.204	LAPICES DE NITRATO DE PLATA		1933	NITRATO DE PLATA	7.553	LAPICES DE NITRATO DE PLATA	1.941	QUERATOLITICO	UN	UNIDAD
261	MEDICAMENTOS	505.217	LAGRIMAS ARTIF(LUVIS). X 20 ML		1063	ALCOHOL POLIVINILICO	9.967	20 ML	1.064	HUMECTANTE LUBRICANTE OFTALMICO	FR	FRASCO
261	MEDICAMENTOS	505.237	LAXONAROL X 25 CAPS		2649	VASELINA LIQUIDA	7.555	1.1 GR X CAPS	148	LAXANTE	CJ	CAJA
261	MEDICAMENTOS	505.253	LECHE NAN PREMATUROS 400GR		1182	PROTEINAS_HIDRATOS DE CARBONO_LIPIDOS	7.556	400GR	3.183	0_12 MESES BEBE DELICADO	TR	TARRO
261	MEDICAMENTOS	505.258	LECHE NAN SIN LACTOSA 400GR (12)		2842	COMPONENTES LECHE	7.557	400GR	3.361	INTOLERANCIA LACTOSA	TR	TARRO
261	MEDICAMENTOS	505.264	LECHE MAGNESIA  120 M		1825	HIDROXIDO DE MAGNESIO	7.559	120 ML	1.119	ANTIACIDO_LAXANTE	FR	FRASCO
261	MEDICAMENTOS	505.307	LEROGIN X 30 GRAGEAS		127	CLORDIAZEPÓXIDO CLORHIDRATO _ CLIDINIO BROMURO 	7.560	5 MG_2.5 MG X GRAGEAS	52	ANTIESPASMODICO	CJ	CAJA
261	MEDICAMENTOS	505.316	LEUCOVORINA 50 MG AMP(FRIO)		2651	LEUCOVORINA	7.561	50 MG X AMP	1.115	COADYUVANTE EN TERAPIA CITOTOXICA	AM	AMPOLLA
261	MEDICAMENTOS	500.019	ACANTEX 1 G I.V..		93	CEFTRIAXONA DISÓDICA  1 GR. I.M.	7.562	1 GR X AMP	24	ANTIBIOTICO	AM	AMPOLLA
261	MEDICAMENTOS	500.026	ACEITE EMULSIONADO B.LAND 410 ML		3241	CREMA_VARIOS	7.563	410 ML	2.873	HUMECTANTE DERMICO	FR	FRASCO
261	MEDICAMENTOS	500.062	ACIDO ASCORBICO 1 GR AMP		907	ACIDO ASCORBICO	7.564	1 GR X AMP	186	VITAMINOTERAPIA	AM	AMPOLLA
261	MEDICAMENTOS	500.064	ACIDO ASCORBICO 100 MG X 1 M		907	ACIDO ASCORBICO	7.565	100 MG X 1 M	186	VITAMINOTERAPIA	AM	AMPOLLA
261	MEDICAMENTOS	500.071	ACEVIT GOTAS 30 ML		369	VITAMINA A _ C_ D	7.566	5000 UI_5000 UI_1000 UI	186	VITAMINOTERAPIA	FR	FRASCO
261	MEDICAMENTOS	500.158	ACTEBRAL X 28 CAPSULAS		2044	DIETILAMINOETIL AMINOBENZOATO_ACIDOGAMAAMINOBUTIRICO_HEMATOPORFIRINA	10.203	50 MG_150 MG_0.2 MG X CAPSULA	168	REACTIVADOR NEUROCEREBRAL	CJ	CAJA
261	MEDICAMENTOS	500.184	ADALAT 10 MG (30) X  CAPS. DU.		467	NIFEDIPINO 	7.571	10 MG X CAPS.	868	TERAPIA CORONARIA_ANTAGONISTA DE CALCIO	TB	TABLETA
261	MEDICAMENTOS	500.248	AEROLIN INH.100MCG/DOSIS(200)		2102	SALBUTAMOL	7.572	100MCG X DOSIS	384	BRONCODILATADOR	FR	FRASCO
261	MEDICAMENTOS	500.252	AEROLIN SOLUCION (5MG/ML)20 ML		2102	SALBUTAMOL	7.573	5MG X ML	384	BRONCODILATADOR	FR	FRASCO
261	MEDICAMENTOS	500.280	AGUA BIDESTILADA 10 ML AMP		3110	AGUA ESTERILIZADA	7.575	10 ML X AMP	3.109	DILUYE MEDICAMENTOS	AM	AMPOLLA
261	MEDICAMENTOS	500.288	AGUA BIDESTILADA 20 ML AMP		3110	AGUA ESTERILIZADA	7.576	20 ML X AMP	3.109	DILUYE MEDICAMENTOS	AM	AMPOLLA
261	MEDICAMENTOS	500.304	AGUA BIDEST.1000ML X MATRAZ		3110	AGUA ESTERILIZADA	7.577	1000ML X MATRAZ	3.109	DILUYE MEDICAMENTOS	MA	MATRAZ
261	MEDICAMENTOS	500.320	ALBUMINA HUMANA 20% 50 ML		1251	ALBUMINA HUMANA	7.578	20 GR X 100 ML	1.284	EXPANSOR PLASMATICO	FR	FRASCO
261	MEDICAMENTOS	500.325	ALBUMINA HUMANA 5% 500 ML		1251	ALBUMINA HUMANA	7.579	5 GR X 100 ML	1.284	EXPANSOR PLASMATICO	FR	FRASCO
261	MEDICAMENTOS	500.348	ALCOHOL 96 GRADOS		3005	ALCOHOL ETILICO DESNAT	7.580	ALCOHOL 96º	3.108	DESINFECTANTE	LT	LITRO
261	MEDICAMENTOS	505.336	LIBRAXIN X 30 GRAGEAS		127	CLORDIAZEPÓXIDO CLORHIDRATO _ CLIDINIO BROMURO 	7.582	5 MG_2.5 MG X GRAGEA	52	ANTIESPASMODICO	CJ	CAJA
261	MEDICAMENTOS	505.378	LINCOMICINA 600 MG. X AMP.		269	LINCOMICINA	7.583	600 MG. X AMP.	24	ANTIBIOTICO	AM	AMPOLLA
261	MEDICAMENTOS	505.391	LIORESYL 10 MG X 60 TABLETAS		1310	BACLOFENO	7.584	10 MG X TABLETA	174	RELAJANTE MUSCULAR	CJ	CAJA
261	MEDICAMENTOS	505.392	LIPIODOL ULTRA FLUIDO 10 ML		1556	ESTERES ETILICOS DE ACIDOS GRASOS YODADOS	7.585	48 GR X 100 ML	1.179	MEDIO DE CONTRASTE	AM	AMPOLLA
261	MEDICAMENTOS	505.412	LIVIAL X 28 COMP		2653	TIBOLONA	7.586	2.5 MG X  COMP	126	ESTROGENOTERAPIA	CJ	CAJA
261	MEDICAMENTOS	505.481	LOPID 600 MG X 20 TABLETAS		421	GEMFIBROZILO	7.587	600 MG X TABLETA	134	HIPOLIPEMIANTE _ HIPOCOLESTEROLEMIANTE	CJ	CAJA
261	MEDICAMENTOS	505.486	LOTRIDERM CREMA 15 GR		145	CLOTRIMAZOL _ DIPROPIONATO DE BETAMETASONA	7.588	10 MG_0.64 MG X GR	84	ANTIMICOTICO _ CORTICOSTEROIDE	TU	TUBO
261	MEDICAMENTOS	505.503	LOSEC 40 MG IV.		305	OMEPRAZOL	7.589	40 MG X AMP	104	ANTIULCEROSO	AM	AMPOLLA
261	MEDICAMENTOS	505.513	LUPRON DEPOT 3,75 MG		441	LUPRORELINA ACETATO	7.590	3,75 MG	136	HORMONOTERAPIA	AM	AMPOLLA
261	MEDICAMENTOS	505.524	MAALOX SUSP 180 ML		217	HIDROXIDO ALUMINIO _ HIDROXIDO MAGNESIO	7.591	185 MG_200 MG X 5ML	16	ANTIACIDO	FR	FRASCO
261	MEDICAMENTOS	505.589	MAGNATIL X 14 COMP EFERV.		1826	MAGNESIO_ACIDO ASCORBICO	7.593	131.74 MG_500 MG X SOBRE	186	VITAMINOTERAPIA	CJ	CAJA
261	MEDICAMENTOS	500.484	AMIKACINA 100 MG FA 2 ML		1295	AMIKACINA SULFATO	7.595	100 MG X 2 ML	24	ANTIBIOTICO	AM	AMPOLLA
261	MEDICAMENTOS	500.496	AMINOFILINA  250 MG X AMP		1296	AMINOFILINA	7.596	250 MG X AMP	384	BRONCODILATADOR	AM	AMPOLLA
261	MEDICAMENTOS	500.559	AMOVAL JBE 500 MG/5ML		892	AMOXICILINA	7.598	500 MG X 5ML	24	ANTIBIOTICO	FR	FRASCO
261	MEDICAMENTOS	500.561	AMOVAL JBE 250 MG/5ML		892	AMOXICILINA	7.599	250 MG X 5ML	24	ANTIBIOTICO	FR	FRASCO
261	MEDICAMENTOS	500.629	ANAFRANIL 75 MG LIBERACION X 20 COMP.		1005	CLOMIPRAMINA CLORHIDRATO	7.601	75 MG X COMP.	42	ANTIDEPRESIVO	CJ	CAJA
261	MEDICAMENTOS	500.644	ANAFRANIL AMPOLLA (25MG/3ML)		1005	CLOMIPRAMINA CLORHIDRATO	7.602	25MG X 3ML	42	ANTIDEPRESIVO	AM	AMPOLLA
261	MEDICAMENTOS	500.646	ANESTALCON 0,5% GTS 15 ML (FRIO)		329	PROPARACAINA	7.603	5 MG X ML	1.124	ANESTESICO TOPICO	FR	FRASCO
261	MEDICAMENTOS	500.653	ANGIOLINGUAL 0,6 MG X COMP.DU(DISCONT)		877	NITROGLICERINA	7.604	0,6 MG X COMP	22	ANTIANGINOSO	TB	TABLETA
261	MEDICAMENTOS	500.710	ABALGIN SUPOS(6) INF. ANTIESPASMODICOS		1247	ADIFENINA CLORHIDRATO_FENOBARBITAL	7.605	220 MG_25 MG X SUPOS	52	ANTIESPASMODICO	SU	SUPOSITORIO
261	MEDICAMENTOS	500.720	APRESOLINA AMPOLLAS 20 MG		1681	HIDRALAZINA CLORHIDRATO	7.606	20 MG X AMPOLLA	3.086	ANTIHIPERTENSIVO	AM	AMPOLLA
261	MEDICAMENTOS	500.787	ARTREN GOTAS 15 MG/ML 20 CC.		169	DICLOFENACO SODICO	7.607	15 MG X ML	1.936	ANALGESICO _ ANTIINFLAMATORIO _ ANTIPIRETICO	FR	FRASCO
261	MEDICAMENTOS	500.796	ATROPINA COL 1 % X10 ML		1307	ATROPINA SULFATO	8.665	1 %	1.322	MIDRIATICO	FR	FRASCO
261	MEDICAMENTOS	500.808	ASPIRINA 500 MG ADULTO(40) DU		1268	ACIDO ACETIL SALICILICO	7.609	500 MG X COMP	1.936	ANALGESICO _ ANTIINFLAMATORIO _ ANTIPIRETICO	TB	TABLETA
261	MEDICAMENTOS	500.816	ASPIRINA 100 MG (98)INFANT.DU		1268	ACIDO ACETIL SALICILICO	7.610	100 MG X COMP	1.936	ANALGESICO _ ANTIINFLAMATORIO _ ANTIPIRETICO	TB	TABLETA
261	MEDICAMENTOS	500.817	AZULFIDINE 500 MG. X 30 COMP		2175	SULFASALAZINA	7.611	500 MG. X COMP	388	ANTIINFLAMATORIO INTESTINAL	CJ	CAJA
261	MEDICAMENTOS	500.853	ATEMPERATOR GTAS 10 MG/GTA (25 CC)		1267	ACIDO VALPROICO	7.613	10 MG X GTA	50	ANTIEPILEPTICO _ ANTICONVULSIVANTE	FR	FRASCO
261	MEDICAMENTOS	500.889	AUGMENTIN IV 1,2GR X AMP		1300	AMOXICILINA_ACIDO CLAVULANICO	7.615	1,2GR X AMP	24	ANTIBIOTICO	AM	AMPOLLA
261	MEDICAMENTOS	500.924	BACTEROL SUSPENSION 100 ML.		153	TRIMETOPRIMA _ SULFAMETOXAZOL	7.616	200 MG_ 40 MG X 5 ML	26	ANTIBIOTICO _ ANTIINFECCIOSO	FR	FRASCO
261	MEDICAMENTOS	500.964	BACTRIMEL I.V. (400/80MG )X 5 CC		1102	TRIMETOPRIM_SULFAMETOXAZOL	7.617	400MG_80MG X 5 ML	893	ANTIBACTERIANO	AM	AMPOLLA
261	MEDICAMENTOS	505.762	METRONIDAZOL 500 MG.X 10 OVULO		287	METRONIDAZOL	7.618	500 MG.X OVULO	24	ANTIBIOTICO	CJ	CAJA
