COD_PRINCIPIO_ACTIVO	PRINCIPIO_ACTIVO
319	PIPENZOLATO _ SIMETICONA
321	PIRIDOXINA CLORHIDRATO 
323	POTASIO  GLUCONATO
325	PRIMIDONA
327	PROBIOTICOS
329	PROPARACAINA
331	PROPILTIOURACILO
333	RAMIPRIL
335	RIVASTIGMINA
339	SUCRALFATO
341	SUCRALFATO _ OXIDO DE ZINC
343	TELMISARTAN
345	TELMISARTAN _ HIDROCLOROTIAZIDA
347	TERBINAFINA
349	TOLTERODINA
351	TRAVOPROST
353	TRIBENOSIDO _ LIDOCAINA
355	TRIMETAZIDINA DICLORHIDRATO 
359	VALGANCICLOVIR
361	VALSARTAN _ HIDROCLOROTIAZIDA
363	VARENICLINA
365	VENLAFAXINA
369	VITAMINA A _ C_ D
373	VITAMINA B1 _ B6 _ B12
375	VITAMINA C
377	VITAMINA D2
379	VITAMINAS _ MINERALES
381	ZINC SULFATO
385	BUSPIRONA CLORHIDRATO 
387	CARBAMAZEPINA
389	CARBONATO DE CALCIO _ VITAMINA D
393	CERAMIDAS 
395	CICLOPIROX_OLAMINA 
397	CINARIZINA
399	DEXAMETASONA BUTIL ACETATO TERCIARIO _DIIODOHIDROXIQUINOLEINA _CLORURO DE BENZALCONIO
401	DROSPIRENONA _ ETINILESTRADIOL
403	ELETRIPTAN
405	ENALAPRIL _ HIDROCLOROTIAZIDA
407	ESTRIOL 
409	ETORICOXIB 
411	EZETIMIBA _ SIMVASTATINA
413	FENOFIBRATO MICRONIZADO
415	FLUNARIZINA
419	FLUTICASONA _ SALMETEROL
421	GEMFIBROZILO
427	HIALURONATO DE SODIO 
429	HIDROXICLOROQUINA SULFATO
433	LEVOSULPIRIDA 
435	LISINOPRIL _ HIDROCLOROTIAZIDA
439	LOSARTAN _ HIDROCLOROTIAZIDA
441	LUPRORELINA ACETATO
443	MEBEVERINA CLORHIDRATO 
445	MELOXICAM
447	MESALAZINA
449	METFORMINA
451	METFORMINA _ VILDAGLIPTINA
453	MICONAZOL _ TINIDAZOL 
455	MIRTAZAPINA 
457	MODAFINILO
459	MOMETASONA FUROATO
461	MUPIROCINA
463	NAFAZOLINA _ FENIRAMINA
465	NAPROXENO SODICO
467	NIFEDIPINO 
469	NITRENDIPINO
471	NITROFURANTOÍNA
473	OLANZAPINA
475	ONDANSETRON
477	OSELTAMIVIR
479	OXIMETAZOLINA
481	PARACETAMOL
483	PARACETAMOL _ CAFEINA
485	PARACETAMOL _ CLORSOXAZONA
487	PERICIAZINA
489	PERINDOPRIL
491	PICOSULFATO DE  SODIO
493	PIRIDOSTIGMINA
497	PRAMIPEXOLE 
501	PROGESTERONA
503	PROPAFENONA CLORHIDRATO
505	QUETIAPINA
507	RACECADOTRILO
509	RANITIDINA
511	RIFAMPICINA
513	ROSUVASTATINA 
515	SERRAPEPTASA
517	SERTRALINA CLORHIDRATO 
519	TACROLIMUS
521	TAMSULOSINA CLORHIDRATO 
523	TEOFILINA 
527	TIZANIDINA CLORHIDRATO
529	TOPIRAMATO
531	TRAMADOL CLORHIDRATO 
533	TRIHEXIFENIDILO
535	TRIMEBUTINA MALEATO 
537	TROSPIO CLORURO 
539	UREA _ DIMETICONA _ ARGININA _ ACIDO LACTICO _ ALANTOINA
543	VITAMINA A _ B1 _ B2 _ B6 _ B _ C _ D3 _ E _ H_ B5
601	CLOTIAZEPAM
641	BROMAZEPAM
642	DIAZEPAM
643	CLORDIAZEPOXIDO
645	FENOBARBITAL
646	CLONAZEPAM
647	MORFINA CLORHIDRATO
648	ALPRAZOLAM
649	ZOLPIDEM
661	TOLTERODINA TARTRATO
702	ESZOPICLONA
703	AMITRIPTILINA
704	PARACETAMOL_CODEINA
705	MIDAZOLAM
706	METADONA
707	PETIDINA
708	LORMETAZEPAM
709	BROTIZOLAM
710	ZOPICLONA
711	TRIAZOLAM
712	CLOBAZAM
713	FENTANILO
714	OXICODONA
715	METILFENIDATO
721	LORAZEPAM
741	LEVOTIROXINA SODICA
761	FILGRASTIN
762	TEMOZOLOMIDA
763	IDARUBICINA
764	TOCILIZUMAB
765	LETROZOL
766	DOCETAXEL
767	BICALUTAMIDA
768	EXEMESTANO
770	INTERFERON ALFA 2 B
771	PEMETREXED
772	GEMCITABINA
773	FLUDARABINA
774	PACLITAXEL
775	VINORELBINA
776	DOXORRUBICIA
777	OXALIPLATINO
778	GOSERELINA
779	IRINOTECAN
780	RITUXIMAB
781	TOPOTECAN
783	MELFALAN
784	DACARBAZINA
786	IFOSFAMIDA
787	FLUORURACILO
789	TRASTUZUMAB
801	CLORFENAMINA
842	CLONIXINATO DE LISINA
844	NIMESULIDA
845	PARACETAMOL_TRAMADOL
847	METFORMINA_SITAGLIPTINA
848	LISINOPRIL
851	DIFENIDOL
853	ATENOLOL
861	POTASIO CLORURO
862	ALGINATO_BICARBONATO DE SODIO
865	CLORURO SUCCINIL COLINA
871	GLIBENCLAMIDA
872	CARVEDILOL
873	PREDNISONA
874	DILTIAZEM
875	VILDAGLIPTINA
877	NITROGLICERINA
879	ALOPURINOL
881	AMIODARONA
883	GLIMEPIRIDA
885	PARGEVERINA CLORHIDRATO
887	WARFARINA SODICA
889	METILPREDNISOLONA
890	LANOLINA_VASELINA_ZINC
892	AMOXICILINA
894	AMBROXOL CLORHIDRATO
895	ESOMEPRAZOL
897	TIAMINA (VIT B1)
899	KETOROLACO TROMETAMOL
902	ACICLOVIR
903	DOXAZOSINA
905	MIDODRINA CLORHIDRATO
907	ACIDO ASCORBICO
908	TRAZODONA
909	CIPROFLOXACINO
914	FENAZOPIRIDINA
921	DROPERIDOL
924	CITALOPRAM BROMHIDRATO
925	AMLODIPINO
941	DIOSMINA_HESPERIDINA
943	EPINEFRINA
945	CLOXACILINA
946	N BUTILBROMURO DE HIOSCINA
947	NIMODIPINO
948	BROMURO DE PANCURONIO
950	CITRATO DE SODIO
952	ACIDO ACETIL SALICILICO_CAFEINA
955	FLUDROCORTISONA
957	PREGABALINA
959	SULFATO FERROSO
960	INDOMETACINA
964	ACIDO TRANEXANICO
981	CELECOXIB
982	GABAPENTINA
1001	SODIO_POTASIO_CLORURO_CITRATO_GLUCOSA
1005	CLOMIPRAMINA CLORHIDRATO
1006	ADALIMUMAB
1009	VERAPAMILO CLORHIDRATO
1012	CEFRADINA
1013	ENALAPRIL MALEATO
1014	CEFADROXILO
1017	CLORMEZANONA
1018	PENTOXIFILINA
1020	SULBACTAM_AMPICILINA
1021	SITAGLIPTINA
1022	CEFUROXIMA
1023	TALCO_MENTOL
1025	DEFLAZACORT
1026	CEFAZOLINA
1027	TIETILPERAZINA
1041	ADIFENINA
1042	HIDROXIZINA CLORHIDRATO
1043	PROTEINSUCCINILATO DE HIERRO
1044	COMPLEJO DE HIERRO III
1045	AMPICILINA
1046	N BUTILBROMURO DE HIOSCINA_METAMIZOL SODICO
1048	FLUCLOXACILINA
1063	ALCOHOL POLIVINILICO
1065	DOBUTAMINA CLORHIDRATO
1067	VALACICLOVIR
1068	AZUL DE METILENO
1071	PROPANOLOL CLORHIDRATO
1072	CEFOTAXIMA
1081	FOSFATO DE SODIO MONOBASICO_FOSFATO DE SODIO DIBASICO
1082	CETUXIMAB
1083	LOMUSTINA
1085	AC HOLO TRANSRETINOICO
1086	FULVISTRANT
1087	IXABEPILONA
1088	ABATACEPT
1089	CLADRIBINE
1090	AZACITIDINA
1091	INFLIXIMAB
1102	TRIMETOPRIM_SULFAMETOXAZOL
1104	CLOPIDOGREL
1106	BESILATO DE ATRANCURIO
1107	POVIDONA YODADA
1108	SIMVASTATINA
1111	ERGOTAMINA TARTRATO_METAMIZOL SODICO_CAFEINA
1112	VELAFAXINA
1113	ACIDO FUSIDICO
1120	GENTAMICINA
1121	FITOMENADIONA (VIT K)
1122	LABETALOL CLORHIDRATO
1123	BENZOCAINA
1128	NORFLOXACINO
1142	NADROPARINA CALCICA
1143	OXIDO DE ZINC
1149	OXITOCINA
1151	DEXPANTENOL
1152	PIROXICAM
1155	CLORURO DE POTASIO_CLORURO DE SODIO_BICARBONATO DE SODIO
1156	VITAMINAS_MINERALES_OLIGOELEMENTOS
1157	HEXAHIDROADIFENINA_PROPIFENAZONA
1158	LAMIVUDINA_ZIDOBUDINA
1159	RITONAVIR
1160	PROCAINAMIDA
1161	VASOPRESINA
1163	LAMIVUDINA
1167	FONDAPARINUX SODICO
1168	MICOFENOLATO
1169	CLORPROMAZINA
1170	CLORURO DE SODIO
1171	PANCREATINA
1172	BETAMETASONA SODIO FOSFATO
1174	TRIPTORELINA
1176	PROPOFOL
1178	MEGLUMINA
1180	MEMANTINA CLORHIDRATO
1181	BROMURO DE ROCURONIO
1182	PROTEINAS_HIDRATOS DE CARBONO_LIPIDOS
1184	"EPIDERMIS DE SEMILLA DE PSYLLIUM	"
1187	FLUTICASONA
1188	FOSFATO DE POTASIO
1190	DALTEPARINA SODICA
1201	AGUA PURIFICADA_POLIVINILPIRROLIDONA_ACIDO GLICERRETINICO_HIALURONATO DE SODIO_PROPILENGLICOL
1203	GLUCAGON
1207	AZATIOPINA
1209	INDIGO CARMIN
1210	INSULINA ASPARTATO
1211	INSULINA HUMANA ISOFANICA
1212	ERTAPENEM
1214	ISOPRENALINA
1221	ABCIXIMAB
1222	ACEITE DE PESCADO_EPA Y DHA
1223	ACEITE MINERAL
1224	ACEITE MINERAL_CLOROBUTANOL_LANOLINA
1225	ACEITE DE RICINO
1226	ACENOCUMAROL
1227	ACETATO DE MEGESTROL
1228	ACETATO DE POTASIO
1229	ACETATO DE SODIO
1230	ACETAZOLAMIDA
1231	ACIDO ASCORBICO - PANTOTENATO DE CALCIO - CIANOCOBALAMINA - ACIDO FOLICO - HIERRO - NICOTINAMIDA - PIRIDOXINA - RIBOFLAVINA -TIAMINA
1232	ACIDO BORICO
1233	CAPECITABINA
1234	ANTICUERPO MONOCLONAL
1235	ACIDO FOLICO
1239	PEGFILGRASTIN
1240	ACIDO MEFENAMICO
1242	ACIDO URSODESOXICOLICO
1243	ACIDO ZOLEDRONICO
1244	ACRIDEKA
1245	ACTIVADOR DEL PLASMINOGENO TISULAR HUMANO
1246	ADENOSINA
1247	ADIFENINA CLORHIDRATO_FENOBARBITAL
1248	ADRENALINA
1249	ADRENALINA RACEMICA
1250	AGALSIDASE BETA
1251	ALBUMINA HUMANA
1253	TEMSIROLIMUS
1254	BASILIXIMAB
1258	GEFITINIB
1259	ALFA HEDERINA SORBATO DE POTASIO
1261	ALFENTANIL
1262	EVEROLIMUS
1263	LENALIDOMIDA
1264	ALMIDON HIDROXIETILADO
1265	ALPROSTADIL
1267	ACIDO VALPROICO
1268	ACIDO ACETIL SALICILICO
1292	ABACAVIR SULFATO
1294	AMBROXOL CLORHIDRATO
1295	AMIKACINA SULFATO
1296	AMINOFILINA
1297	AMINOACIDOS
1298	AMITRIPTILINA_CLORDIAZEPOXIDO
1300	AMOXICILINA_ACIDO CLAVULANICO
1301	ANFOTERICINA LIPOSOMAL
1302	ANFOTERICINA B
1304	APREPITANT
1305	ATOSIBAN
1307	ATROPINA SULFATO
1308	BACITRACINA_NEOMICINA_XILOMETAZOLINA
1309	BACITRACINA_POLIMIXINA B
1310	BACLOFENO
1311	BARIO
1312	ALUMINIO SILICATO
1341	BETAMETASONA
1344	BETAMETASONA DIPROPIONATO
1347	BISACODILO
1348	BISMUTO
1349	BISOPROLOL FUMARATO
1350	BLEOMICINA CLORHIDRATO
1352	BROMURO DE VERCURONIO
1353	BUDESONIDA
1354	BUDESONIDA_FUMARATO DE FORMOTEROL DIHIDRATO
1355	BUPIVACAINA
1356	BUPRENORFINA
1361	CABERGOLINA
1362	CAFEINA
1363	CALCITONINA SINTETICA DE SALMON
1364	CALCITRIOL
1365	CAPTOPRIL
1367	CARBETOCIN
1404	BICARBONATO DE SODIO
1406	CARBOMER
1407	CARBON ACTIVADO
1409	CASPOFUNGINA
1410	CEFEPIMA
1412	CEFOPERAZONO_SULBACTAM
1413	ACEITE MINERAL _ VASELINA
1414	CEFTAZIDINA
1415	SULFONATO DE SODIO
1416	CICLOFOSFAMIDA
1417	CENTELLA ASIATICA
1418	METOTREXATO
1419	CITARABINA
1420	VINCRISTINA
1421	CICLOPENTOLATO
1422	CISPLATINO
1423	DACTINOMICINA
1424	ETOPOXIDO
1425	TAMOXIFENO
1426	VINBLASTINA
1429	CEFIXIMA
1430	CICLOBENZAPRINA CLORHIDRATO
1441	6 MERCAPTOPURINA
1444	DASATINIB
1445	SUNITINIB
1446	ERLOTINIB CLORHIDRATO
1447	LAPATINIB
1448	BORTEZOMIB
1449	VORINOSTAT
1450	AC.AMINOGLEBULINICO
1452	HIDROXIUREA
1454	CABAZITAXEL
1455	TIOGUANINA
1457	BUSULFANO
1458	BEVACIZUMAB
1459	DECITABINA
1461	CISAPRIDA
1463	CLARITROMICINA
1465	CLONIDINA CLORHIDRATO
1481	CLORFENAMINA_PSEUDOEFEDRINA
1482	CLORURO DE CALCIO
1483	CLORURO DE ETILO
1484	CLORURO DE SODIO_GLICEROL
1486	CODEINA
1487	CODEINA_HOMATROPINA_ETIMORFINA
1488	COLCHICINA
1490	COLESTIRAMINA
1491	DANTROLENO
1492	DAPTOMICINA
1493	DESFLURANO
1494	CLOTRIMAZOL_DEXAMETASONA
1495	DEXAMETASONA
1496	DEXMEDETOMIDINA
1497	DIATRIZOATO MEGLUMINA
1498	DIMECAINA_ERGOCALCIFEROL_RETINOL_SULFADIAZINA DE PLATA
1523	DICLOFENACO COLESTIRAMINA
1541	DIPIRIDAMOL
1543	DOPAMINA
1544	DULOXETINA
1545	EFEDRINA
1546	ENOXAPARINA
1548	ERGOMETRINA
1551	ERGOTAMINA_CAFEINA_METAMIZOL SODICO_CLORFENAMINA
1552	ERITROPOYETINA HUMANA BETA RECOMBINANTE
1555	ESTREPTOQUINASA
1556	ESTERES ETILICOS DE ACIDOS GRASOS YODADOS
1582	ETOFENAMATO
1583	ETOMIDATO
1586	FAMOTIDINA
1587	FACTOR DE COAGULACION VII A
1588	FECULA DE MAIZ
1589	FENILEFRINA
1590	FENITOINA
1591	FENOTEROL BROMHIDRATO
1592	FIBRINOGENO
1593	HIERRO FUMARATO
1595	FLAVOXATO
1596	FLECAINIDA ACETATO
1597	FLUCONAZOL
1598	FLUMAZENIL
1599	FLUORESCEINA
1601	FLUOXETINA
1664	FOSFOLIPIDOS
1665	FUROSEMIDA
1667	GELATINAS
1670	GLIPIZIDA
1671	CLORHEXIDINA GLUCONATO
1673	GLUTAMINA
1674	GRANISETRON CLORHIDRATO
1675	HEPARINA SODICA
1676	HEXETIDINA
1678	HIALURONATO_CLORURO DE SODIO
1679	HIALURONIDASA
1681	HIDRALAZINA CLORHIDRATO
1682	HIDRATO DE CLORAL
1683	HIDROCLOROTIAZIDA
1701	ASPARAGINASA
1703	AGUA DE MAR DILUIDA Y PURIFICADA
1704	CARBOPLATINO
1705	DAUNORUBICINA
1706	FARMORUBICINA
1707	GANCICLOVIR
1708	MITOMICINA
1709	MITOXANTRONA
1710	TALIDOMIDA
1721	GADODIAMIDA
1744	BENDAMUSTINA
1746	IBRITUMOMAB
1761	HIDROGEL AMORFO
1763	HIDROXIMETILCELULOSA_CARBOMER_DEXTRAN
1766	MISOPROSTOL
1767	REMIFENTANILO
1770	IBANDRONATO
1771	IMIPENEM
1774	INMUNOGLOBULINA HUMANA
1779	INMUNOGLOBULINA TETANICA
1780	INSULINA DETEMIR
1782	ISOFLURANO
1784	IODIXANOL
1785	IOHEXOL
1787	IOXITALAMATO DE SODIO_IOXITALAMATO DE MEGLUMINA
1790	LIDOCAINA CLORHIDRATO
1792	LAMOTRIGINA
1793	LANATOSIDO C
1794	LEVOBUPIVACAINA
1795	LEVONORGESTREL
1796	LEVOSIMENDAN
1797	LINEZOLID
1798	KETAMINA
1822	LOPERAMIDA
1823	LORATADINA
1824	LOSARTAN POTASICO
1825	HIDROXIDO DE MAGNESIO
1826	MAGNESIO_ACIDO ASCORBICO
1827	MAGNESIO_CALCIO_ACIDO ASCORBICO
1828	MAGNESIO SULFATO
1829	MAGNESIO LACTATO
1830	MEDIO DE CONTRASTE
1832	MEROPENEM
1833	METILCELULOSA
1834	METILDOPA
1836	NEOSTIGMINA METILSULFATO
1837	METOCLOPRAMIDA
1838	METOCLOPRAMIDA_CLORDIAZEPOXIDO
1839	METOLAZONA
1840	MICONAZOL
1901	MARCA BECTON DICKINSON
1921	MIVACURONIO
1922	MOXIFLOXACINO
1923	MUCILAGO PSYLLIUM
1924	N ACETILCISTEINA
1925	NALOXONA
1926	NARATRIPTAN
1927	NEBIVOLOL
1928	NEOMICINA
1929	NICOTINA
1931	NIFUROXAZIDA_ATAPULGITA
1933	NITRATO DE PLATA
1934	MILRINONA
1961	NITROFURAZONA
1962	NITROPRUSIATO DE SODIO
1963	NOREPINEFRINA
1964	OCTEOTRIDE
1965	OLIGOELEMENTOS
1966	OXIBUTININA
1967	PALIVIZUMAB
1968	PALONOSETRON CLORHIDRATO
1969	PAPAINA
1970	PARECOXIB
1971	PARGEVERINA CLORHIDRATO_METAMIZOL MEGNESICO
1981	OXIPOLITOXIDODECANO_CLOROCARVACOL_ACEITE DE HIGADO DE BACALAO
1982	PAPAVERINA CLORHIDRATO
2001	PENICILINA G BENZATINA
2002	PENICILINA G SODICA
2003	PERFLUORODECALIN
2005	PILOCARPINA
2006	PIRACETAM
2009	POLIDOCANOL
2010	PLANTAGO OVATA_CASSIA ANGUSTIFOLIA
2011	POLIESTIRENSULFONATO CALCICO
2012	POLIETILENGLICOL _PROPILENGLICOL_HIDROXIPROPILGUAR _ACIDO BORICO_CLORURO CALCICO_CLORURO MAGNESICO_CLORURO POTASICO_CLORURO SODICO_CLORURO ZINC _POLYQUAD
2013	POLIMIXINA E
2014	ALOE _ LINAZA
2015	PREDNISOLONA ACETATO
2016	PROMOLATE
2042	QUINAPRIL
2043	QUINAPRIL_HIDROCLOROTIAZIDA
2044	DIETILAMINOETIL AMINOBENZOATO_ACIDOGAMAAMINOBUTIRICO_HEMATOPORFIRINA
2081	PRIMAQUINA
2102	SALBUTAMOL
2121	AVENA_SILICONA_GLICERINA
2122	CLORDIAZEPOXIDO_METOCLOPRAMIDA_SIMETICONA
2125	FEXOFENADINA_PSEUDOEFEDRINA
2161	MAGALDRATO_SIMETICONA
2164	IBESARTAN
2165	ANASTROZOL
2166	AMLODIPINO _ ATORVASTATINA
2167	VALERIANA_PASSIFLORA
2169	CILOSTAZOL
2172	MIANSERINA
2174	BRINZOLAMIDA_TIMOLOL MALEATO
2175	SULFASALAZINA
2176	RETINOL
2201	GLIBENCLAMIDA_METFORMINA
2203	SACHAROMYCES BOULARDI
2204	ACIDO LACTICO_PANTENOL_PORTULACA
2205	ALCANFOR_FENOL
2206	CANDESARTAN_HIDROCLOROTIAZIDA
2208	CLORZOXAZONA_PARACETAMOL
2222	SODIO FLUORURO
2262	VITAMINAS
2264	DIHIDROERGOCRISTINA_LOMIFILINA
2265	ALCOHOL CETILICO_ALCOHOL ESTEARILICO_ LAURIL SULFATO DE SODIO
2281	HIERRO
2284	CIANOCOBALAMINA
2285	GLUCONATO DE COBRE_DIMETICONA_MADECASSOSIDE_MAGNESIO GLUCONATO_ZINC GLUCONATO
2286	MIRANOL
2301	CASIA ANGUSTIFOLIA_SEN DE ALEJANDRIA_PULPA DE FRUTAS_MIEL DE ABEJAS_SEMILLAS DE LINAZA
2321	SEN DE ALEJANDRIA
2322	ZUCLOPENTIXOL
2341	IRBESARTAN_HIDROCLOROTIAZIDA
2364	CONDROITINA SULFATO
2368	ACIDO NICOTINICO_LAROPIPRANT
2369	DORZOLAMIDA_TIMOLOL
2371	CLOTRIMAZOL_OXIDO DE ZINC
2373	RISPERIDONA
2375	PIRIMETAMINA
2401	ETAMSILATO
2403	LACTASA
2405	DIOSMINA_FLAVONOIDES_HESPERIDINA
2408	YODOCLOROHIDORXIQUINA_BETAMETASONA
2409	ACIDO SALICILICO_BETAMETASONA
2411	DESIPRAMINA
2413	CALCIO DOBESILATO
2416	DUTASTERIDA_TAMSULOSINA HIDROCLORURO
2422	TIOCOLCHICOSIDO
2424	BETAINA_LAURIL SULFATO DE SODIO
2425	ESTRADIOL
2428	AMLODIPINO_VALSARTAN_HIDROCLOROTIAZIDA
2464	ACIDO DOCOSAHEXAENOICO_ACIDO EICOSAPENTAENOICO
2469	HIERRO SULFATO
2483	SIMETICONA
2485	SIMETICONA_PANCREATINA_PEPSINA_DIASTASA_BILIS DESECADA
2487	FINASTERIDE
2501	FURAZOLIDONA
2521	RABEPRAZOL
2523	HIPROMELOSA
2525	DORZOLAMIDA
2528	ESTRADIOL_PRASTERONA
2561	ERGOCALCIFEROL_RETINOL_OXIDO DE ZINC
2583	SUMATRIPTAN
2584	INDAPAMINA
2641	ACIDO CITRICO_CITRATO DE POTASIO
2649	VASELINA LIQUIDA
2650	ACIDOS GRASOS ESENCIALES OMEGA 6_ALFA TOCOFEROL_ASCORBICO ACIDO_CERAMIDAS_EXTRACTO DE LINUM_USITASSIMUM_LUPINO_MANTECA DE KARITE_PEPTIDOS_POLIDOCANOL
2651	LEUCOVORINA
2653	TIBOLONA
2661	BIMATOPROST
2662	RANIBIZUMAB
2681	FLUVOXAMINA
2685	AMLODIPINO _ VALSARTAN
2688	DESOGESTREL_ETINILESTRADIOL
2689	RIZATRIPTAN
2703	RASAGILINA
2725	TROPICAMIDA
2726	NALTREXONA
2741	NEPAFENACO
2742	ACIDO NICOTINICO
2743	NICARDIPINO
2744	ERGOCALCIFEROL_NISTATINA_RETINOL_OXIDO DE ZINC
2745	RIFAXIMINA
2750	LIOTIRONINA SODICA_LEVOTIROXINA SODICA
2752	ANTAZOLINA_NAFAZOLINA
2754	LOTEPREDNOL
2755	CALCIO FOSFATO_CALCITRIOL
2756	BETAMETASONA_LIDOCAINA_NEOMICINA_POLIMIXINA B
2781	CLORANBUCIL
2821	PIMECROLIMUS
2842	COMPONENTES LECHE
2843	TIOPENTATO SODIO
2845	CLORHEXIDINA_CETILPIRIDINIO
2847	PERSEAGRATISIMA
2849	DOXILAMINA_PIRIDOXINA
2852	AMANTADINA
2862	DARUNAVIR
2901	VALERATO ESTRADIOL
2902	PROTAMINA
2903	ACIDO PIPEMIDINICO
2904	LANOLINA
2906	SIROLIMUS
2942	DEXTROSA
2943	GLICINA 1,5%
2944	ALISKIRENO
2945	CARBOXIMETILCELULOSA
2947	ROPINIROL
2948	ZIDOVUDINA
2950	ELTROMBOPAG
2952	CELIPROLOL
2953	TIAPRIDA
2954	SALMETEROL
2957	YODO RADIOACTIVO
2958	SEVOFLURANO
2981	OXIGENO+OX NITROSO GAS
3001	TEST DETECTA IGFBP-1
3003	PEROXIDO DE HIDROGENO
3005	ALCOHOL ETILICO DESNAT
3008	VIT A_D_ E_ K
3010	TROLAMINA
3062	GOMA KARAYA
3067	VIT B1  B2  B6  B8  B12  C
3070	TIOTROPIO
3074	LEVODOPA_CARBIDOPA_ENTACAPONA
3076	ETIFOXINA CLORHIDRATO
3080	D-MANITOL 15%
3085	GLUCOSA
3101	ELECTROLITOS_LACTATO
3102	ALCOHOL ETILICO 96° ESTERIL
3104	SULPIRIDA
3105	RETAPAMULINA
3106	LC_PUFAS_DHA_ARA
3107	AGUJA INSULINA
3110	AGUA ESTERILIZADA
3111	HILANO
