"COPYRIGHT_ID","NAME","COPYRIGHT","TERMS_OF_USE","URL"
"FACIT","Functional Assessment of Chronic Illness Therapy","Copyright © 2010 FACIT.org. Used with permission","All translations, adaptations, symptom indices, computer programs, and scoring algorithms, and any other related documents of the Functional Assessment of Chronic Illness Therapy (FACIT) Measurement System, including the Functional Assessment of Cancer Therapy (FACT), are owned and copyrighted by, and the intellectual property of, David Cella, Ph.D.","http://www.facit.org/FACITOrg/AboutUs/Copyright"
"RCP","The Royal College of Psychiatrists","©The Royal College of Psychiatrists","The Edinburgh Postnatal Depression Scale may be photocopied by individual researchers or clinicians for their own use without seeking permission from the publishers. The scale must be copied in full and all copies must acknowledge the following source: Cox, J.L., Holden, J.M., & Sagovsky, R. (1987). Detection of postnatal depression. Development of the 10-item Edinburgh Postnatal Depression Scale. British Journal of Psychiatry, 150, 782-786. Written permission must be obtained from the Royal College of Psychiatrists for copying and distribution to others or for republication (in print, online or by any other medium).",""
"M3","M3 Information","http://www.whatsmym3.com/TermsOfUse.aspx","Used with permission","http://www.mymoodmonitor.com/Default.aspx"
"MLHFQ","Minnesota Living with Heart Failure Questionnaire","©1986 Regents of the University of Minnesota, All rights reserved.  Do not copy or reproduce without permission. LIVING WITH HEART FAILURE® is a registered trademark of the Regents of the University of Minnesota.","",""
"KCCQ","Kansas City Cardiomyopathy Questionnaire","Copyright © 1996-2005 John Spertus MD MPH","",""
"Brigance","Brigance Screen","© 2010, 2008, CURRICULUM ASSOCIATES®, LLC.Reprinted /Adapted by permission","",""
"RHEA","Rwanda Health Enterprise Architecture","","",""
"PHB","Paul H. Brookes Publishing Co","Copyright © 2009 Paul H. Brookes Publishing Co., Inc.","","www.brookespublishing.com/asq"
"CDR","Clinical Dementia Rating Scale (CDR)","Copyright permission from Andrea Denny","Used with permission",""
"MMSE","Mini Mental State Examination","Copyright permission from Vicki King for Psychological Assessment Resources","Used with permission",""
"KOOS","Knee injury and osteoarthritis outcome score","Copyright permission from Ewa Roos","Used with permission",""
"HOOS","Hip dysfunction and osteoarthritis outcome score","Copyright permission from Ewa Roos","Used with permission",""
"BOMC","Blessed orientation-memory-concentration test (BOMC)","Copyright permission from The Hartford Institute for Geriatric Nursing, College of Nursing, New York University","Used with permission",""
"SLUMS","St. Louis University mental status examination (SLUMS)","Copyright permission from Saint Louis University / Department of Veterns Affairs","Used with permission",""
"IQCODE","Short Informant Questionnaire on Cognitive Decline in the Elderly (IQCODE)","Copyright permission from Anthony Jorm","Used with permission",""
"AD8","Ascertain Dementia 8 (AD8)","Reprinted with permission. Copyright 2005. The Eight-item Informant Interview to Differentiate Aging and Dementia is a copyrighted instrument of Washington University, St. Louis, Missouri. All Rights Reserved","Washington University grants permission to use and reproduce the Eight-item Informant Interview to Differentiate Aging and Dementia exactly as it appears in the PDF available here without modification or editing of any kind solely for end user use in investigating dementia in clinical care or research in clinical care or research (the ""Purpose""). For the avoidance of doubt, the Purpose does not include the (i) sale, distribution or transfer of the Eight-item Informant Interview to Differentiate Aging and Dementia or copies thereof for any consideration or commercial value; (ii) the creation of any derivative works, including translations; and/or (iii) use of the Eight-item Informant Interview to Differentiate Aging and Dementia as a marketing tool for the sale of any drug.",""
"MoCA","Montreal Cognitive Assessment (MoCA)","Copyright permission from Tina Brosseau for Center for Diagnosis & Research on Alzheimer's disease (CEDRA)","Used with permission",""
"FaB","Falls Behavioral Scale for Older People (FaB)","Copyright permission from Lindy Clemson","Used with permission",""
"NPUAP","National Pressure Ulcer Advisory Panel (NPUAP)","©NPUAP, used with permission of the National Pressure Ulcer Advisory Panel 2012","","http://www.npuap.org/"
"BSL-23","Borderline Symptom List - 23 Item","Copyright ©PSM ZI Mannheim /Germany","",""
"BSL-SUPP","Borderline Symptom List - Supplement","Copyright ©PSM ZI Mannheim /Germany","",""
