CODIGO|DESCRIPTOR|CAPITULO_NUM|CAPITULO_TITULO|VERSION
A045|ENTERITIS DEBIDA A CAMPYLOBACTER|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A046|ENTERITIS DEBIDA A YERSINIA ENTEROCOLITICA|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A047|ENTEROCOLITIS DEBIDA A CLOSTRIDIUM DIFFICILE|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A048|OTRAS INFECCIONES INTESTINALES BACTERIANAS ESPECIFICADAS|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A049|INFECCION INTESTINAL BACTERIANA, NO ESPECIFICADA|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A050|INTOXICACION ALIMENTARIA ESTAFILOCOCICA|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A150|TUBERCULOSIS PULMON, CONFIRM.POR HALLAZGO MICROSC. DE BACILO TBC EN ESPUTO, CON O SIN CULTIVO|A15-A19|TUBERCULOSIS (INCLUYE INFECCIONES POR MYCOBACTERIUM TUBERCULOSIS Y MYCOBACTERIUM BOVIS)|2010_DEIS
A151|TUBERCULOSIS DEL PULMON, CONFIRMADA UNICAMENTE POR CULTIVO|A15-A19|TUBERCULOSIS (INCLUYE INFECCIONES POR MYCOBACTERIUM TUBERCULOSIS Y MYCOBACTERIUM BOVIS)|2010_DEIS
A152|TUBERCULOSIS DEL PULMON, CONFIRMADA HISTOLOGICAMENTE|A15-A19|TUBERCULOSIS (INCLUYE INFECCIONES POR MYCOBACTERIUM TUBERCULOSIS Y MYCOBACTERIUM BOVIS)|2010_DEIS
A153|TUBERCULOSIS DEL PULMON, CONFIRMADA POR MEDIOS NO ESPECIFICADOS|A15-A19|TUBERCULOSIS (INCLUYE INFECCIONES POR MYCOBACTERIUM TUBERCULOSIS Y MYCOBACTERIUM BOVIS)|2010_DEIS
A154|TUBERCULOSIS DE GANGLIOS LINFATICOS INTRATORACICOS, CONFIRMADA BACTERIOLOG. E HISTOLOG.|A15-A19|TUBERCULOSIS (INCLUYE INFECCIONES POR MYCOBACTERIUM TUBERCULOSIS Y MYCOBACTERIUM BOVIS)|2010_DEIS
A155|TUBERCULOSIS DE LARINGE, TRAQUEA Y BRONQUIOS, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE|A15-A19|TUBERCULOSIS (INCLUYE INFECCIONES POR MYCOBACTERIUM TUBERCULOSIS Y MYCOBACTERIUM BOVIS)|2010_DEIS
A156|PLEURESIA TUBERCULOSA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE (TUBERCULOSIS)|A15-A19|TUBERCULOSIS (INCLUYE INFECCIONES POR MYCOBACTERIUM TUBERCULOSIS Y MYCOBACTERIUM BOVIS)|2010_DEIS
A157|TUBERCULOSIS RESPIRATORIA PRIMARIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE|A15-A19|TUBERCULOSIS (INCLUYE INFECCIONES POR MYCOBACTERIUM TUBERCULOSIS Y MYCOBACTERIUM BOVIS)|2010_DEIS
A158|OTRAS TUBERCULOSIS RESPIRATORIAS, CONFIRMADAS BACTERIOLOGICA E HISTOLOGICAMENTE|A15-A19|TUBERCULOSIS (INCLUYE INFECCIONES POR MYCOBACTERIUM TUBERCULOSIS Y MYCOBACTERIUM BOVIS)|2010_DEIS
A159|TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE|A15-A19|TUBERCULOSIS (INCLUYE INFECCIONES POR MYCOBACTERIUM TUBERCULOSIS Y MYCOBACTERIUM BOVIS)|2010_DEIS
A160|TUBERCULOSIS DEL PULMON, CON EXAMEN BACTERIOLOGICO E HISTOLOGICO NEGATIVOS|A15-A19|TUBERCULOSIS (INCLUYE INFECCIONES POR MYCOBACTERIUM TUBERCULOSIS Y MYCOBACTERIUM BOVIS)|2010_DEIS
A161|TUBERCULOSIS DE PULMON, SIN EXAMEN BACTERIOLOGICO E HISTOLOGICO|A15-A19|TUBERCULOSIS (INCLUYE INFECCIONES POR MYCOBACTERIUM TUBERCULOSIS Y MYCOBACTERIUM BOVIS)|2010_DEIS
A162|TUBERCULOSIS DE PULMON, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA|A15-A19|TUBERCULOSIS (INCLUYE INFECCIONES POR MYCOBACTERIUM TUBERCULOSIS Y MYCOBACTERIUM BOVIS)|2010_DEIS
A163|TUBERCULOSIS GANGLIOS LINF. INTRATORACICOS, S/ MENCION DE CONFIRMAC BACTERIOLOG O HISTOLOG.|A15-A19|TUBERCULOSIS (INCLUYE INFECCIONES POR MYCOBACTERIUM TUBERCULOSIS Y MYCOBACTERIUM BOVIS)|2010_DEIS
A164|TUBERCULOSIS DE LARINGE, TRAQUEA Y BRONQUIOS, S/MENCION DE CONFIRMAC. BACTERIOLOG. O HISTOLOG.|A15-A19|TUBERCULOSIS (INCLUYE INFECCIONES POR MYCOBACTERIUM TUBERCULOSIS Y MYCOBACTERIUM BOVIS)|2010_DEIS
A165|PLEURESIA TUBERCULOSA, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA|A15-A19|TUBERCULOSIS (INCLUYE INFECCIONES POR MYCOBACTERIUM TUBERCULOSIS Y MYCOBACTERIUM BOVIS)|2010_DEIS
A167|TUBERCULOSIS RESPIRATORIA PRIMARIA, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA|A15-A19|TUBERCULOSIS (INCLUYE INFECCIONES POR MYCOBACTERIUM TUBERCULOSIS Y MYCOBACTERIUM BOVIS)|2010_DEIS
A168|OTRAS TUBERCULOSIS RESPIRATORIAS, SIN MENCION DE CONFIRMACION|A15-A19|TUBERCULOSIS (INCLUYE INFECCIONES POR MYCOBACTERIUM TUBERCULOSIS Y MYCOBACTERIUM BOVIS)|2010_DEIS
A169|TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA, S/MENCION DE CONFIRMAC. BACTERIOLOG. O HISTOLOGICA|A15-A19|TUBERCULOSIS (INCLUYE INFECCIONES POR MYCOBACTERIUM TUBERCULOSIS Y MYCOBACTERIUM BOVIS)|2010_DEIS
A170|MENINGITIS TUBERCULOSA|A15-A19|TUBERCULOSIS (INCLUYE INFECCIONES POR MYCOBACTERIUM TUBERCULOSIS Y MYCOBACTERIUM BOVIS)|2010_DEIS
A171|TUBERCULOMA MENINGEO|A15-A19|TUBERCULOSIS (INCLUYE INFECCIONES POR MYCOBACTERIUM TUBERCULOSIS Y MYCOBACTERIUM BOVIS)|2010_DEIS
A178|OTRAS TUBERCULOSIS DEL SISTEMA NERVIOSO|A15-A19|TUBERCULOSIS (INCLUYE INFECCIONES POR MYCOBACTERIUM TUBERCULOSIS Y MYCOBACTERIUM BOVIS)|2010_DEIS
A179|TUBERCULOSIS DEL SISTEMA NERVIOSO, NO ESPECIFICADA|A15-A19|TUBERCULOSIS (INCLUYE INFECCIONES POR MYCOBACTERIUM TUBERCULOSIS Y MYCOBACTERIUM BOVIS)|2010_DEIS
A180|TUBERCULOSIS DE HUESOS Y ARTICULACIONES|A15-A19|TUBERCULOSIS (INCLUYE INFECCIONES POR MYCOBACTERIUM TUBERCULOSIS Y MYCOBACTERIUM BOVIS)|2010_DEIS
A181|TUBERCULOSIS DEL APARATO GENITOURINARIO|A15-A19|TUBERCULOSIS (INCLUYE INFECCIONES POR MYCOBACTERIUM TUBERCULOSIS Y MYCOBACTERIUM BOVIS)|2010_DEIS
A182|LINFADENOPATIA PERIFERICA TUBERCULOSA|A15-A19|TUBERCULOSIS (INCLUYE INFECCIONES POR MYCOBACTERIUM TUBERCULOSIS Y MYCOBACTERIUM BOVIS)|2010_DEIS
A183|TUBERCULOSIS DE LOS INTESTINOS, DEL PERITONEO Y DE LOS GANGLIOS MESENTERICOS|A15-A19|TUBERCULOSIS (INCLUYE INFECCIONES POR MYCOBACTERIUM TUBERCULOSIS Y MYCOBACTERIUM BOVIS)|2010_DEIS
A184|TUBERCULOSIS DE LA PIEL Y DEL TEJIDO SUBCUTANEO|A15-A19|TUBERCULOSIS (INCLUYE INFECCIONES POR MYCOBACTERIUM TUBERCULOSIS Y MYCOBACTERIUM BOVIS)|2010_DEIS
A185|TUBERCULOSIS DEL OJO|A15-A19|TUBERCULOSIS (INCLUYE INFECCIONES POR MYCOBACTERIUM TUBERCULOSIS Y MYCOBACTERIUM BOVIS)|2010_DEIS
A186|TUBERCULOSIS DEL OIDO|A15-A19|TUBERCULOSIS (INCLUYE INFECCIONES POR MYCOBACTERIUM TUBERCULOSIS Y MYCOBACTERIUM BOVIS)|2010_DEIS
A187|TUBERCULOSIS DE LAS GLANDULAS SUPRARRENALES|A15-A19|TUBERCULOSIS (INCLUYE INFECCIONES POR MYCOBACTERIUM TUBERCULOSIS Y MYCOBACTERIUM BOVIS)|2010_DEIS
A188|TUBERCULOSIS DE OTROS ORGANOS ESPECIFICADOS|A15-A19|TUBERCULOSIS (INCLUYE INFECCIONES POR MYCOBACTERIUM TUBERCULOSIS Y MYCOBACTERIUM BOVIS)|2010_DEIS
A190|TUBERCULOSIS MILIAR AGUDA DE UN SOLO SITIO ESPECIFICADO|A15-A19|TUBERCULOSIS (INCLUYE INFECCIONES POR MYCOBACTERIUM TUBERCULOSIS Y MYCOBACTERIUM BOVIS)|2010_DEIS
A191|TUBERCULOSIS MILIAR AGUDA DE SITIOS MULTIPLES|A15-A19|TUBERCULOSIS (INCLUYE INFECCIONES POR MYCOBACTERIUM TUBERCULOSIS Y MYCOBACTERIUM BOVIS)|2010_DEIS
A192|TUBERCULOSIS MILIAR AGUDA, NO ESPECIFICADA|A15-A19|TUBERCULOSIS (INCLUYE INFECCIONES POR MYCOBACTERIUM TUBERCULOSIS Y MYCOBACTERIUM BOVIS)|2010_DEIS
A198|OTRAS TUBERCULOSIS MILIARES|A15-A19|TUBERCULOSIS (INCLUYE INFECCIONES POR MYCOBACTERIUM TUBERCULOSIS Y MYCOBACTERIUM BOVIS)|2010_DEIS
A199|TUBERCULOSIS MILIAR, SIN OTRA ESPECIFICACION|A15-A19|TUBERCULOSIS (INCLUYE INFECCIONES POR MYCOBACTERIUM TUBERCULOSIS Y MYCOBACTERIUM BOVIS)|2010_DEIS
A200|PESTE BUBONICA|A20-A28|CIERTAS ENFERMEDADES ZOONÓSICAS BACTERIANAS|2010_DEIS
A201|PESTE CELULOCUTANEA|A20-A28|CIERTAS ENFERMEDADES ZOONÓSICAS BACTERIANAS|2010_DEIS
A202|PESTE NEUMONICA|A20-A28|CIERTAS ENFERMEDADES ZOONÓSICAS BACTERIANAS|2010_DEIS
A203|MENINGITIS POR PESTE|A20-A28|CIERTAS ENFERMEDADES ZOONÓSICAS BACTERIANAS|2010_DEIS
A207|PESTE SEPTICEMICA|A20-A28|CIERTAS ENFERMEDADES ZOONÓSICAS BACTERIANAS|2010_DEIS
A208|OTRAS FORMAS DE PESTE|A20-A28|CIERTAS ENFERMEDADES ZOONÓSICAS BACTERIANAS|2010_DEIS
A209|PESTE, NO ESPECIFICADA|A20-A28|CIERTAS ENFERMEDADES ZOONÓSICAS BACTERIANAS|2010_DEIS
A210|TULAREMIA ULCEROGLANDULAR|A20-A28|CIERTAS ENFERMEDADES ZOONÓSICAS BACTERIANAS|2010_DEIS
A211|TULAREMIA OCULOGLANDULAR|A20-A28|CIERTAS ENFERMEDADES ZOONÓSICAS BACTERIANAS|2010_DEIS
A212|TULAREMIA PULMONAR|A20-A28|CIERTAS ENFERMEDADES ZOONÓSICAS BACTERIANAS|2010_DEIS
A213|TULAREMIA GASTROINTESTINAL|A20-A28|CIERTAS ENFERMEDADES ZOONÓSICAS BACTERIANAS|2010_DEIS
A217|TULAREMIA GENERALIZADA|A20-A28|CIERTAS ENFERMEDADES ZOONÓSICAS BACTERIANAS|2010_DEIS
A218|OTRAS FORMAS DE TULAREMIA|A20-A28|CIERTAS ENFERMEDADES ZOONÓSICAS BACTERIANAS|2010_DEIS
A219|TULAREMIA, NO ESPECIFICADA|A20-A28|CIERTAS ENFERMEDADES ZOONÓSICAS BACTERIANAS|2010_DEIS
A220|CARBUNCO CUTANEO|A20-A28|CIERTAS ENFERMEDADES ZOONÓSICAS BACTERIANAS|2010_DEIS
A221|CARBUNCO PULMONAR|A20-A28|CIERTAS ENFERMEDADES ZOONÓSICAS BACTERIANAS|2010_DEIS
A222|CARBUNCO GASTROINTESTINAL|A20-A28|CIERTAS ENFERMEDADES ZOONÓSICAS BACTERIANAS|2010_DEIS
A227|CARBUNCO SEPTICEMICO|A20-A28|CIERTAS ENFERMEDADES ZOONÓSICAS BACTERIANAS|2010_DEIS
A228|OTRAS FORMAS DE CARBUNCO|A20-A28|CIERTAS ENFERMEDADES ZOONÓSICAS BACTERIANAS|2010_DEIS
A229|CARBUNCO, NO ESPECIFICADO|A20-A28|CIERTAS ENFERMEDADES ZOONÓSICAS BACTERIANAS|2010_DEIS
A230|BRUCELOSIS DEBIDA A BRUCELLA MELITENSIS|A20-A28|CIERTAS ENFERMEDADES ZOONÓSICAS BACTERIANAS|2010_DEIS
A231|BRUCELOSIS DEBIDA A BRUCELLA ABORTUS|A20-A28|CIERTAS ENFERMEDADES ZOONÓSICAS BACTERIANAS|2010_DEIS
A232|BRUCELOSIS DEBIDA A BRUCELLA SUIS|A20-A28|CIERTAS ENFERMEDADES ZOONÓSICAS BACTERIANAS|2010_DEIS
A233|BRUCELOSIS DEBIDA A BRUCELLA CANIS|A20-A28|CIERTAS ENFERMEDADES ZOONÓSICAS BACTERIANAS|2010_DEIS
A238|OTRAS BRUCELOSIS|A20-A28|CIERTAS ENFERMEDADES ZOONÓSICAS BACTERIANAS|2010_DEIS
A239|BRUCELOSIS, NO ESPECIFICADA|A20-A28|CIERTAS ENFERMEDADES ZOONÓSICAS BACTERIANAS|2010_DEIS
A240|MUERMO|A20-A28|CIERTAS ENFERMEDADES ZOONÓSICAS BACTERIANAS|2010_DEIS
A241|MELIOIDOSIS AGUDA Y FULMINANTE|A20-A28|CIERTAS ENFERMEDADES ZOONÓSICAS BACTERIANAS|2010_DEIS
A242|MELIOIDOSIS SUBAGUDA Y CRONICA|A20-A28|CIERTAS ENFERMEDADES ZOONÓSICAS BACTERIANAS|2010_DEIS
A243|OTRAS MELIOIDOSIS|A20-A28|CIERTAS ENFERMEDADES ZOONÓSICAS BACTERIANAS|2010_DEIS
A244|MELIOIDOSIS, NO ESPECIFICADA|A20-A28|CIERTAS ENFERMEDADES ZOONÓSICAS BACTERIANAS|2010_DEIS
A250|ESPIRILOSIS|A20-A28|CIERTAS ENFERMEDADES ZOONÓSICAS BACTERIANAS|2010_DEIS
A251|ESTREPTOBACILOSIS|A20-A28|CIERTAS ENFERMEDADES ZOONÓSICAS BACTERIANAS|2010_DEIS
A259|FIEBRE POR MORDEDURA DE RATA, NO ESPECIFICADA|A20-A28|CIERTAS ENFERMEDADES ZOONÓSICAS BACTERIANAS|2010_DEIS
A260|ERISIPELOIDE CUTANEO|A20-A28|CIERTAS ENFERMEDADES ZOONÓSICAS BACTERIANAS|2010_DEIS
A267|SEPTICEMIA POR ERYSIPELOTHRIX|A20-A28|CIERTAS ENFERMEDADES ZOONÓSICAS BACTERIANAS|2010_DEIS
A268|OTRAS FORMAS DE ERISIPELOIDE|A20-A28|CIERTAS ENFERMEDADES ZOONÓSICAS BACTERIANAS|2010_DEIS
A269|ERISIPELOIDE, NO ESPECIFICADA|A20-A28|CIERTAS ENFERMEDADES ZOONÓSICAS BACTERIANAS|2010_DEIS
A270|LEPTOSPIROSIS ICTEROHEMORRAGICA|A20-A28|CIERTAS ENFERMEDADES ZOONÓSICAS BACTERIANAS|2010_DEIS
A278|OTRAS FORMAS DE LEPTOSPIROSIS|A20-A28|CIERTAS ENFERMEDADES ZOONÓSICAS BACTERIANAS|2010_DEIS
A279|LEPTOSPIROSIS, NO ESPECIFICADA|A20-A28|CIERTAS ENFERMEDADES ZOONÓSICAS BACTERIANAS|2010_DEIS
A280|PASTEURELOSIS|A20-A28|CIERTAS ENFERMEDADES ZOONÓSICAS BACTERIANAS|2010_DEIS
A281|ENFERMEDAD POR RASGUÑO DE GATO|A20-A28|CIERTAS ENFERMEDADES ZOONÓSICAS BACTERIANAS|2010_DEIS
A282|YERSINIOSIS EXTRAINTESTINAL|A20-A28|CIERTAS ENFERMEDADES ZOONÓSICAS BACTERIANAS|2010_DEIS
A288|OTRAS ENFERMEDADES ZOONOTICAS BACTERIANAS ESPECIFICADAS, NO CLASIFICADAS EN OTRA PARTE|A20-A28|CIERTAS ENFERMEDADES ZOONÓSICAS BACTERIANAS|2010_DEIS
A289|ENFERMEDAD ZOONOTICA BACTERIANA, SIN OTRA ESPECIFICACION|A20-A28|CIERTAS ENFERMEDADES ZOONÓSICAS BACTERIANAS|2010_DEIS
A300|LEPRA INDETERMINADA|A30-A49|OTRAS ENFERMEDADES BACTERIANAS|2010_DEIS
A301|LEPRA TUBERCULOIDE|A30-A49|OTRAS ENFERMEDADES BACTERIANAS|2010_DEIS
A302|LEPRA TUBERCULOIDE LIMITROFE|A30-A49|OTRAS ENFERMEDADES BACTERIANAS|2010_DEIS
A303|LEPRA LIMITROFE|A30-A49|OTRAS ENFERMEDADES BACTERIANAS|2010_DEIS
A304|LEPRA LEPROMATOSA LIMITROFE|A30-A49|OTRAS ENFERMEDADES BACTERIANAS|2010_DEIS
A305|LEPRA LEPROMATOSA|A30-A49|OTRAS ENFERMEDADES BACTERIANAS|2010_DEIS
A308|OTRAS FORMAS DE LEPRA|A30-A49|OTRAS ENFERMEDADES BACTERIANAS|2010_DEIS
A309|LEPRA, NO ESPECIFICADA|A30-A49|OTRAS ENFERMEDADES BACTERIANAS|2010_DEIS
A310|INFECCIONES POR MICOBACTERIAS PULMONARES|A30-A49|OTRAS ENFERMEDADES BACTERIANAS|2010_DEIS
A311|INFECCION CUTANEA POR MICOBACTERIAS|A30-A49|OTRAS ENFERMEDADES BACTERIANAS|2010_DEIS
A318|OTRAS INFECCIONES POR MICOBACTERIAS|A30-A49|OTRAS ENFERMEDADES BACTERIANAS|2010_DEIS
A319|INFECCION POR MICOBACTERIA, NO ESPECIFICADA|A30-A49|OTRAS ENFERMEDADES BACTERIANAS|2010_DEIS
A320|LISTERIOSIS CUTANEA|A30-A49|OTRAS ENFERMEDADES BACTERIANAS|2010_DEIS
A321|MENINGITIS Y MENINGOENCEFALITIS LISTERIANA|A30-A49|OTRAS ENFERMEDADES BACTERIANAS|2010_DEIS
A327|SEPTICEMIA LISTERIANA|A30-A49|OTRAS ENFERMEDADES BACTERIANAS|2010_DEIS
A328|OTRAS FORMAS DE LISTERIOSIS|A30-A49|OTRAS ENFERMEDADES BACTERIANAS|2010_DEIS
A329|LISTERIOSIS, NO ESPECIFICADA|A30-A49|OTRAS ENFERMEDADES BACTERIANAS|2010_DEIS
A33X|TETANOS NEONATAL|A30-A49|OTRAS ENFERMEDADES BACTERIANAS|2010_DEIS
A34X|TETANOS OBSTETRICO|A30-A49|OTRAS ENFERMEDADES BACTERIANAS|2010_DEIS
A35X|OTROS TETANOS|A30-A49|OTRAS ENFERMEDADES BACTERIANAS|2010_DEIS
A360|DIFTERIA FARINGEA|A30-A49|OTRAS ENFERMEDADES BACTERIANAS|2010_DEIS
A361|DIFTERIA NASOFARINGEA|A30-A49|OTRAS ENFERMEDADES BACTERIANAS|2010_DEIS
A362|DIFTERIA LARINGEA|A30-A49|OTRAS ENFERMEDADES BACTERIANAS|2010_DEIS
A363|DIFTERIA CUTANEA|A30-A49|OTRAS ENFERMEDADES BACTERIANAS|2010_DEIS
A368|OTRAS DIFTERIAS|A30-A49|OTRAS ENFERMEDADES BACTERIANAS|2010_DEIS
A369|DIFTERIA, NO ESPECIFICADA|A30-A49|OTRAS ENFERMEDADES BACTERIANAS|2010_DEIS
