Productos_Clave	Productos_Descripcion	Importancia	Sustancias_Clave	Sustancias_Descripcion
128	ALKERAN	0	1813	Melfalán
129	ALLEDRYL	0	396	Loratadina
135	ALPAZ	0	1531	Zopiclona
136	ALPRAZOLAM	0	229	Alprazolam
137	ALPRAZOLAM	0	229	Alprazolam
140	ALSYLAX	0	660	Bisacodilo
142	ALTICORT	0	942	Clobetasol
146	ALUMINIO HIDROXIDO L.CH.	0	254	Aluminio hidróxido
156	AMBROXOL	0	264	Ambroxol
157	AMBROXOL	0	264	Ambroxol
163	AMIKACINA L.CH.	0	273	Amikacina
165	AMINOFILINA	0	288	Aminofilina
166	AMINOFILINA L.CH.	0	288	Aminofilina
167	AMIODARONA CLORHIDRATO	0	293	Amiodarona
168	AMIODARONA L.CH.	0	293	Amiodarona
169	AMITRIPTILINA	0	299	Amitriptilina
171	AMITRIPTILINA L.CH.	0	299	Amitriptilina
173	AMLOC	0	2222	Amlodipina
176	AMOVAL	0	314	Amoxicilina
177	AMOXICILINA	0	314	Amoxicilina
179	AMOXICILINA L.CH.	0	314	Amoxicilina
184	AMPARAX SUBLINGUAL	0	398	Lorazepam
185	AMPARAX ORAL	0	398	Lorazepam
187	AMPICILINA	0	317	Ampicilina
192	ANACIN	1	55	Acetilsalicílico ácido
192	ANACIN	2	735	Cafeína
193	ANAFRANIL	0	960	Clomipramina
194	ANALGESICO DENTAL	0	2621	Eugenol
196	ANANASE FORTE	0	689	Bromelina
197	ANAPROLINA	0	537	Nandrolona
205	ANESTALCON	0	1218	Proparacaína
206	ANFETAMINA L.CH.	0	2522	Anfetamina sulfato
212	ANOVULATORIOS L.CH.	1	355	Linestrenol
212	ANOVULATORIOS L.CH.	2	454	Mestranol
213	ANOVULATORIOS MICRODOSIS L.CH.	0	4732	Levonorgestrel + etinilestradiol
215	ANSAID	0	1652	Flurbiprofeno
216	ANSIETIL	0	236	Ketazolam
218	ANTABUS	0	1217	Disulfiram
219	ANTALIN	1	299	Amitriptilina
219	ANTALIN	2	996	Clordiazepóxido
220	ANTALIN FORTE	1	299	Amitriptilina
220	ANTALIN FORTE	2	996	Clordiazepóxido
226	ANTIAX	1	404	Magaldrato
226	ANTIAX	2	1291	Simeticona
227	BIOLACTUS	0	2018	Lactobacillus acidophilus
238	ANTISEPTIN	0	2126	Irgasán
246	APETROL	9	65	Ascórbico ácido
246	APETROL	9	574	Nicotinamida
246	APETROL	9	836	Piridoxina
246	APETROL	9	906	Ciproheptadina
246	APETROL	9	1259	Riboflavina
246	APETROL	9	1404	Tiamina
253	ARACYTIN	0	914	Citarabina
254	ARADIX RETARD	0	2008	Metilfenidato
257	ARMONYL	1	2665	Valeriana officinalis L.
257	ARMONYL	2	2837	Passiflora incarnata L.
257	ARMONYL	3	1075	Crataegus oxyacantha extracto
261	ARTREN	0	1164	Diclofenac
262	ARTROTIN	0	4168	Leflunomida
268	ASPIRINA	0	55	Acetilsalicílico ácido
274	ASTRIJESAN	9	449	Mentol
274	ASTRIJESAN	9	473	Metilo salicilato
274	ASTRIJESAN	9	889	Cinc
274	ASTRIJESAN	9	1172	Mirra
274	ASTRIJESAN	9	2621	Eugenol
276	ATEMPERATOR	0	154	Valproico ácido
277	ATENOLOL	0	364	Atenolol
279	ATEROCLAR	0	2566	Ticlopidina
280	ATHIMIL	0	492	Mianserina
282	ATLANSIL	0	293	Amiodarona
284	ATROPINA	0	365	Atropina
286	ATROPINA SULFATO	0	365	Atropina
288	ATUSIL	0	2158	Promolato
289	AUCUSIK PLUS	9	449	Mentol
289	AUCUSIK PLUS	9	552	Bencetonio cloruro
289	AUCUSIK PLUS	9	596	Benzocaína
289	AUCUSIK PLUS	9	1745	Glicerina
291	AURORIX	0	505	Moclobemida
300	AYR CON UREA	0	1480	Urea
307	AZUL DE METILENO	0	1889	Azul de metileno
308	AZUL DE METILENO	0	1889	Azul de metileno
309	AZULFIDINE	0	1457	Salazosulfapiridina
310	AZULFIDINE EN	0	1457	Salazosulfapiridina
314	BACTEROL	0	704	Sulfametoxazol + trimetoprima
317	BACTRIMEL	0	704	Sulfametoxazol + trimetoprima
318	BACTROBAN UNGÜENTO	0	2017	Mupirocina
319	BAGOVIT-A	0	654	Vitamina A
320	BAJATEN-D	1	22	Hidroclorotiazida
320	BAJATEN-D	2	1556	Enalapril
321	BALIDON	0	1452	Triazolam
322	BALSAMO ANALGESICO	9	306	Lanolina
322	BALSAMO ANALGESICO	9	449	Mentol
322	BALSAMO ANALGESICO	9	473	Metilo salicilato
322	BALSAMO ANALGESICO	9	1486	Vaselina
323	BALSAMO ANALGESICO CON FENILBUTAZONA	9	449	Mentol
323	BALSAMO ANALGESICO CON FENILBUTAZONA	9	473	Metilo salicilato
323	BALSAMO ANALGESICO CON FENILBUTAZONA	9	798	Dimetilsulfóxido
323	BALSAMO ANALGESICO CON FENILBUTAZONA	9	2060	Fenilbutazona
331	BATRAFEN	0	880	Ciclopirox
333	BAYCIP	0	899	Ciprofloxacina
334	BAYCUTEN	1	1039	Clotrimazol
334	BAYCUTEN	2	1127	Dexametasona
344	BEDOVIT PHARMATON	9	65	Ascórbico ácido
344	BEDOVIT PHARMATON	9	81	Vitamina B12
344	BEDOVIT PHARMATON	9	210	Alfa tocoferol
344	BEDOVIT PHARMATON	9	430	Magnesio sulfato
344	BEDOVIT PHARMATON	9	574	Nicotinamida
344	BEDOVIT PHARMATON	9	654	Vitamina A
344	BEDOVIT PHARMATON	9	699	Ginseng
344	BEDOVIT PHARMATON	9	777	Calcio fosfato
344	BEDOVIT PHARMATON	9	791	Pantoténico ácido
344	BEDOVIT PHARMATON	9	836	Piridoxina
344	BEDOVIT PHARMATON	9	889	Cinc
344	BEDOVIT PHARMATON	9	1107	Deanol
344	BEDOVIT PHARMATON	9	1259	Riboflavina
344	BEDOVIT PHARMATON	9	1265	Rutina
344	BEDOVIT PHARMATON	9	1343	Soja
344	BEDOVIT PHARMATON	9	1404	Tiamina
344	BEDOVIT PHARMATON	9	1570	Ergocalciferol
344	BEDOVIT PHARMATON	9	1805	Manganeso sulfato
344	BEDOVIT PHARMATON	9	1952	Cobre sulfato
344	BEDOVIT PHARMATON	9	2308	Hierro sulfato
344	BEDOVIT PHARMATON	9	2491	Potasio sulfato
344	BEDOVIT PHARMATON	9	2668	Calcio fluoruro
344	BEDOVIT PHARMATON	9	2895	Lecitina
348	BELOC	0	29	Acebutolol
357	BENZAC AC	0	599	Benzoílo peróxido
360	BEOF	0	2160	Betaxolol
361	BEPANTOL	0	715	Pantenol
365	BERODUAL	1	182	Ipratropio bromuro
365	BERODUAL	2	1576	Fenoterol
369	BETAGEN 0.5	0	334	Levobunolol
370	BETAMETASONA	0	616	Betametasona
374	BETAMETASONA + NEOMICINA L.CH.	1	616	Betametasona
374	BETAMETASONA + NEOMICINA L.CH.	2	553	Neomicina
375	BETAMETASONA L.CH.	0	616	Betametasona
376	BETAMETASONA DIPROPIONATO L.CH.	0	616	Betametasona
377	BETAMETASONA	0	616	Betametasona
378	BETAMETASONA SODIO FOSFATO	0	616	Betametasona
380	BETAXOLOL L.CH.	0	2160	Betaxolol
385	BETOPTIC	0	2160	Betaxolol
386	BETOPTIC-S	0	2160	Betaxolol
388	BIALCOL	0	2542	Benzoxonio cloruro
389	BICARBONATO DE SODIO	0	1300	Sodio bicarbonato
393	BICARBONATO DE SODIO	0	1300	Sodio bicarbonato
397	BIFONAZOL L.CH.	0	633	Bifonazol
398	BIFOSFATO DE POTASIO	0	2802	Potasio fosfato
400	BILAXIL	1	939	Plantago ovata Forsk
400	BILAXIL	2	2835	Senna angustifolia
403	BIOACTIV	0	2701	Hierbas medicinales
408	BIOGRIP	1	740	Paracetamol
408	BIOGRIP	2	1538	Fenilpropanolamina
408	BIOGRIP	3	2465	Clorfeniramina
409	BIOLANE N	9	77	Cítrico ácido
409	BIOLANE N	9	1306	Sodio cloruro
409	BIOLANE N	9	1326	Sodio laurilsulfato
409	BIOLANE N	9	1546	Edetato cálcico disódico
412	BIOQUIN	1	1360	Sulfisoxazol
412	BIOQUIN	2	1577	Eritromicina
415	BISOLVON	0	692	Bromhexina
417	BLADURIL	0	2165	Flavoxato
418	BLEFAMIDE SUSPENSION	9	993	Prednisolona
418	BLEFAMIDE SUSPENSION	9	1695	Fenilefrina
418	BLEFAMIDE SUSPENSION	9	2325	Sulfacetamida
418	BLEFAMIDE SUSPENSION	9	2504	Fenilmercurio nitrato
418	BLEFAMIDE SUSPENSION	9	2688	Fenazona
419	BLISPROTEX	1	889	Cinc
419	BLISPROTEX	2	2167	Dimeticona
419	BLISPROTEX	3	1486	Vaselina
420	BLISTEX	1	1569	Fenol
420	BLISTEX	2	194	Alcanfor
421	BLISTIK (LINEA BLISTEX)	1	2459	Escalol 507
421	BLISTIK (LINEA BLISTEX)	2	1859	Oxibenzona
432	BREVEX	1	740	Paracetamol
432	BREVEX	2	1032	Clorzoxazona
440	BROMAZEPAM L.CH.	0	685	Bromazepam
446	BROMHEXINA	0	692	Bromhexina
447	BROMHEXINA CLORHIDRATO	0	692	Bromhexina
448	BROMHEXINA CLORHIDRATO L.CH.	0	692	Bromhexina
452	BRONCHO-VAXOM	0	5117	Vac. c/infecc. otorrinol. y broncopulmonares
453	BRONCODEINA	9	449	Mentol
453	BRONCODEINA	9	538	Belladona
453	BRONCODEINA	9	1049	Codeína
453	BRONCODEINA	9	1299	Sodio benzoato
453	BRONCODEINA	9	1330	Sodio perborato
453	BRONCODEINA	9	1384	Terpinol
453	BRONCODEINA	9	1547	Efedrina
455	BRONCOT	0	264	Ambroxol
458	BRONTAL	1	531	Clofedianol
458	BRONTAL	2	692	Bromhexina
460	BUFACYL	1	340	Octatropina
460	BUFACYL	2	1565	Fenobarbital
465	BUSCAPINA	0	1587	Hioscina butilbromuro
466	BUSCAPINA COMPOSITUM	0	4199	Hioscina butilbromuro + dipirona
472	BUTARTROL	1	128	Ibuprofeno
472	BUTARTROL	2	1983	Meprobamato
472	BUTARTROL	3	2714	Aluminio aminoacetato
483	CALCIO CLORURO	0	762	Calcio cloruro
492	CALCIOVIT PURO	1	777	Calcio fosfato
492	CALCIOVIT PURO	2	1570	Ergocalciferol
495	CALCIUM	0	760	Calcio carbonato
500	CALMATOL	9	449	Mentol
500	CALMATOL	9	2839	Tilo extracto
500	CALMATOL	9	2915	Escholtzia californica
500	CALMATOL	9	2916	Manzanilla
500	CALMATOL	9	2939	Foeniculum vulgare
501	CALMOSEDAN	1	1152	Diazepam
501	CALMOSEDAN	2	2084	Clormezanona
505	CALORUB FORTE	1	473	Metilo salicilato
505	CALORUB FORTE	2	449	Mentol
508	CANESTEN	0	1039	Clotrimazol
510	CAPENT	0	390	Loperamida
511	CAPOTEN	0	799	Captopril
512	CARBAMAZEPINA	0	801	Carbamazepina
515	CARBAMAZEPINA L.CH.	0	801	Carbamazepina
517	CARBON SULFAGUANIDINA	1	822	Carbón activado
517	CARBON SULFAGUANIDINA	2	2760	Sulfaguanidina
518	CARBONATO DE CALCIO	0	760	Calcio carbonato
519	CARBOPLATINO	0	815	Carboplatino
521	CARBORON	0	379	Litio carbonato
522	CARDIAZEM	0	597	Nitrendipina
524	CARDICON RETARD	0	576	Nifedipina
526	CARDIOLEN	0	1490	Verapamilo
528	CARDIOSEDANTOL	1	1152	Diazepam
528	CARDIOSEDANTOL	2	2084	Clormezanona
528	CARDIOSEDANTOL	3	2890	Pentaeritritilo
529	CARISTOP SEMANAL	0	1314	Sodio fluoruro
532	CATAFLAM	0	1164	Diclofenac
533	CATAPRESAN	0	963	Clonidina
537	CEBION	0	65	Ascórbico ácido
539	CEBROCAL	9	45	Acetilglutamina
539	CEBROCAL	9	836	Piridoxina
539	CEBROCAL	9	2746	GABA
539	CEBROCAL	9	2865	GABOB
542	CEFADROXILO	0	843	Cefadroxilo
543	CEFALEXINA	0	845	Cefalexina
544	CEFALMIN	9	735	Cafeína
544	CEFALMIN	9	1575	Ergotamina
544	CEFALMIN	9	1785	Dipirona
544	CEFALMIN	9	2465	Clorfeniramina
546	CEFAMOX	0	843	Cefadroxilo
549	CEFRADINA L.CH.	0	855	Cefradina
551	CELESTAMINE	1	616	Betametasona
551	CELESTAMINE	2	2465	Clorfeniramina
552	CELEX	0	2975	Lisina clonixinato
564	CESOL	0	1890	Praziquantel
567	CETAPHIL	9	1225	Propilenglicol
567	CETAPHIL	9	1326	Sodio laurilsulfato
567	CETAPHIL	9	1681	Propilparabeno
572	CIANOCOBALAMINA	0	872	Cianocobalamina
573	CICLAMIL	0	873	Ciclobenzaprina
575	CIDOTEN	0	616	Betametasona
576	CIDOTEN RAPILENTO	0	616	Betametasona
580	CIDRIN	0	2414	Desoxiefedrina
581	CIFLOXIN	0	899	Ciprofloxacina
582	CILOXACIN	0	899	Ciprofloxacina
587	CINABEL	9	735	Cafeína
587	CINABEL	9	1575	Ergotamina
587	CINABEL	9	1785	Dipirona
587	CINABEL	9	2465	Clorfeniramina
588	CINERGIL	0	887	Cinarizina
592	CIPROFLOXACINO	0	899	Ciprofloxacina
594	CIPROVAL	0	899	Ciprofloxacina
599	CISAPRIDA	0	909	Cisapride
605	CITONEURON	1	1504	Hidroxocobalamina
605	CITONEURON	2	2563	Citicolina
605	CITONEURON	3	2961	Uridina
609	CLARIMIR	0	522	Nafazolina
610	CLARIMIR F	1	522	Nafazolina
610	CLARIMIR F	2	1558	Feniramina
618	CLOFEXAN	1	616	Betametasona
618	CLOFEXAN	2	2465	Clorfeniramina
620	CLORAMFENICOL SAVAL NICOLICH	0	967	Cloranfenicol
623	CLORANFENICOL L.CH.	0	967	Cloranfenicol
629	CLORDIAZEPOXIDO L.CH.	0	996	Clordiazepóxido
632	CLORFENAMINA MALEATO	0	2465	Clorfeniramina
633	CLORFENAMINA MALEATO L.CH.	0	2465	Clorfeniramina
635	CLORFENAMINA MALEATO	0	2465	Clorfeniramina
638	CLORODIAZEPOXIDO	0	996	Clordiazepóxido
642	CLORPROPAMIDA	0	1030	Clorpropamida
645	CLOROQUINA DIFOSFATO L.CH.	0	1946	Cloroquina
646	CLORPRIMETON	0	2465	Clorfeniramina
647	CLORPROMAZINA	0	1028	Clorpromazina
648	CLORPROMAZINA L.CH.	0	1028	Clorpromazina
654	CLORURO DE MAGNESIO	0	414	Magnesio cloruro
657	CLOTRIMAZOL	0	1039	Clotrimazol
659	CLOTRIMAZOL	0	1039	Clotrimazol
660	CLOTRIMAZOL - BETAMETASONA L.CH.	1	1039	Clotrimazol
660	CLOTRIMAZOL - BETAMETASONA L.CH.	2	616	Betametasona
661	CLOTRIMAZOL L.CH.	0	1039	Clotrimazol
662	CLOTRIMIN	0	1039	Clotrimazol
663	CLOTRIMIN-B	1	616	Betametasona
663	CLOTRIMIN-B	2	1039	Clotrimazol
664	CLOXACILINA	0	1040	Cloxacilina
666	CLOXACILINA SODICA L.CH.	0	1040	Cloxacilina
674	CODERGOCRINA MESILATO L.CH.	0	1954	Codergocrina mesilato
676	CODELASA	1	112	Homatropina
676	CODELASA	2	980	Etilmorfina
676	CODELASA	3	1049	Codeína
678	CODETOL	1	1049	Codeína
678	CODETOL	2	1547	Efedrina
678	CODETOL	3	2465	Clorfeniramina
681	COLCHICINA L.CH.	0	1053	Colchicina
682	COLDIN	0	1925	Carbocisteína
685	COLMAX	0	2975	Lisina clonixinato
692	CONFER	9	65	Ascórbico ácido
692	CONFER	9	81	Vitamina B12
692	CONFER	9	97	Fólico ácido
692	CONFER	9	3021	Hierro fumarato
693	CONGESTEX	9	65	Ascórbico ácido
693	CONGESTEX	9	639	Noscapina
693	CONGESTEX	9	740	Paracetamol
693	CONGESTEX	9	1547	Efedrina
696	CONMEL	0	1785	Dipirona
698	CONPREMIN CREMA	0	5023	Estrógenos conjugados naturales
699	CONPREMIN GRAGEAS	0	5023	Estrógenos conjugados naturales
704	CONTRALMOR	1	346	Lidocaína
704	CONTRALMOR	2	616	Betametasona
704	CONTRALMOR	3	889	Cinc
706	CORDARONE	0	293	Amiodarona
709	CORGARD	0	520	Nadolol
712	CORIODAL	0	2493	Propanolol
716	CORTIGRIP	1	740	Paracetamol
716	CORTIGRIP	2	2062	Seudoefedrina
717	CORTISOL L.CH.	0	25	Hidrocortisona
721	COTIBIN COMPUESTO	0	740	Paracetamol
722	COTINA	0	216	Nicotínico ácido
723	COTRIMOXAZOL	0	704	Sulfametoxazol + trimetoprima
725	CO-TRIMOXAZOL	0	704	Sulfametoxazol + trimetoprima
727	COTRIMOXAZOL L.CH.	0	704	Sulfametoxazol + trimetoprima
732	COVERSYL	0	2544	Perindopril
733	CREMA AZUFRADA	0	389	Azufre
735	CREMA LENIENTE HAMAMELIS	0	1776	Hamamelis
737	CRETOL	9	224	Aloe vera
737	CRETOL	9	538	Belladona
737	CRETOL	9	940	Podofilina
737	CRETOL	9	1085	Cáscara sagrada extracto
737	CRETOL	9	1574	Fenolftaleína
737	CRETOL	9	2391	Ipecacuana
738	CRITEN	0	2078	Bromocriptina
740	CROTAMITON	0	1781	Crotamitón
745	CUATROMIN	9	65	Ascórbico ácido
745	CUATROMIN	9	77	Cítrico ácido
745	CUATROMIN	9	106	Láctico ácido
745	CUATROMIN	9	654	Vitamina A
745	CUATROMIN	9	1299	Sodio benzoato
745	CUATROMIN	9	1404	Tiamina
745	CUATROMIN	9	1570	Ergocalciferol
745	CUATROMIN	9	2070	Sacarosa
745	CUATROMIN	9	2249	Agar
745	CUATROMIN	9	2657	Malta extracto
746	CUROCEF	0	859	Cefuroxima
750	CYCLOGYL	0	878	Ciclopentolato
756	CHOLINOGO	1	430	Magnesio sulfato
756	CHOLINOGO	2	772	Peptona
759	DAFLON 500	1	1209	Diosmina
759	DAFLON 500	2	2619	Hesperidina
760	DAKTARIN	0	493	Miconazol
761	DALACIN C CAPSULAS	0	932	Clindamicina
762	DALACIN C FOSFATO	0	932	Clindamicina
763	DALACIN T	0	932	Clindamicina
771	DAONIL	0	1741	Glibenclamida
773	DARAPRIM	0	2093	Pirimetamina
777	DECA-DURABOLIN	0	537	Nandrolona
786	DEPAKENE CAPSULAS	0	154	Valproico ácido
789	DEPO-MEDROL LIDOCAINA	0	477	Metilprednisolona
790	DEPO-PRODASONE	0	442	Medroxiprogesterona
794	DERMAGLOS CREMA	9	171	Alantoína
794	DERMAGLOS CREMA	9	552	Bencetonio cloruro
794	DERMAGLOS CREMA	9	654	Vitamina A
794	DERMAGLOS CREMA	9	1570	Ergocalciferol
797	DERMATOP	0	2540	Prednicarbato
801	DERMOVATE	0	942	Clobetasol
808	DESTAP 50	0	536	Beclometasona
811	DETICENE	0	1101	Dacarbazina
812	DEUCOTOS	1	1049	Codeína
812	DEUCOTOS	2	2062	Seudoefedrina
812	DEUCOTOS	3	2465	Clorfeniramina
813	DEUCOVAL	0	542	Naproxeno
815	DEXAGIN OVULOS	9	578	Benzalconio cloruro
815	DEXAGIN OVULOS	9	1127	Dexametasona
815	DEXAGIN OVULOS	9	2316	Bórico ácido
815	DEXAGIN OVULOS	9	3151	Yodoquinol
819	DIABINESE	0	1030	Clorpropamida
820	DIACOR	0	439	Mebendazol
821	DIADICON	1	531	Clofedianol
821	DIADICON	2	692	Bromhexina
825	DIANE-35	1	907	Ciproterona
825	DIANE-35	2	1659	Etinilestradiol
826	DIAREN	1	362	Atapulgita
826	DIAREN	2	1181	Nifuroxazida
834	DIAZEPAM L.CH.	0	1152	Diazepam
839	DICLOFENACO L.CH.	0	1164	Diclofenac
846	DIFEXON	0	985	Povidona yodada
847	DIFLUCAN	0	1614	Fluconazol
848	DIGESPAR	1	480	Metoclopramida
848	DIGESPAR	2	1291	Simeticona
849	DIGOXINA L.CH.	0	1184	Digoxina
853	DILATREND	0	2161	Carvedilol
855	DILOX	0	245	Ketorolac
856	DIMECAINA	0	346	Lidocaína
869	DIPIRIDAMOL L.CH.	0	1210	Dipiridamol
872	DIPIRONA L.CH. (METAMIZOL)	0	1785	Dipirona
875	DIPRIVAN 1%	0	1229	Propofol
876	DIPROQUIN	1	172	Clioquinol
876	DIPROQUIN	2	616	Betametasona
877	DIPROSALIC	1	131	Salicílico ácido
877	DIPROSALIC	2	616	Betametasona
878	DIPROSPAN	0	616	Betametasona
880	DIPROSPAN G	1	616	Betametasona
880	DIPROSPAN G	2	1728	Gentamicina
892	DOLEAN	1	740	Paracetamol
892	DOLEAN	2	1049	Codeína
893	DOLGENAL	0	245	Ketorolac
894	DOLNIX	1	128	Ibuprofeno
894	DOLNIX	2	1785	Dipirona
894	DOLNIX	3	2084	Clormezanona
895	DOLONASE	1	128	Ibuprofeno
895	DOLONASE	2	1785	Dipirona
895	DOLONASE	3	2084	Clormezanona
897	DOLO-OCTIRONA	1	128	Ibuprofeno
897	DOLO-OCTIRONA	2	740	Paracetamol
901	DOLOTOL 12	9	346	Lidocaína
901	DOLOTOL 12	9	368	Lisina acetilsalicilato
901	DOLOTOL 12	9	836	Piridoxina
901	DOLOTOL 12	9	872	Cianocobalamina
901	DOLOTOL 12	9	1404	Tiamina
901	DOLOTOL 12	9	1504	Hidroxocobalamina
901	DOLOTOL 12	9	1745	Glicerina
903	DOMINIUM	0	1637	Fluoxetina
906	DOMPERIDONA L.CH.	0	1221	Domperidona
909	DORMEX	0	705	Brotizolam
910	DORMONID AMPOLLAS	0	495	Midazolam
911	DORMONID COMPRIMIDOS	0	495	Midazolam
915	DOXITHAL	0	1996	Doxiciclina
916	DOXIUM 500	0	764	Calcio dobesilato
920	DRISTAN	1	1695	Fenilefrina
920	DRISTAN	2	2465	Clorfeniramina
925	DUO-CVP	1	65	Ascórbico ácido
925	DUO-CVP	2	920	Citrobioflavonoides
927	DUOFILM	1	106	Láctico ácido
927	DUOFILM	2	131	Salicílico ácido
930	DURASOLETS	9	1486	Vaselina
930	DURASOLETS	9	2184	Aceites minerales
931	DURATEARS	1	306	Lanolina
931	DURATEARS	2	1486	Vaselina
931	DURATEARS	3	2184	Aceites minerales
937	EFEDROSAN	0	1547	Efedrina
945	ELASE	1	1126	Desoxirribonucleasa
945	ELASE	2	1605	Plasmina
947	ELDICET	0	790	Pinaverio bromuro
950	ELIXINE LENTOCAPS	0	1377	Teofilina
951	CITROMEL (ELIXIR DE MELISSA)	0	2838	Melisa
952	PASSIFLORA ELIXIR	0	2837	Passiflora incarnata L.
953	ELOCOM	0	2113	Mometasona
955	EMOLAN	0	715	Pantenol
955	EMOLAN	1	1066	Colágeno
955	EMOLAN	2	1552	Elastina
955	EMOLAN	3	3258	Queratina
957	DELTISAN	1	889	Cinc
957	DELTISAN	2	2580	Aceite de hígado de bacalao
958	ENALAPRIL	0	1556	Enalapril
959	ENALTEN	0	1556	Enalapril
960	ENCEFABOL	0	910	Piritinol
962	ENDOGEL ESTERIL	1	346	Lidocaína
962	ENDOGEL ESTERIL	2	1014	Clorhexidina
966	ENGERIX-B	0	3176	Vacuna antihepatitis B
969	ENTERO MICINOVO	1	362	Atapulgita
969	ENTERO MICINOVO	2	704	Sulfametoxazol + trimetoprima
970	ENTEROL CON NIFUROXACIDA	1	1181	Nifuroxazida
970	ENTEROL CON NIFUROXACIDA	2	1706	Ftalilsulfacetamida
971	EPAMIN	0	1175	Difenilhidantoína
976	EPINEFRINA	0	163	Adrenalina
978	EPOSAL	0	801	Carbamazepina
987	ERGOCALCIFEROL L.CH.	0	1570	Ergocalciferol
991	ERITROMICINA	0	1577	Eritromicina
993	ERITROMICINA ETILSUCCINATO L.CH.	0	1577	Eritromicina
998	ESALFON	0	1556	Enalapril
1007	ESPASMO-CIBALGINA	1	161	Adifenina
1007	ESPASMO-CIBALGINA	2	1224	Propifenazona
1015	ESPERCIL	0	2118	Tranexámico ácido
1016	ESPIRONOLACTONA	0	1592	Espironolactona
1018	ESPIRONOLACTONA L.CH.	0	1592	Espironolactona
1020	ESTAPROL	0	898	Ciprofibrato
1023	ESTRADIOL VALERIANATO L.CH.	0	1600	Estradiol
1025	ESTROGENOS CONJUGADOS	0	1644	Estrógenos conjugados
1026	ESVIT C	0	65	Ascórbico ácido
1027	ETACONIL	0	1655	Flutamida
