"DESCRIPTIONID_VTM"	"VTM"	"DESCRIPTIONID_VMP"	"VMP"
"10301181000999118"	"PREPARADO CON LEVOTIROXINA SODICA"	"6802101000999114"	"LEVOTIROXINA SODICA 112 MCG COMPRIMIDO"
"10301181000999118"	"PREPARADO CON LEVOTIROXINA SODICA"	"6802121000999117"	"LEVOTIROXINA SODICA 137 MCG COMPRIMIDO"
"10301181000999118"	"PREPARADO CON LEVOTIROXINA SODICA"	"6802141000999111"	"LEVOTIROXINA SODICA 175 MCG COMPRIMIDO"
"10301181000999118"	"PREPARADO CON LEVOTIROXINA SODICA"	"6802171000999116"	"LEVOTIROXINA SODICA 88 MCG COMPRIMIDO"
"10301181000999118"	"PREPARADO CON LEVOTIROXINA SODICA"	"6873711000999112"	"LEVOTIROXINA SODICA 200 MCG COMPRIMIDO"
"10301181000999118"	"PREPARADO CON LEVOTIROXINA SODICA"	"6976451000999119"	"LEVOTIROXINA SODICA 12,5 MCG SELLO"
"10301181000999118"	"PREPARADO CON LEVOTIROXINA SODICA"	"6976481000999114"	"LEVOTIROXINA SODICA 18 MCG SELLO"
"10304371000999116"	"PREPARADO CON ACIDO MICOFENOLICO"	"8311861000999119"	"ACIDO MICOFENOLICO 360 MG CAPSULA DE LIBERACION MODIFICADA"
"10304371000999116"	"PREPARADO CON ACIDO MICOFENOLICO"	"8311881000999111"	"ACIDO MICOFENOLICO 180 MG CAPSULA DE LIBERACION MODIFICADA"
"10304391000999115"	"PREPARADO CON MONONITRATO ISOSORBIDE"	"10335241000999113"	"MONONITRATO ISOSORBIDE 60 MG CAPSULA LIBERACION PROLONGADA"
"10304391000999115"	"PREPARADO CON MONONITRATO ISOSORBIDE"	"5408441000999112"	"MONONITRATO ISOSORBIDE 20 MG COMPRIMIDO"
"10304461000999117"	"PREPARADO CON HEPARINA SODICA"	"10304491000999112"	"HEPARINA SODICA 1000 UINT/G CREMA"
"10304721000999118"	"PREPARADO CON TAMSULOSINA"	"10709121000999119"	"TAMSULOSINA 0.4 MG CAPSULA"
"10304721000999118"	"PREPARADO CON TAMSULOSINA"	"6923081000999114"	"CLORHIDRATO TAMSULOSINA 400 MCG CAPSULA"
"10305031000999118"	"PREPARADO DE TERAZOSINA"	"5411651000999116"	"TERAZOSINA 2 MG COMPRIMIDO"
"10305031000999118"	"PREPARADO DE TERAZOSINA"	"5411681000999111"	"TERAZOSINA 5 MG COMPRIMIDO"
"10305031000999118"	"PREPARADO DE TERAZOSINA"	"5411711000999112"	"TERAZOSINA 10 MG COMPRIMIDO"
"10305341000999112"	"PREPARADO CON HIDROCLOROTIAZIDA Y AMILORIDA"	"6904761000999114"	"HIDROCLOROTIAZIDA 25 MG AMILORIDA 2,5 MG COMPRIMIDO"
"10305341000999112"	"PREPARADO CON HIDROCLOROTIAZIDA Y AMILORIDA"	"6905051000999110"	"HIDROCLOROTIAZIDA 50 MG AMILORIDA 5 MG COMPRIMIDO"
"10305341000999112"	"PREPARADO CON HIDROCLOROTIAZIDA Y AMILORIDA"	"8488571000999110"	"HIDROCLOROTIAZIDA 12,5 MG AMILORIDA 1,25 MG COMPRIMIDO"
"10305451000999115"	"PREPARADO CON ETINILESTRADIOL Y LEVONORGESTREL"	"6966931000999110"	"ETINILESTRADIOL 0,03 MG LEVONORGESTREL 0,15 MG COMPRIMIDO"
"10305451000999115"	"PREPARADO CON ETINILESTRADIOL Y LEVONORGESTREL"	"6967051000999115"	"ETINILESTRADIOL 0,100 MG LEVONORGESTREL 0,25 MG COMPRIMIDO"
"10305451000999115"	"PREPARADO CON ETINILESTRADIOL Y LEVONORGESTREL"	"6967161000999119"	"ETINILESTRADIOL 0,200 MG LEVONORGESTREL 2 MG COMPRIMIDO"
"10305451000999115"	"PREPARADO CON ETINILESTRADIOL Y LEVONORGESTREL"	"7010261000999117"	"ETINILESTRADIOL 0,05 MG LEVONORGESTREL 0,25 MG COMPRIMIDO"
"10305451000999115"	"PREPARADO CON ETINILESTRADIOL Y LEVONORGESTREL"	"7027311000999118"	"ESTRADIOL 4 MG LEVONORGESTREL 0,25 MG COMPRIMIDO"
"10305491000999113"	"PREPARADO CON CINARIZINA"	"10416701000999113"	"CINARIZINA 150 MG CAPSULA"
"10305491000999113"	"PREPARADO CON CINARIZINA"	"5403941000999110"	"CINARIZINA 75 MG CAPSULA"
"10305491000999113"	"PREPARADO CON CINARIZINA"	"6883441000999111"	"CINARIZINA 150 COMPRIMIDO LIBERACION MODIFICADA"
"10305491000999113"	"PREPARADO CON CINARIZINA"	"6883471000999116"	"CINARIZINA 25 MG COMPRIMIDO"
"10305521000999110"	"PREPARADO CON FAMOTIDINA"	"6802501000999115"	"FAMOTIDINA 40 MG COMPRIMIDO"
"10305521000999110"	"PREPARADO CON FAMOTIDINA"	"6805081000999113"	"FAMOTIDINA 20 MG COMPRIMIDO"
"10305541000999116"	"PREPARADO CON HIDROXICLOROQUINA"	"6906491000999117"	"HIDROXICLOROQUINA 200 MG COMPRIMIDO"
"10305571000999111"	"PREPARADO CON SULFADIAZINA"	"11104311000999114"	"SULFADIAZINA 20 G/SOBRE POLVO PARA DILUIR"
"10305571000999111"	"PREPARADO CON SULFADIAZINA"	"6882311000999114"	"SULFADIAZINA 500 MG COMPRIMIDO"
"10305571000999111"	"PREPARADO CON SULFADIAZINA"	"6921151000999119"	"SULFADIAZINA 1000 MG SELLO"
"10305571000999111"	"PREPARADO CON SULFADIAZINA"	"6921181000999114"	"SULFADIAZINA 200 MG SELLO"
