Productos_Clave	Productos_Descripcion	Importancia	AccionesTerapeuticas_Clave	AccionesTerapeuticas_Descripcion
140	ALSYLAX	9	352	Laxante de contacto
142	ALTICORT	9	747	Corticoterapia
146	ALUMINIO HIDROXIDO L.CH.	9	2	Antiácido
156	AMBROXOL	1	145	Expectorante
156	AMBROXOL	2	235	Mucolítico
157	AMBROXOL	1	145	Expectorante
157	AMBROXOL	2	235	Mucolítico
163	AMIKACINA L.CH.	9	194	Antibiótico aminoglucósido
165	AMINOFILINA	1	143	Antiasmático
165	AMINOFILINA	2	144	Broncodilatador
166	AMINOFILINA L.CH.	1	143	Antiasmático
166	AMINOFILINA L.CH.	2	144	Broncodilatador
167	AMIODARONA CLORHIDRATO	1	34	Antianginoso
167	AMIODARONA CLORHIDRATO	2	68	Antiarrítmico
167	AMIODARONA CLORHIDRATO	3	76	Antihipertensivo
168	AMIODARONA L.CH.	9	68	Antiarrítmico
169	AMITRIPTILINA	9	130	Antidepresivo
171	AMITRIPTILINA L.CH.	9	130	Antidepresivo
173	AMLOC	9	76	Antihipertensivo
176	AMOVAL	9	91	Antibiótico
177	AMOXICILINA	1	91	Antibiótico
177	AMOXICILINA	9	261	Bactericida de amplio espectro
179	AMOXICILINA L.CH.	1	91	Antibiótico
179	AMOXICILINA L.CH.	9	261	Bactericida de amplio espectro
184	AMPARAX SUBLINGUAL	1	224	Ansiolítico
184	AMPARAX SUBLINGUAL	9	128	Tranquilizante
185	AMPARAX ORAL	9	128	Tranquilizante
185	AMPARAX ORAL	9	224	Ansiolítico
187	AMPICILINA	9	91	Antibiótico
192	ANACIN	1	118	Analgésico
192	ANACIN	9	121	Antipirético
193	ANAFRANIL	1	252	Antidepresivo tricíclico
194	ANALGESICO DENTAL	9	691	Analgésico dental
196	ANANASE FORTE	9	112	Antiinflamatorio
197	ANAPROLINA	9	45	Anabólico
205	ANESTALCON	9	117	Anestésico oftálmico
206	ANFETAMINA L.CH.	1	14	Anorexígeno
206	ANFETAMINA L.CH.	9	372	Estimulante del SNC
212	ANOVULATORIOS L.CH.	9	103	Anticonceptivo
213	ANOVULATORIOS MICRODOSIS L.CH.	9	103	Anticonceptivo
215	ANSAID	1	112	Antiinflamatorio
215	ANSAID	2	118	Analgésico
216	ANSIETIL	9	128	Tranquilizante
216	ANSIETIL	9	224	Ansiolítico
218	ANTABUS	9	1	Antialcohólico
219	ANTALIN	9	130	Antidepresivo
219	ANTALIN	9	224	Ansiolítico
220	ANTALIN FORTE	9	130	Antidepresivo
220	ANTALIN FORTE	9	224	Ansiolítico
226	ANTIAX	9	2	Antiácido
226	ANTIAX	9	369	Antiaerofágico
227	BIOLACTUS	9	200	Reconstituyente de la flora intestinal
238	ANTISEPTIN	9	341	Antiséptico tópico
246	APETROL	9	244	Estimulante del apetito
246	APETROL	9	303	Polivitamínico
253	ARACYTIN	1	81	Citostático
253	ARACYTIN	2	247	Antineoplásico
254	ARADIX RETARD	9	372	Estimulante del SNC
257	ARMONYL	9	40	Sedante natural
261	ARTREN	1	112	Antiinflamatorio
261	ARTREN	2	118	Analgésico
261	ARTREN	9	121	Antipirético
262	ARTROTIN	9	113	Antirreumático
268	ASPIRINA	1	118	Analgésico
268	ASPIRINA	2	112	Antiinflamatorio
268	ASPIRINA	9	121	Antipirético
274	ASTRIJESAN	9	193	Antiséptico bucofaríngeo
276	ATEMPERATOR	1	119	Antiepiléptico
276	ATEMPERATOR	9	171	Anticonvulsivo
277	ATENOLOL	9	191	Hipotensor
279	ATEROCLAR	1	167	Antiagregante plaquetario
279	ATEROCLAR	9	290	Antitrombótico
280	ATHIMIL	9	130	Antidepresivo
282	ATLANSIL	9	68	Antiarrítmico
284	ATROPINA	1	151	Midriático
284	ATROPINA	9	347	Ciclopléjico
286	ATROPINA SULFATO	9	5	Antiespasmódico
288	ATUSIL	9	179	Antitusivo
289	AUCUSIK PLUS	9	166	Anestésico local
289	AUCUSIK PLUS	9	178	Antipruriginoso
291	AURORIX	1	130	Antidepresivo
291	AURORIX	2	15	Inhibidor MAO-A
300	AYR CON UREA	9	19	Emoliente
300	AYR CON UREA	9	184	Queratolítico
300	AYR CON UREA	9	446	Humectante
307	AZUL DE METILENO	9	341	Antiséptico tópico
308	AZUL DE METILENO	9	341	Antiséptico tópico
309	AZULFIDINE	9	359	Antiinflamatorio intestinal
310	AZULFIDINE EN	1	359	Antiinflamatorio intestinal
310	AZULFIDINE EN	2	207	Antiartrítico
314	BACTEROL	9	26	Antibacteriano
317	BACTRIMEL	9	218	Bactericida
318	BACTROBAN UNGÜENTO	9	309	Antibiótico tópico
319	BAGOVIT-A	1	460	Nutriente
319	BAGOVIT-A	9	461	Protector cutáneo
319	BAGOVIT-A	9	547	Hidratante
320	BAJATEN-D	1	84	Inhibidor de la ECA
320	BAJATEN-D	9	77	Diurético
321	BALIDON	9	126	Hipnótico
322	BALSAMO ANALGESICO	9	393	Analgésico tópico
323	BALSAMO ANALGESICO CON FENILBUTAZONA	1	393	Analgésico tópico
323	BALSAMO ANALGESICO CON FENILBUTAZONA	9	112	Antiinflamatorio
331	BATRAFEN	9	92	Antimicótico
333	BAYCIP	9	248	Antimicrobiano
334	BAYCUTEN	9	94	Corticosteroide
344	BEDOVIT PHARMATON	9	298	Revitalizante
348	BELOC	0	76	Antihipertensivo
348	BELOC	1	68	Antiarrítmico
348	BELOC	9	34	Antianginoso
357	BENZAC AC	9	98	Antiacneico
360	BEOF	9	666	Antiglaucomatoso selectivo
361	BEPANTOL	1	476	Regenerador epitelial
361	BEPANTOL	9	185	Cicatrizante
365	BERODUAL	9	143	Antiasmático
369	BETAGEN 0.5	9	268	Antiglaucomatoso
370	BETAMETASONA	1	112	Antiinflamatorio
370	BETAMETASONA	2	267	Corticosteroide tópico
374	BETAMETASONA + NEOMICINA L.CH.	1	91	Antibiótico
374	BETAMETASONA + NEOMICINA L.CH.	2	94	Corticosteroide
375	BETAMETASONA L.CH.	9	94	Corticosteroide
376	BETAMETASONA DIPROPIONATO L.CH.	9	94	Corticosteroide
377	BETAMETASONA	9	94	Corticosteroide
378	BETAMETASONA SODIO FOSFATO	9	94	Corticosteroide
380	BETAXOLOL L.CH.	9	268	Antiglaucomatoso
385	BETOPTIC	9	268	Antiglaucomatoso
386	BETOPTIC-S	9	268	Antiglaucomatoso
388	BIALCOL	1	95	Antiséptico
388	BIALCOL	9	686	Desinfectante tópico
389	BICARBONATO DE SODIO	9	2	Antiácido
393	BICARBONATO DE SODIO	9	2	Antiácido
397	BIFONAZOL L.CH.	9	376	Antimicótico tópico
398	BIFOSFATO DE POTASIO	9	409	Electrolítico
400	BILAXIL	9	400	Regulador de la función motora digestiva
403	BIOACTIV	9	706	Medicamento fitoterapéutico
408	BIOGRIP	9	174	Antigripal
409	BIOLANE N	9	183	Antiseborreico
412	BIOQUIN	9	26	Antibacteriano
415	BISOLVON	9	235	Mucolítico
417	BLADURIL	1	118	Analgésico
417	BLADURIL	9	300	Antiespasmódico urinario
418	BLEFAMIDE SUSPENSION	1	142	Antialérgico
418	BLEFAMIDE SUSPENSION	2	112	Antiinflamatorio
418	BLEFAMIDE SUSPENSION	3	270	Descongestivo oftálmico
419	BLISPROTEX	9	415	Protector dérmico
420	BLISTEX	1	95	Antiséptico
420	BLISTEX	2	19	Emoliente
421	BLISTIK (LINEA BLISTEX)	1	642	Protector labial
421	BLISTIK (LINEA BLISTEX)	9	695	Dermatocosmético
432	BREVEX	1	118	Analgésico
432	BREVEX	9	114	Relajante muscular
440	BROMAZEPAM L.CH.	9	224	Ansiolítico
446	BROMHEXINA	1	145	Expectorante
446	BROMHEXINA	9	235	Mucolítico
447	BROMHEXINA CLORHIDRATO	1	145	Expectorante
447	BROMHEXINA CLORHIDRATO	2	235	Mucolítico
448	BROMHEXINA CLORHIDRATO L.CH.	1	145	Expectorante
448	BROMHEXINA CLORHIDRATO L.CH.	9	235	Mucolítico
452	BRONCHO-VAXOM	9	857	Inmunoestimulante respiratorio
453	BRONCODEINA	1	179	Antitusivo
453	BRONCODEINA	2	145	Expectorante
453	BRONCODEINA	3	378	Antiséptico bucal
455	BRONCOT	9	235	Mucolítico
458	BRONTAL	1	179	Antitusivo
458	BRONTAL	9	387	Broncopulmonar
460	BUFACYL	9	5	Antiespasmódico
465	BUSCAPINA	1	5	Antiespasmódico
466	BUSCAPINA COMPOSITUM	0	5	Antiespasmódico
466	BUSCAPINA COMPOSITUM	1	118	Analgésico
472	BUTARTROL	1	113	Antirreumático
472	BUTARTROL	2	112	Antiinflamatorio
472	BUTARTROL	3	118	Analgésico
472	BUTARTROL	9	114	Relajante muscular
483	CALCIO CLORURO	9	291	Calciterápico
492	CALCIOVIT PURO	9	291	Calciterápico
495	CALCIUM	9	291	Calciterápico
500	CALMATOL	1	558	Calmante de la dentición
500	CALMATOL	2	4	Carminativo
500	CALMATOL	3	128	Tranquilizante
501	CALMOSEDAN	1	550	Tranquilizante menor
501	CALMOSEDAN	2	224	Ansiolítico
501	CALMOSEDAN	9	465	Relajante musculoesquelético
505	CALORUB FORTE	9	393	Analgésico tópico
508	CANESTEN	1	205	Antimicótico de amplio espectro
508	CANESTEN	9	99	Tricomonicida
510	CAPENT	9	25	Antidiarreico
511	CAPOTEN	9	84	Inhibidor de la ECA
512	CARBAMAZEPINA	1	119	Antiepiléptico
512	CARBAMAZEPINA	2	171	Anticonvulsivo
515	CARBAMAZEPINA L.CH.	1	119	Antiepiléptico
515	CARBAMAZEPINA L.CH.	2	171	Anticonvulsivo
517	CARBON SULFAGUANIDINA	9	356	Antiséptico intestinal
518	CARBONATO DE CALCIO	9	2	Antiácido
519	CARBOPLATINO	9	81	Citostático
521	CARBORON	9	525	Antipsicótico
522	CARDIAZEM	9	76	Antihipertensivo
524	CARDICON RETARD	1	79	Antagonista del calcio
524	CARDICON RETARD	9	34	Antianginoso
524	CARDICON RETARD	9	76	Antihipertensivo
526	CARDIOLEN	1	76	Antihipertensivo
526	CARDIOLEN	2	34	Antianginoso
526	CARDIOLEN	9	68	Antiarrítmico
528	CARDIOSEDANTOL	1	204	Vasodilatador coronario
528	CARDIOSEDANTOL	9	34	Antianginoso
529	CARISTOP SEMANAL	9	865	Fluorterapia tópica
532	CATAFLAM	1	118	Analgésico
532	CATAFLAM	2	213	Antiinflamatorio no esteroide
533	CATAPRESAN	9	76	Antihipertensivo
537	CEBION	9	466	Vitamínico
539	CEBROCAL	9	286	Cerebrotónico
542	CEFADROXILO	9	91	Antibiótico
543	CEFALEXINA	9	91	Antibiótico
544	CEFALMIN	9	288	Antijaquecoso
546	CEFAMOX	9	91	Antibiótico
549	CEFRADINA L.CH.	9	91	Antibiótico
551	CELESTAMINE	1	94	Corticosteroide
551	CELESTAMINE	9	88	Antihistamínico
552	CELEX	1	118	Analgésico
552	CELEX	9	213	Antiinflamatorio no esteroide
564	CESOL	9	135	Antiparasitario
567	CETAPHIL	1	438	Limpiador
567	CETAPHIL	9	18	Suavizante
567	CETAPHIL	9	425	Hidratante dérmico
572	CIANOCOBALAMINA	9	466	Vitamínico
573	CICLAMIL	9	465	Relajante musculoesquelético
575	CIDOTEN	1	112	Antiinflamatorio
575	CIDOTEN	2	113	Antirreumático
575	CIDOTEN	9	142	Antialérgico
576	CIDOTEN RAPILENTO	1	112	Antiinflamatorio
576	CIDOTEN RAPILENTO	2	113	Antirreumático
576	CIDOTEN RAPILENTO	9	142	Antialérgico
580	CIDRIN	9	911	Tratamiento en déficit atencional hiperactivo
581	CIFLOXIN	9	248	Antimicrobiano
582	CILOXACIN	9	165	Antiinfeccioso oftálmico
587	CINABEL	9	288	Antijaquecoso
588	CINERGIL	9	180	Antivertiginoso
592	CIPROFLOXACINO	9	260	Quimioterápico
594	CIPROVAL	9	26	Antibacteriano
599	CISAPRIDA	9	154	Gastrocinético
605	CITONEURON	9	373	Regenerador neuroquímico
609	CLARIMIR	9	270	Descongestivo oftálmico
610	CLARIMIR F	1	270	Descongestivo oftálmico
610	CLARIMIR F	9	142	Antialérgico
618	CLOFEXAN	1	88	Antihistamínico
618	CLOFEXAN	2	142	Antialérgico
618	CLOFEXAN	9	94	Corticosteroide
620	CLORAMFENICOL SAVAL NICOLICH	9	52	Antibiótico ocular
623	CLORANFENICOL L.CH.	9	91	Antibiótico
629	CLORDIAZEPOXIDO L.CH.	9	224	Ansiolítico
632	CLORFENAMINA MALEATO	1	88	Antihistamínico
632	CLORFENAMINA MALEATO	9	142	Antialérgico
633	CLORFENAMINA MALEATO L.CH.	1	88	Antihistamínico
633	CLORFENAMINA MALEATO L.CH.	9	142	Antialérgico
635	CLORFENAMINA MALEATO	1	88	Antihistamínico
635	CLORFENAMINA MALEATO	9	142	Antialérgico
638	CLORODIAZEPOXIDO	1	224	Ansiolítico
638	CLORODIAZEPOXIDO	2	127	Sedante
638	CLORODIAZEPOXIDO	9	126	Hipnótico
642	CLORPROPAMIDA	9	155	Hipoglucemiante
645	CLOROQUINA DIFOSFATO L.CH.	9	135	Antiparasitario
646	CLORPRIMETON	9	88	Antihistamínico
647	CLORPROMAZINA	9	125	Neuroléptico
648	CLORPROMAZINA L.CH.	9	125	Neuroléptico
654	CLORURO DE MAGNESIO	9	1304	Hipomagnesemia
657	CLOTRIMAZOL	9	229	Antifúngico
659	CLOTRIMAZOL	9	229	Antifúngico
660	CLOTRIMAZOL - BETAMETASONA L.CH.	9	376	Antimicótico tópico
661	CLOTRIMAZOL L.CH.	9	92	Antimicótico
662	CLOTRIMIN	9	92	Antimicótico
662	CLOTRIMIN	9	99	Tricomonicida
663	CLOTRIMIN-B	1	92	Antimicótico
663	CLOTRIMIN-B	9	112	Antiinflamatorio
664	CLOXACILINA	9	91	Antibiótico
666	CLOXACILINA SODICA L.CH.	9	91	Antibiótico
674	CODERGOCRINA MESILATO L.CH.	9	198	Vasodilatador periférico
676	CODELASA	9	179	Antitusivo
678	CODETOL	9	179	Antitusivo
681	COLCHICINA L.CH.	9	115	Antigotoso
682	COLDIN	1	235	Mucolítico
682	COLDIN	9	458	Mucorregulador
685	COLMAX	9	118	Analgésico
692	CONFER	9	69	Antianémico
693	CONGESTEX	9	174	Antigripal
696	CONMEL	1	118	Analgésico
696	CONMEL	2	121	Antipirético
696	CONMEL	9	112	Antiinflamatorio
698	CONPREMIN CREMA	9	680	Estrogenoterapia tópica
699	CONPREMIN GRAGEAS	9	305	Estrogenoterapia
704	CONTRALMOR	9	80	Antihemorroides
706	CORDARONE	9	68	Antiarrítmico
709	CORGARD	9	34	Antianginoso
709	CORGARD	9	76	Antihipertensivo
709	CORGARD	9	83	Betabloqueador
712	CORIODAL	1	76	Antihipertensivo
712	CORIODAL	2	34	Antianginoso
712	CORIODAL	9	68	Antiarrítmico
716	CORTIGRIP	9	174	Antigripal
717	CORTISOL L.CH.	9	94	Corticosteroide
721	COTIBIN COMPUESTO	9	118	Analgésico
721	COTIBIN COMPUESTO	9	174	Antigripal
722	COTINA	1	198	Vasodilatador periférico
722	COTINA	9	73	Hipolipemiante
723	COTRIMOXAZOL	1	218	Bactericida
723	COTRIMOXAZOL	9	260	Quimioterápico
725	CO-TRIMOXAZOL	9	260	Quimioterápico
727	COTRIMOXAZOL L.CH.	1	218	Bactericida
727	COTRIMOXAZOL L.CH.	9	260	Quimioterápico
732	COVERSYL	9	76	Antihipertensivo
733	CREMA AZUFRADA	1	98	Antiacneico
733	CREMA AZUFRADA	9	404	Antisárnico
735	CREMA LENIENTE HAMAMELIS	1	446	Humectante
735	CREMA LENIENTE HAMAMELIS	9	415	Protector dérmico
737	CRETOL	9	17	Laxante
738	CRITEN	1	475	Inhibidor de la secreción de prolactina
740	CROTAMITON	1	178	Antipruriginoso
740	CROTAMITON	2	404	Antisárnico
740	CROTAMITON	9	186	Pediculicida
745	CUATROMIN	9	303	Polivitamínico
746	CUROCEF	9	91	Antibiótico
750	CYCLOGYL	9	151	Midriático
750	CYCLOGYL	9	347	Ciclopléjico
756	CHOLINOGO	1	72	Colagogo
756	CHOLINOGO	9	17	Laxante
759	DAFLON 500	9	821	Venotónico
760	DAKTARIN	9	897	Antimicótico oral tópico
761	DALACIN C CAPSULAS	9	91	Antibiótico
762	DALACIN C FOSFATO	9	36	Antibioticoterapia
763	DALACIN T	9	98	Antiacneico
771	DAONIL	9	419	Hipoglucemiante oral
773	DARAPRIM	9	135	Antiparasitario
777	DECA-DURABOLIN	9	45	Anabólico
786	DEPAKENE CAPSULAS	9	119	Antiepiléptico
789	DEPO-MEDROL LIDOCAINA	9	94	Corticosteroide
794	DERMAGLOS CREMA	9	415	Protector dérmico
797	DERMATOP	9	957	Corticoterapia dérmica
801	DERMOVATE	9	90	Antipsoriásico
801	DERMOVATE	9	149	Antieccematoso
808	DESTAP 50	1	144	Broncodilatador
808	DESTAP 50	9	514	Antialérgico nasal
811	DETICENE	9	81	Citostático
812	DEUCOTOS	1	179	Antitusivo
812	DEUCOTOS	9	141	Descongestivo
813	DEUCOVAL	1	112	Antiinflamatorio
813	DEUCOVAL	2	118	Analgésico
813	DEUCOVAL	9	121	Antipirético
815	DEXAGIN OVULOS	1	95	Antiséptico
819	DIABINESE	9	419	Hipoglucemiante oral
820	DIACOR	9	137	Antihelmíntico
821	DIADICON	1	179	Antitusivo
821	DIADICON	9	235	Mucolítico
825	DIANE-35	9	236	Antiandrogénico
826	DIAREN	9	25	Antidiarreico
834	DIAZEPAM L.CH.	1	224	Ansiolítico
839	DICLOFENACO L.CH.	1	118	Analgésico
839	DICLOFENACO L.CH.	9	112	Antiinflamatorio
846	DIFEXON	9	95	Antiséptico
847	DIFLUCAN	0	229	Antifúngico
848	DIGESPAR	1	369	Antiaerofágico
848	DIGESPAR	9	400	Regulador de la función motora digestiva
849	DIGOXINA L.CH.	9	181	Cardiotónico
853	DILATREND	9	76	Antihipertensivo
855	DILOX	1	118	Analgésico
856	DIMECAINA	9	166	Anestésico local
869	DIPIRIDAMOL L.CH.	1	167	Antiagregante plaquetario
869	DIPIRIDAMOL L.CH.	9	204	Vasodilatador coronario
872	DIPIRONA L.CH. (METAMIZOL)	1	118	Analgésico
872	DIPIRONA L.CH. (METAMIZOL)	9	121	Antipirético
875	DIPRIVAN 1%	9	328	Anestésico
876	DIPROQUIN	9	267	Corticosteroide tópico
877	DIPROSALIC	9	267	Corticosteroide tópico
878	DIPROSPAN	9	267	Corticosteroide tópico
880	DIPROSPAN G	9	94	Corticosteroide
892	DOLEAN	9	118	Analgésico
893	DOLGENAL	9	474	Analgésico no esteroide
894	DOLNIX	1	114	Relajante muscular
894	DOLNIX	9	118	Analgésico
895	DOLONASE	1	118	Analgésico
895	DOLONASE	9	114	Relajante muscular
897	DOLO-OCTIRONA	1	118	Analgésico
897	DOLO-OCTIRONA	9	112	Antiinflamatorio
901	DOLOTOL 12	1	118	Analgésico
901	DOLOTOL 12	2	246	Antineurítico
901	DOLOTOL 12	9	480	Regenerador tisular
903	DOMINIUM	9	130	Antidepresivo
906	DOMPERIDONA L.CH.	9	400	Regulador de la función motora digestiva
909	DORMEX	9	126	Hipnótico
910	DORMONID AMPOLLAS	9	127	Sedante
911	DORMONID COMPRIMIDOS	9	126	Hipnótico
915	DOXITHAL	9	91	Antibiótico
916	DOXIUM 500	9	82	Antivaricoso
920	DRISTAN	9	141	Descongestivo
925	DUO-CVP	9	239	Vasculoprotector
927	DUOFILM	9	184	Queratolítico
930	DURASOLETS	9	41	Lubricante oftálmico
931	DURATEARS	9	41	Lubricante oftálmico
937	EFEDROSAN	9	143	Antiasmático
945	ELASE	9	456	Enzimático
947	ELDICET	9	5	Antiespasmódico
950	ELIXINE LENTOCAPS	9	143	Antiasmático
951	CITROMEL (ELIXIR DE MELISSA)	1	224	Ansiolítico
951	CITROMEL (ELIXIR DE MELISSA)	2	5	Antiespasmódico
951	CITROMEL (ELIXIR DE MELISSA)	9	12	Colerético
952	PASSIFLORA ELIXIR	1	127	Sedante
952	PASSIFLORA ELIXIR	9	5	Antiespasmódico
953	ELOCOM	9	267	Corticosteroide tópico
955	EMOLAN	9	695	Dermatocosmético
957	DELTISAN	9	185	Cicatrizante
958	ENALAPRIL	9	76	Antihipertensivo
959	ENALTEN	1	191	Hipotensor
959	ENALTEN	9	84	Inhibidor de la ECA
960	ENCEFABOL	9	414	Activador del metabolismo cerebral
962	ENDOGEL ESTERIL	1	328	Anestésico
962	ENDOGEL ESTERIL	2	95	Antiséptico
962	ENDOGEL ESTERIL	9	565	Lubricante de catéteres
966	ENGERIX-B	9	527	Inmunoterapia hepatitis B
969	ENTERO MICINOVO	1	248	Antimicrobiano
969	ENTERO MICINOVO	9	25	Antidiarreico
970	ENTEROL CON NIFUROXACIDA	9	25	Antidiarreico
971	EPAMIN	1	171	Anticonvulsivo
971	EPAMIN	2	119	Antiepiléptico
971	EPAMIN	3	68	Antiarrítmico
976	EPINEFRINA	9	75	Simpaticomimético
978	EPOSAL	1	119	Antiepiléptico
978	EPOSAL	9	171	Anticonvulsivo
987	ERGOCALCIFEROL L.CH.	9	466	Vitamínico
991	ERITROMICINA	9	91	Antibiótico
993	ERITROMICINA ETILSUCCINATO L.CH.	9	91	Antibiótico
998	ESALFON	9	76	Antihipertensivo
1007	ESPASMO-CIBALGINA	1	459	Espasmolítico
1007	ESPASMO-CIBALGINA	2	118	Analgésico
1007	ESPASMO-CIBALGINA	9	121	Antipirético
1015	ESPERCIL	9	42	Hemostático
1016	ESPIRONOLACTONA	9	77	Diurético
1018	ESPIRONOLACTONA L.CH.	9	77	Diurético
1020	ESTAPROL	9	215	Normolipemiante
1023	ESTRADIOL VALERIANATO L.CH.	9	305	Estrogenoterapia
1025	ESTROGENOS CONJUGADOS	9	305	Estrogenoterapia
1026	ESVIT C	9	466	Vitamínico
1027	ETACONIL	9	236	Antiandrogénico
1028	ETALPHA	9	466	Vitamínico
1030	ETINILESTRADIOL L.CH.	9	305	Estrogenoterapia
1040	EURAX	1	178	Antipruriginoso
1040	EURAX	9	186	Pediculicida
1042	EUTIROX	9	488	Hormonoterapia tiroidea
1048	EXLUTON	9	491	Anticonceptivo oral
1050	EXTOSEN	1	179	Antitusivo
1050	EXTOSEN	2	141	Descongestivo
1050	EXTOSEN	3	144	Broncodilatador
1050	EXTOSEN	9	88	Antihistamínico
1055	FAMIDAL	1	99	Tricomonicida
1055	FAMIDAL	2	92	Antimicótico
1055	FAMIDAL	9	26	Antibacteriano
1057	FAMOTIDINA	1	7	Antiulceroso
1057	FAMOTIDINA	2	6	Antagonista de los receptores H2
1057	FAMOTIDINA	3	338	Inhibidor de la secreción gástrica
1058	FAMOTIDINA L.CH.	1	7	Antiulceroso
1058	FAMOTIDINA L.CH.	2	6	Antagonista de los receptores H2
1058	FAMOTIDINA L.CH.	3	338	Inhibidor de la secreción gástrica
1059	FAMOTIDINA	1	7	Antiulceroso
1059	FAMOTIDINA	2	6	Antagonista de los receptores H2
1059	FAMOTIDINA	3	338	Inhibidor de la secreción gástrica
1067	FARMORRUBICINA	9	247	Antineoplásico
1069	FASARAX	1	88	Antihistamínico
1069	FASARAX	9	128	Tranquilizante
1071	FASIGYN FORTE	1	99	Tricomonicida
1071	FASIGYN FORTE	2	136	Amebicida
1071	FASIGYN FORTE	3	351	Giardicida
1074	FAXET	9	95	Antiséptico
1078	FELDENE	1	112	Antiinflamatorio
1078	FELDENE	2	118	Analgésico
1079	FELDENE GEL	1	118	Analgésico
1079	FELDENE GEL	2	112	Antiinflamatorio
1086	FENILBUTAZONA	1	118	Analgésico
1086	FENILBUTAZONA	9	112	Antiinflamatorio
1087	FENILBUTAZONA	1	118	Analgésico
1087	FENILBUTAZONA	2	112	Antiinflamatorio
1087	FENILBUTAZONA	9	113	Antirreumático
1093	FENITOINA SODICA PROMPT L.CH.	9	171	Anticonvulsivo
